symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
BLUEJET,1,754,1831.1006,82.39,58.54,115.95,13079.29,86,2,2,3,6.324595367457823
INDOTHAI,1,2002.65,706.9400999999999,89.94,331.75,512.43,2034.36,65.25,1,1,1,3.259615384615383
JSWHL,1,16363.6,6122.949559999999,72.12,115.81,148.15,18163.6,66.29,4,1,2,7.211997426365443
RMDRIP,1,404.7,870.6215280000001,88.16,103.32,187.63,1010.94,13.88,1,1,2,4.164736917357732
SHAILY,1,1518.6,3927.426636,82.18,50.19,173.97,6978.37,43.72,2,2,2,5.943066914498141
WEL,1,177.54,671.1666779999998,84.61,30.1,244.2,2379.18,71.79,2,4,1,6.583798970546187
AGIIL,2,819.45,541.7953200000001,79,67.24,66.3,2002.2,72.94,3,2,7,10.791215327423508
AMIORG,2,2168.65,5684.9909,71.01,58.08,94.28,8877.25,35.96,5,2,4,10.302314841292533
BAJAJHCARE,2,603.5,777.859005,74.65,56.51,79.37,1906.05,59.19,4,2,5,10.457942522161847
BSE,2,4633.7,62729.34,64.23,69.61,96.97,62729.34,0,7,1,4,12.00829997140406
CARTRADE,2,1528.55,7250.84,74.63,71.97,95.5,7250.84,0,4,1,4,8.808384329425227
PGIL,2,1342.05,2291.4480160000003,68.51,34.93,106.33,6163.12,62.82,5,3,3,11.320148698884752
PGEL,2,794.8,11391.891764,71.38,46.72,331.53,22500.28,49.37,4,2,1,7.4604689734057725
SARDAEN,2,453.55,4289.6359,79.27,31.25,106.77,15982.25,73.16,3,3,3,8.82237203317128
SIMPLEXINF,2,251.6,721.4428780000001,62.83,58.1,144.87,1437.71,49.82,7,2,2,11.049389476694312
TAC,2,1195.35,539.404008,65.06,45.3,NA,1252.68,56.94,6,2,2,10.705384615384617
V2RETAIL,2,1575.85,2490.9973200000004,70.42,40.87,323.05,5450.76,54.3,5,3,1,8.435168716042323
ASALCBR,3,1085.35,847.4234310000002,60.42,18.37,99.66,2081.61,59.29,8,5,3,16.70394766943094
CELLECOR,3,54.7,599.63652,59.67,44.9,105.02,1190.7,49.64,9,2,3,13.807540749213608
HCG,3,501.65,2011.9263779999997,74.36,28.5,42.74,6993.14,71.23,4,4,11,18.315480411781525
MANORAMA,3,952.95,2588.711542,68.65,14.79,129.72,5679.49,54.42,5,6,2,13.561565627680865
MUTHOOTFIN,3,2132.8,22818.854630000005,80.23,7.8,61.64,85624.22,73.35,2,9,7,18.195098655990844
POKARNA,3,1104.25,1483.796908,66.35,15.55,119.88,3423.62,56.66,6,6,3,14.346434086359736
REFEX,3,391.5,2352.238599,56.56,18.91,195.05,5057.49,53.49,11,5,1,17.115806405490414
SKYGOLD,3,318.1,1946.6173439999998,57.25,12.59,178.55,4661.44,58.24,10,6,2,18.47674435230198
SUVENPHAR,3,1214.7,15430.082989999999,80.96,10.95,68.61,30922.01,50.1,2,7,6,16.022500714898484
TCPLPACK,3,3908.7,1574.292792,82.99,17.27,76.46,3556.92,55.74,2,5,5,12.417726622819554
ANUP,3,2798.15,3307.3096420000006,59.32,24.98,101.36,5603.71,40.98,9,4,3,16.407709465255937
AARTIPHARM,4,733.2,3677.17698,77.21,8.61,49.18,6644.7,44.66,3,8,9,20.553577352016017
DIVISLAB,4,5480.25,69992.07336200001,68.75,8.18,56.2,145483.42,51.89,5,9,8,21.61440377466401
DIXON,4,13935.85,56581.699658,58.78,7.27,97.86,83725.51,32.42,9,9,3,21.5313397197598
FSL,4,346,11336.232978,68.85,10.84,69.94,24463.17,53.66,5,8,6,18.787716614240768
GRWRHITECH,4,3770.8,3441.112616,58.41,7.08,97.66,8760.47,60.72,9,9,3,21.97296253931941
JASH,4,537.65,1899.8064639999998,63.84,27.11,51.06,3363.68,43.52,7,4,9,20.028324277952528
LLOYDSME,4,1021.1,19511.989596000003,51.8,32.23,73.42,53428.23,63.48,13,3,5,21.69319559622533
PAYTM,4,714.95,45590.04,53.78,20.04,72.53,45590.04,0,12,5,6,22.285672004575357
UPL,4,632.95,31593.95715,88.94,9.57,38.61,47509.71,33.5,1,8,12,21.13303116957392
VIMTALABS,4,865.4,1216.206384,58.37,38.93,64.4,1923.16,36.76,10,3,7,19.07176865885045
ZOTA,4,830.65,856.0053600000001,61.22,22.32,60.28,2276.61,62.4,8,5,7,19.952659422362025
BAJFINANCE,5,8530.3,239535.11123999997,91.82,16,29.55,528775.08,54.7,1,5,16,22.488281384043468
CHAMBLFERT,5,533.7,8467.592760000001,81.64,0.99,50.95,21382.81,60.4,2,13,9,24.09417786674291
CHOICEIN,5,465.65,3885.1995839999995,68.24,4.62,67.11,9296.96,58.21,6,11,6,22.7349771232485
