symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ASHOKLEY,1,196.69,56209.6262,97.58,38.97,63.43,87.02,115538.8,51.35,2,2,4,8.304143111371555
HINDCOPPER,1,685.9,22483.866184,87.13,101.59,189.46,198.28,66402.44,66.14,6,1,1,8.541009662662944
RMDRIP,1,105.33,2076.421972,99.85,28.92,56.44,158.16,2630.38,21.06,1,3,2,5.938872077762327
RNBDENIMS,1,156.41,599.599398,95.78,23.18,70.9,90.35,1407.18,57.39,3,2,4,8.09141853872741
SHRIRAMFIN,1,1020,143190.59391,98.17,36.2,66.07,89.49,191893.05,25.38,2,2,4,7.5573223106940794
VENUSREM,1,818.55,634.676224,94.69,88.45,54.44,176.68,1089.76,41.76,3,3,1,7.357142659934113
ACUTAAS,2,1912.5,10533.646032,94.65,10.7,47.51,62.17,15642.48,32.66,3,4,7,13.761412610632888
BAJAJCON,2,339.4,2524.335999,98.3,22.44,51.06,83.02,4426.33,42.97,1,4,4,9.594140578891643
CUB,2,301.75,22435.12,98.18,31.96,41.09,74.21,22435.12,0,2,6,5,12.375312982251964
DCBBANK,2,199.67,5394.738696000001,96.06,26.41,47.72,69.87,6440.71,16.24,3,4,6,12.169988406151884
INDIANB,2,911.7,32112.828335999995,97.43,6.17,46.76,67.02,122755.46,73.84,2,5,6,12.614355982422328
JKTYRE,2,519.7,7239.967412000001,96.89,20.29,57.77,66.04,14995.79,51.72,2,3,6,11.266908109141028
KMEW,2,1785.5,2022.0519529999997,86.53,47.65,117.8,89.15,4360.69,53.63,7,1,4,11.595957489600202
MTARTECH,2,2931.5,6260.31722,92.39,15.05,105.3,91.41,9020.63,30.6,4,2,3,8.869077407337931
MCX,2,2528,64355.32,90.24,36.74,66.41,125.74,64355.32,0,5,2,2,9.14203793777954
NATIONALUM,2,385.45,34482.291312,84.29,64.62,113.31,99.58,70776.46,51.28,8,1,3,12.19135732087268
SBC,2,28.8,681.6200249999998,92.78,20.4,59.82,95.25,1372.85,50.35,4,3,3,9.630230864375577
UJJIVANSFB,2,65.37,12687.18,92.91,26.1,51.25,84.77,12687.18,0,4,4,4,11.244414209206886
ABCAPITAL,3,339.8,27945.645524000003,86.62,4.81,35.14,91.78,88942.22,68.58,6,7,3,16.44925222339256
AUBANK,3,982.35,56691.36529,91.37,11.9,32.56,64.78,73424.9,22.79,4,7,6,17.376614154813524
BANKINDIA,3,164.1,19894.850976,92.49,17.31,50.15,47.53,74736.48,73.38,4,4,10,17.23272914404918
CUPID,3,401,5871.229155000001,73.52,71.67,153.46,463.28,10782.79,45.55,15,1,1,16.996717060888876
FEDERALBNK,3,287.75,70830.51,98.42,21.61,46.77,55.57,70830.51,0,1,5,8,13.95804546232673
GMDCLTD,3,577.75,4778.3814,82.67,-2.78,51.28,83.47,18378.39,74,9,4,4,16.611951363039076
GRMOVER,3,165.01,964.8680510000002,83.05,15.05,32.38,123.77,3040.87,68.27,8,7,2,17.921120013847673
KARURVYSYA,3,301.4,28510.472289,96.98,23.96,39.27,54.67,29125.01,2.11,2,6,8,16.436777129389817
MVKAGRO,3,609.3,1236.41896,73.35,16.07,146.18,1638.37,3077.2,59.82,15,1,1,17.23431988299062
MUTHOOTFIN,3,3829.6,40949.38796000001,85.36,20.48,47.71,73.31,153656.24,73.35,7,4,5,16.870247862489176
PFOCUS,3,225.63,6873.802139999999,80.85,24.04,54,112.96,17521.8,60.77,10,3,3,15.354844938344185
UNIONBANK,3,180.76,34815.78593199999,96.56,21.58,41.11,62.77,137938.93,74.76,2,5,6,14.372572788224378
AXISBANK,4,1370.4,390690.26672499994,97.93,11.16,28.99,39.17,425356.85,8.15,2,8,12,21.75144085763925
CANBK,4,147.42,49576.428231,83.73,7.61,39.22,62.16,133737.33,62.93,8,6,7,20.636203933145886
DREDGECORP,4,1125.75,836.323761,84,51.89,70.3,51.63,3152.37,73.47,8,2,9,18.858149501126395
HINDALCO,4,962.6,141281.98645599998,86.1,13.53,43.15,63.75,216159.71,34.64,7,5,6,18.346357564825194
INDIACEM,4,457.7,3547.1925,87.26,13.76,26.4,70.5,14188.77,75,6,9,5,20.288112647717735
KRISHNADEF,4,1069.25,637.764958,88.25,35.13,32.53,59.89,1595.21,60.02,6,7,7,19.940902389640048
LTF,4,286.35,24334.606526000003,78.28,5.86,42.36,98.34,71635.58,66.03,12,5,3,20.284975845607864
MIRCELECTR,4,29.94,657.935604,75.75,9.87,96.71,66.7,1105.96,40.51,13,2,6,20.55181860936866
SBIN,4,1077.15,443159.40434999997,98.67,14.96,35.66,41.25,995863.83,55.5,1,7,11,19.15108731354833
SJS,4,1668.3,4195.6631370000005,79.59,3.33,44.27,82.47,5323.77,21.19,11,5,5,20.041454363026304
TMB,4,609.25,9644.38,94.27,22.02,37.22,43.71,9644.38,0,3,6,11,19.797311289177696
TDPOWERSYS,4,729.5,8341.193174,78.37,-5.86,44.47,111.66,11405.98,26.87,12,5,3,19.113413500566615
ATHERENERG,5,621.25,14029.119832000002,66.43,-10.22,78.88,NA,23721.88,40.86,20,2,2,23.836469561583552
BGRENERGY,5,348.85,1238.7366450000002,66.34,-20.41,260.35,160.86,2528.55,51.01,21,1,2,23.09144898349184
BEL,5,449,160362.951602,95.89,5.37,19.03,61.08,328209.07,51.14,3,13,7,22.673597533837626
ECLERX,5,4651.2,10090.570284,88.34,-1.62,22.43,54.83,22186.83,54.52,5,10,8,24.065669468803783
INFOBEAN,5,807.6,501.32479999999987,70.74,30.51,47.08,136.04,1958.3,74.4,17,4,2,23.041626350361483
MRPL,5,176.54,3537.1896880000004,90.17,6.09,42.89,39.68,30973.64,88.58,5,5,12,21.8538217234971
NAVINFLUOR,5,6099,22779.808759000003,93.55,7.24,21.7,56.05,31252.31,27.11,3,11,8,22.31899976732567
SABTNL,5,1650.4,1706.1349760000003,68.1,108.29,59.68,281.33,4173.52,59.12,19,3,1,23.06862370892639
THANGAMAYL,5,3320.6,3981.276928,68.45,53.05,73.54,95.58,10357.12,61.56,19,2,3,23.80464616420006
TVSHLTD,5,15058,7781.831126000001,85.5,-0.77,29.21,61.35,30469.19,74.46,7,8,7,21.949320585533414
TVSMOTOR,5,3677.4,86912.280563,86.52,4.81,28.66,49.78,174768.31,50.27,7,8,9,23.86949146572811
VEDL,5,681.55,116290.68881399998,78.31,38.09,60.57,57.6,266599.47,56.38,12,3,8,22.24733279185856
APLAPOLLO,6,2045.7,40749.691059000004,88,14.19,28.33,38.61,56809.83,28.27,6,8,13,26.848070455921974
ASAHIINDIA,6,1001.8,12371.564575,85.48,8.55,22.95,54.4,25545.25,51.57,7,10,8,25.9994778925439
