symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ABCAPITAL,1,358.05,29311.551689999997,99.01,28.86,60.91,84.74,93647.13,68.7,1,4,4,9.121096905758538
BELRISE,1,167.59,4029.9551709999996,93.88,20.07,78.72,NA,14931.29,73.01,5,2,2,9.19521635576119
CUPID,1,329.25,4824.13932,94.36,91.1,204.24,297.64,8859.76,45.55,4,1,1,6.422481907008841
LTF,1,312.35,26494.968750000004,98.39,43.83,82.35,116.43,78156.25,66.1,2,2,3,6.6038384857243315
LAURUSLABS,1,1031.35,40263.978755000004,99.59,20.36,69.18,86.94,55605.55,27.59,1,3,4,7.823005345679268
LUMAXTECH,1,1536.3,4613.674572000001,99.48,30.78,89.3,198.66,10480.86,55.98,1,2,2,4.641842705549889
LUMAXIND,1,5610.6,1312.9375,94.72,33.34,89.18,144.89,5251.75,75,4,2,2,7.865397606110761
ATHERENERG,2,717.95,16084.488664000002,85.67,59.49,129.38,NA,27363.88,41.22,11,1,1,14.287512550486253
BGRENERGY,2,428.75,1511.2435200000002,86.3,149.53,282.64,1003.32,3084.8,51.01,11,1,1,12.923257635082226
CARTRADE,2,3087.7,14762.11,89.8,28.76,98.82,132.25,14762.11,0,8,2,2,11.830120724564468
IMFA,2,1348.1,3005.17857,94.55,56.43,115.9,60.37,7274.7,58.69,4,2,6,12.0751920398098
INDOTHAI,2,424.75,2103.5751680000003,87.6,169.96,123.75,286,5176.12,59.36,10,1,1,12.344307127086106
LGBBROSLTD,2,1961.5,4084.406930000001,98.49,54.29,52.39,53.53,6266.35,34.82,2,6,7,14.78621850245347
MEGASOFT,2,207.74,993.013448,85.8,55.73,147.57,206.36,1529.36,35.07,11,1,1,13.978634511242943
MUTHOOTFIN,2,3744.2,40070.35636500001,96.61,41.94,69.01,95.83,150357.81,73.35,3,3,3,9.428752552009978
ROSSTECH,2,773.85,737.2386000000001,89.14,15.18,105.27,NA,2925.55,74.8,8,2,2,11.84375595031144
SBC,2,26.47,619.981992,96.7,38.51,77.77,45.36,1257.06,50.68,3,2,10,14.76707853854577
SENORES,2,823.7,2054.8575,97.91,19.35,57.42,NA,3791.25,45.8,2,5,5,11.557072625480492
TFCILTD,2,72.98,3243.437565,94.25,21.21,60.5,107.09,3373.31,3.85,4,4,3,11.224947765157905
ACUTAAS,3,1837.5,10136.178416,93.44,30.69,56.21,75.12,15052.24,32.66,5,5,5,14.82581472713446
AIMTRON,3,961.85,560.7756,88.54,39.84,71.54,71.19,1963.5,71.44,9,3,5,16.595441714549732
AUBANK,3,955.25,55062.944172,98.47,33.03,37.83,63.07,71343.54,22.82,2,9,6,17.046341286531742
GRMOVER,3,469.45,912.4921170000001,89.74,28.21,55.94,129.92,2868.57,68.19,8,5,2,15.198148514381238
KRISHIVAL,3,479.9,670.421388,90.54,6.41,74.89,70.18,1067.72,37.21,7,3,5,14.973700187195218
MCX,3,10073.5,51388,93.44,36.31,52.58,65.04,51388,0,5,6,6,16.578395286859013
RMDRIP,3,81,1607.913072,90.23,11.82,45.06,163.07,2036.88,21.06,7,7,2,16.272578294881583
RBLBANK,3,312.4,19264.85,89.46,19.67,46.62,98.36,19264.85,0,8,7,3,18.08074693636089
THANGAMAYL,3,3254,3892.5497199999995,88.91,44.28,68.78,68.2,10126.3,61.56,9,3,5,17.35207888456347
UNIVCABLES,3,956.3,1265.412062,91.39,34.32,60.14,55.8,3320.42,61.89,7,4,7,17.936620095199448
VMARCIND,3,714.35,612.8393369999999,85.01,52.01,115.17,82,1744.49,64.87,12,2,4,17.769862420468655
ZOTA,3,1574.3,2131.840494,85.94,31.19,57.52,175.98,4824.26,55.81,11,5,2,17.360558979283113
ABDL,4,653.8,3486.280706000001,85,29.36,63.57,102.32,18262.34,80.91,12,3,3,18.728048239772477
ASHAPURMIN,4,685.8,3421.1124600000003,84.76,32.89,62.78,114.8,6552.6,47.79,12,4,3,18.70576099034753
BLACKBUCK,4,667.75,8808.33537,83.46,4.87,51.73,146.95,12097.7,27.19,13,6,2,21.178183459055393
AGARWALEYE,4,533.75,11388.257216,85.79,23.42,57.68,NA,16851.52,32.42,11,4,4,20.289655150004712
