Name,symbol,ptile,cmp,ff_mcap,BSE Code,52w Index_s,Return over 6months_s,Return over 1year_s,52w Index_t,Return over 6months_t,Return over 1year_t,Percentile_52w_Index_s,Percentile_Return_6months_s,Percentile_Return_1year_s,Percentile_52w_Index_t,Percentile_Return_6months_t,Percentile_Return_1year_t,Total_Percentile_Score_s,Total_Percentile_Score_t,ptile_s
PC Jeweller Ltd.,PCJEWELLER,1,169.69,3590.97,534809,100,200.6,547.67,100,224.77,540.34,1,2,2,1,2,2,0.014730582,0.016376663,1
VL E-Governance & IT Solutions Ltd.,VLEGOV,1,160.23,1134.71,543958,100,201.18,379.01,100,205.78,356.5,1,2,2,1,2,3,0.020146386,0.026612078,1
Hubtown Ltd.,HUBTOWN,1,327.95,2265.26,532799,100,142.12,412.82,100,144.19,430.23,1,3,2,1,3,2,0.030506568,0.034800409,1
Refex Industries Ltd.,REFEX,1,573.75,2969.08,532884,98.55,308.36,350.88,98.8,330.58,351.63,2,1,2,5,1,3,0.028337804,0.053224156,1
IIFL Securities Ltd.,IIFLSEC,1,341,7283.13,542773,97.33,165.06,292.41,97.99,184.52,291.5,4,2,3,7,2,3,0.063736512,0.099283521,1
PCBL Ltd.,PCBL,2,572.05,10491.92,506590,98.55,107.79,238.99,99.01,115.99,240.1,2,5,4,4,6,4,0.090398997,0.108495394,2
Trent Ltd.,TRENT,2,7833.7,175413.45,500251,98.23,101.55,276.59,98.66,102.15,270.59,3,6,3,5,7,4,0.096328987,0.127942682,2
Optiemus Infracom Ltd.,OPTIEMUS,2,851.2,1835.08,530135,96.57,215.73,189.67,97.41,227.45,180.92,6,2,7,9,2,8,0.112624783,0.159672467,2
PG Electroplast Ltd.,PGEL,2,664.2,8070.23,533581,94.48,270.54,273.97,95.71,317.92,272.43,9,1,3,16,1,4,0.108810523,0.179119754,2
V2 Retail Ltd.,V2RETAIL,2,1280.1,2023.49,532867,94.53,188.77,671.14,95.2,197.66,674.88,9,2,1,18,2,1,0.093523004,0.184237462,2
