symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ABINFRA,1,195.51,862.36545,95.37,171.88,177.36,1248.9,30.95,2,1,1,4.869215406471323
APOLLO,1,262.79,4325.47815,95.2,135.18,151.47,8764.9,50.65,2,2,2,6.191436761713432
BGRENERGY,1,171.82,607.4172120000001,93.26,140.64,228.28,1239.88,51.01,3,2,1,6.790237853154319
CUPID,1,172.29,2659.153958,98.53,167.66,101.98,4625.42,42.51,1,1,3,5.8601352284534265
GABRIEL,1,1152.4,7449.0885,93.55,160.14,110.16,16553.53,55,3,1,3,7.347590688769895
JUBLCPL,1,2888.5,1097.607186,96.86,142.55,NA,4352.13,74.78,2,2,2,5.440148274043246
RMDRIP,1,724.4,1428.4587699999997,95.17,88.16,276.7,1809.55,21.06,2,4,1,7.555799653995425
AIIL,2,3232.9,13754.75961,99.11,113.7,91.25,54909.22,74.95,1,3,4,7.611308320692088
C2C,2,871.25,850.3428899999999,88.24,156.1,NA,1449.86,41.35,7,2,2,10.200448338510215
FORCEMOT,2,19477,9847.050416999999,84.11,172.25,133.83,25663.41,61.63,10,1,2,12.79124063491112
GARUDA,2,216.33,652.942588,94.85,107.17,NA,2012.77,67.56,3,3,3,8.854509757955825
GODFRYPHLP,2,11003.5,15687.396042000002,93.72,114.66,69.07,57211.51,72.58,3,3,5,10.717621245843604
JSLL,2,708.15,3210.2206920000003,91.72,115.43,151.23,8802.36,63.53,4,3,2,8.75496512695542
KRISHANA,2,577.65,984.286548,90.68,202.93,133.68,3497.82,71.86,5,1,2,8.33438131920602
KRISHIVAL,2,451,631.359729,91.57,99.12,100.44,1005.51,37.21,5,3,3,11.265359631679594
LUMAXTECH,2,1174.7,3524.456898,90.15,142.51,123.22,8006.49,55.98,6,2,2,9.887607802730148
MANGCHEFER,2,345.55,1612.7921480000002,89.05,155.72,163.32,4095.46,60.62,6,2,2,9.668457567418873
PARADEEP,2,217.42,7802.4560040000015,89.1,128.5,161.04,17748.99,56.04,6,2,2,10.332019631307048
ROSSTECH,2,671.85,638.2252800000001,87.47,152.53,NA,2532.64,74.8,7,2,2,10.84684697884311
CARTRADE,3,2398,11389.08,91.98,54.85,182.72,11389.08,0,4,11,1,16.11780976290783
CENTUM,3,2753.5,1963.250928,89.41,136.93,61.51,4049.61,51.52,6,2,6,14.35534989575794
CHOICEIN,3,796,7130.850408000001,92.55,69.92,76.52,16370.18,56.44,4,7,4,15.34729413614026
GVT&D,3,2779.2,34869.0958,89.41,104.22,62.18,71161.42,51,6,3,6,15.417429571305968
IXIGO,3,270.38,10555.73,87.5,108.18,64.08,10555.73,0,7,3,6,15.945527620623428
LUMAXIND,3,4207.6,983.5275,96.52,75.49,43.98,3934.11,75,2,6,9,16.463415616182072
MAHSCOOTER,3,15876,8890.555100000001,93.09,70.9,62.97,18143.99,51,4,7,6,16.14257497409282
"NACLIND",3,277.85,2063.9867560000002,78.82,300.24,403.26,5590.43,63.08,13,1,1,15.265486725663713
SMLISUZU,3,4197.4,3403.667856,85.27,265.52,102.44,6073.64,43.96,9,1,3,13.167087757771359
SYRMA,3,753.25,7767.685488,93.47,77.21,71.84,14497.36,46.42,3,6,5,13.975573365371476
TFCILTD,3,301.05,2680.267785,90.65,101.56,68.45,2787.59,3.85,5,3,5,13.776189140835573
ZUARI,3,361.7,529.2393960000002,86.42,104.95,76.66,1521.24,65.21,8,3,4,15.706471332640056
COFFEEDAY,4,50.03,970.119331,96.93,63.34,32.88,1056.89,8.21,2,8,11,20.916729475400558
HBLENGINE,4,807.1,9148.07436,93.52,83.95,29.18,22372.4,59.11,3,5,12,20.42299495894603
HLEGLAS,4,525.95,1192.737524,91.79,122.45,28.44,3590.42,66.78,4,2,13,19.508094149042744
HUBTOWN,4,353.05,3154.8834200000006,94.01,91.01,30.28,4787.38,34.1,3,4,12,18.615974623454264
JMFINANCIL,4,177.48,7380.239953,81.67,90.43,66.51,16969.97,56.51,11,4,5,20.16503398032009
MANAKCOAT,4,144.68,641.0401200000001,76.48,90.29,125.57,1442.16,55.55,15,4,2,21.324438401328038
"NAVA",4,687.6,9951.179488,93.43,79.48,44.38,19954.24,50.13,3,6,8,17.31543551326207
PAYTM,4,1207,77064.41,88.05,72.8,94.08,77064.41,0,7,7,3,17.25709522894408
QPOWER,4,784.1,1584.2865510000004,77.75,128.5,NA,6072.39,73.91,14,2,2,18.848370743714476
SIRCA,4,462.75,823.02286,95.16,77.54,43.87,2536.28,67.55,2,6,9,16.778394488368917
SUDARSCHEM,4,1495.6,9827.088039999999,94.16,74.24,44.78,11754.89,16.4,3,7,8,17.65276810470273
TI,4,473.8,5512.4948699999995,83.02,110.37,72.7,9182.9,39.97,10,3,5,17.864559212167226
ABCAPITAL,5,277.85,22673.370323999996,89.87,79.78,26.23,72578.01,68.76,6,5,14,24.91530940740811
ANURAS,5,1129.8,5083.522372,88.73,54.84,45.07,12420.04,59.07,7,11,8,25.490495380321075
AXISCADES,5,1245.8,2213.0424799999996,75.99,75.91,93.24,5294.36,58.2,16,6,3,25.28850731920511
BALAJITELE,5,95.07,774.2493300000001,85.48,78.9,35.7,1136.93,31.9,9,6,11,25.112326265135998
DATAMATICS,5,1010.35,2013.109098,81.87,74.73,45.89,5978.94,66.33,11,6,8,25.35131537162554
LAURUSLABS,5,856.9,33495.12815999999,86.87,57.09,82.26,46257.6,27.59,8,10,4,21.687354648323332
MFSL,5,1602.2,54332.169354000005,89.49,59.69,49.06,55294.29,1.74,6,9,7,22.525448497519672
NESCO,5,1404.6,3113.536425999999,88.89,60.44,48.62,9896.81,68.54,6,9,7,22.840427369706518
ROHLTD,5,536.9,531.705306,96.72,52.16,43.19,1472.46,63.89,2,12,9,22.868060373163377
SHAILY,5,2232,5772.740904,98.77,40.1,111.65,10257.18,43.72,1,20,3,23.462569913049087
VIMTALABS,5,666.25,1877.8484939999998,86.87,52.31,113.1,2965.18,36.67,8,12,3,22.450490589593425
YATHARTH,5,695.05,2569.011396,88.61,89.96,32.67,6697.11,61.64,7,4,11,21.83775652199987
ABDL,6,505.4,2698.6673950000004,86.75,60.37,40.62,14136.55,80.91,8,9,10,26.487792276411135
ASHAPURMIN,6,516.05,2575.72645,81.65,57.4,52.23,4929.62,47.75,11,10,7,27.76217961298917
ECLERX,6,4221.3,9559.052833,83.41,58.24,45.37,20695.07,53.81,10,10,8,27.680344205491103
FIEMIND,6,2100.7,2269.089288,90.46,53.68,37.9,5528.97,58.96,5,11,10,26.410999683344027
FOSECOIND,6,6233,995.9661359999998,87.03,85.1,27.27,3980.68,74.98,8,5,13,25.492331825923728
GRMOVER,6,366.15,640.6160399999999,85.79,67.36,38.63,2196.9,70.84,9,8,10,25.984244775517265
JKCEMENT,6,6946.5,29166.663526000004,83.15,57.67,55.96,53674.39,45.66,10,10,7,26.47197748017265
