symbol,srank_t,ptile,Sector,Industry,Fund,Position,cmp,ret6m,ret1y,dist52,b6_t,b12_t,b52_t,bpos,match_name,ff_mcap
TECHNOE,1,1,Industrials,Electric Utilities,UTI_Small_Cap_Dir_Gr,6,1706.8,112.94,247.97,0.88,2,2,4,24,technoelectricengineering,7070
TRENT,2,1,Consumer Cyclical,Department Stores,LIC_MF_Midcap_Fund_Dir_Gr,1,5839,91.13,237.39,1.36,4,3,6,6,trent,130747.8
IWEL,3,1,Industrials,Electric Utilities,Aditya_BSL_Mid_Cap_Dir_Gr,32,8715.65,59.53,229.96,0.68,11,4,3,63,inoxwindenergy,3201.53
360ONE,4,1,Financial Services,Other Financial Services,Invesco_India_Smallcap_Dir_Gr,5,1132.3,80.13,121.69,0.6,5,15,2,18,360onewam,34662.39
ANANTRAJ,5,1,Real Estate,Realty,Motilal_Oswal_Nifty_Mcrcp_250_Idx_Dir_Gr,35,555.1,75.14,176.79,1.75,6,8,8,65,anantraj,7591.34
NAVA,6,1,Industrials,Electric Utilities,Motilal_Oswal_Nifty_Mcrcp_250_Idx_Dir_Gr,52,914.9,92.77,150.25,1.62,4,11,7,77,nava,6790.29
ZENTEC,7,1,Industrials,Defence,Motilal_Oswal_Nifty_Mcrcp_250_Idx_Dir_Gr,91,1705.15,113.04,171.46,2.17,2,8,12,92,zentechnologies,6438.83
ZOMATO,8,1,Consumer Cyclical,Internet Software & Services,Baroda_BNP_P_Focused_Dir_Gr,1,229.45,67.24,164.34,1.1,8,9,5,7,zomato,202535.2
BASF,9,1,Basic Materials,Specialty Chemicals,Tata_Small_Cap_Fund_Dir_Gr,3,6238.45,110.7,127.68,1.68,2,14,7,12,basf,7201.83
TORNTPOWER,10,1,Utilities,Electric Utilities,Axis_Growth_Opportunities_Dir_Gr,1,1866.45,85.17,177.83,2.18,5,7,12,6,torrentpower,41649.9
SUZLON,11,2,Industrials,Heavy Electrical Equipment,Edelweiss_Large___Mid_Dir_Gr,8,69.38,58.4,284.38,2.13,12,2,11,30,suzlonenergy,82071.33
NCC,12,2,Industrials,Construction & Engineering,ITI_Small_Cap_Dir_Gr,2,357.95,69.72,140.32,1.8,7,12,8,10,ncc,17529.54
MANGLMCEM,13,2,Basic Materials,Cement & Cement Products,Quant_Large_and_Mid_Cap_Dir_Gr,15,968.6,42.56,227.78,1.36,22,4,6,45,mangalamcement,1679.53
OFSS,14,2,Technology,IT Consulting & Software,Kotak_Multicap_Dir_Gr,4,11044.85,71.46,189.22,3.48,7,6,19,17,oraclefinancialservicessoftware,26136.78
THOMASCOOK,15,2,Consumer Cyclical,Travel Support Services,Nippon_India_Focused_Equity_Dir_Gr,14,260.68,41.87,214.64,1.26,22,5,5,43,thomascook,4435.12
INOXWIND,16,2,Industrials,Electric Utilities,ITI_Small_Cap_Dir_Gr,9,183.62,55.98,248.29,3.36,13,2,18,32,inoxwind,12384.3
TIDEWATER,17,2,Basic Materials,Oil Marketing & Distribution,Motilal_Oswal_Nifty_Mcrcp_250_Idx_Dir_Gr,197,2703.5,77.05,147.15,2.89,6,11,16,98,tidewateroil,1688.74
ZYDUSLIFE,18,2,Healthcare,Pharmaceuticals,ICICI_Pru_Focused_Equity_Dir_Gr,12,1247.2,65,94.72,0.36,9,24,1,40,zyduslifesciences,31399.48
GLENMARK,19,2,Healthcare,Pharmaceuticals,JM_Midcap_Dir_Gr,9,1468.75,63.97,83.88,0.36,9,28,1,32,glenmarkpharmaceutical,22111.65
PGEL,20,2,Technology,Consumer Electronics,Nippon_India_Value_Dir_Gr,54,444.5,125.04,193.09,5.2,1,6,31,78,pgelectroplast,5387.27
GRANULES,21,3,Healthcare,Pharmaceuticals,Aditya_BSL_Pure_Value_Dir_Gr,16,630.1,54.06,96.11,0.41,14,24,1,46,granules,9335.56
ISGEC,22,3,Industrials,Industrial Machinery,UTI_Small_Cap_Dir_Gr,46,1562.7,50.87,114.69,1.62,16,16,7,73,isgecheavyengineering,4316.96
TIPSINDLTD,23,3,Communication Services,Movies & Entertainment,Motilal_Oswal_Midcap_Dir_Gr,17,629.4,45.16,115.66,1.01,19,16,4,48,tipsindustries,2883.59
WABAG,24,3,Industrials,Utilities:Non-Electrical,Quant_Value_Dir_Gr,6,1342.65,99.15,156.28,4.44,3,10,26,24,vatechwabag,6752.64
ARTEMISMED,25,3,Healthcare,Healthcare Facilities,LIC_MF_Focused_30_Equity_Dir_Gr,19,263.76,46.05,107.28,1,18,18,4,50,artemismedicareservices,1179.19
IFCI,26,3,Financial Services,Financial Institutions,Motilal_Oswal_Nifty_Mcrcp_250_Idx_Dir_Gr,49,87.33,57.35,551.72,4.45,13,1,26,75,ifci,6454.77
