symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ABINFRA,1,186,823.1519549999998,99.1,139.73,225.29,1192.11,30.95,2,1,1,4.225797433256401
AIIL,1,2767.9,11780.511494999999,93.2,63.18,168.74,47027.99,74.95,6,4,2,10.864022589708316
GALLANTT,1,760.6,5703.404940999999,95.43,134.17,145.93,18356.63,68.93,4,1,2,7.737254114999542
KRISHANA,1,558.7,951.998712,93.58,175.67,98.09,3383.08,71.86,5,1,4,10.555241293567994
MANGCHEFER,1,353.7,1650.5969480000003,94.22,111.32,156.92,4191.46,60.62,5,2,2,8.757524021081736
"NACLIND",1,321.6,2401.280492,96.52,369.44,372.04,6504.01,63.08,3,1,1,5.004643019928323
RMDRIP,1,672.4,1325.221038,97.76,59.87,301.72,1678.77,21.06,2,4,1,7.326641259234208
CUPID,2,150.5,2320.06644,95.91,115,63.37,4035.6,42.51,3,2,8,13.14439236178308
GVT&D,2,2734.45,34212.1332,100,58.73,72.03,69820.68,51,1,4,7,12.077685664326472
JSLL,2,553.15,2507.5677899999996,91.66,50.33,134.09,6875.7,63.53,6,5,3,14.657087344716373
MAHSCOOTER,2,15961,8939.118999999999,97.03,72.91,72.52,18243.1,51,3,3,7,12.036487743842876
MANAKCOAT,2,162,719.8633050000001,91.42,54.1,153.6,1619.49,55.55,7,5,2,13.802395619469229
PARADEEP,2,215.35,7722.5059519999995,87.77,84.85,134.58,17567.12,56.04,9,2,3,14.500174588297886
POCL,2,1182.8,2021.54163,96.12,64.33,88.79,3363.63,39.9,3,3,5,11.288744904473917
RAMRAT,2,781.6,1066.4684289999998,98.62,46.34,83.51,3432.47,68.93,2,7,5,13.645433742567464
SHANKARA,2,1162.1,1683.891126,93.74,88.27,70.36,2814.93,40.18,5,2,7,14.526852379694365
SHARDACROP,2,1122.5,2550.154860000001,92.1,101.89,100.43,10127.7,74.82,6,2,4,11.916720353804841
TFCILTD,2,297,2639.2598100000005,98.7,105.02,54.49,2744.94,3.85,2,2,9,13.079613182321365
VIMTALABS,2,693.8,1948.968084,94.19,58.35,152.07,3077.48,36.67,5,4,2,11.630845195581951
AGIIL,3,1086.05,716.9276400000001,99.55,32.67,151.94,2649.4,72.94,1,14,2,17.305948244286462
CHOICEIN,3,760.2,6607.015272000001,90.56,48.56,90.91,15167.62,56.44,7,6,4,17.165640610119183
COROMANDEL,3,2686,34142.03566,97.11,50.4,61.94,79215.86,56.9,3,5,9,16.379754001988967
DATAMATICS,3,979.85,1954.944173,98.49,62.13,50.6,5806.19,66.33,2,4,10,15.896713336348979
GABRIEL,3,1030.7,6667.5015,87.55,131.92,108.14,14816.67,55,10,2,3,14.68732145910132
GODFRYPHLP,3,9105.5,12989.353044,87.68,82.77,115.46,47371.82,72.58,9,3,3,15.25656034804802
HIRECT,3,1838.7,1764.7924580000001,87.08,55.41,143.53,3150.29,43.98,10,5,2,17.17637674848959
POWERINDIA,3,20100,25703.809956999998,90.09,64.63,73.13,89591.53,71.31,7,3,6,17.238866570730067
MBAPL,3,446,994.2359039999999,92.91,54.7,85.81,3908.16,74.56,6,5,5,15.663071529226961
PAYTM,3,1085.85,69318.44,93.41,46.6,120.4,69318.44,0,5,7,3,15.101081452806145
SPMLINFRA,3,307.3,1432.5179599999997,95.69,72.18,57.06,2207.95,35.12,4,3,9,15.726026054085873
THYROCARE,3,1324.7,2032.8121619999997,95.26,66.96,62.2,7024.23,71.06,4,3,8,15.435587146032862
ALPEXSOLAR,4,1219.95,932.7108119999998,88.11,87.45,66.71,2985.63,68.76,9,2,7,18.799830539063613
AXISCADES,4,1328,2363.88196,83.56,86.24,135.27,5655.22,58.2,14,2,3,18.571090042302103
EIDPARRY,4,1232.65,12817.816834,97.67,51.91,50.26,21925.79,41.54,2,5,10,17.777168122745334
FORTIS,4,857.45,44506.159416999995,99.34,36.79,70.84,64660.99,31.17,1,11,7,19.048181874717528
