symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
KIRLOSENG,1,1510.5,12936.805152,97.95,33.58,74.32,136.89,21956.56,41.08,1,2,3,6.032461674258036
MTARTECH,1,3782.2,8073.128500000001,94.9,58.66,168.62,185.08,11632.75,30.6,3,1,2,5.282254125425975
PRECWIRE,1,333.45,2642.3538840000006,96.01,39.9,90.41,127.19,6091.18,56.62,2,1,3,7.0042990165205765
PFOCUS,1,275.65,8401.912638,91.2,47.84,74.05,180.62,21417.06,60.77,4,2,2,7.153478966964704
SBC,1,32.37,765.55335,97.59,17.71,58.44,141.03,1541.9,50.35,1,3,3,7.352265933853539
STLTECH,1,181.3,4911.876252,97.29,83.21,64.85,209.44,8840.67,44.44,2,2,1,5.4795730392810675
SWANDEF,1,2022.5,546.6125550000004,98.53,77.07,305.64,2751,10738.95,94.91,1,1,1,3.159548751007253
ACUTAAS,2,2250.7,12410.782202,96.59,31.8,52.63,82.83,18430.03,32.66,2,4,7,12.088484275244733
BAJAJCON,2,371.8,2762.4932790000003,85.68,38.24,65.11,128.72,4843.93,42.97,6,2,3,11.9024997534324
BELRISE,2,197.2,5889.506610000002,96.78,22.51,44.34,NA,17559.65,66.46,2,5,5,10.952365603775757
BHARATFORG,2,1923.9,51418.389770999995,98.78,36.83,69.25,77.08,91933.47,44.07,1,2,7,10.313641589343435
DATAPATTNS,2,3491.2,11253.016892000001,94.69,26.2,40.96,145.67,19539.88,42.41,3,5,3,10.544488749912713
GVT&D,2,3869,48497.196299999996,95.27,39.74,40.75,178.45,98973.87,51,2,5,2,9.782560375787881
POWERINDIA,2,25860,33066.536133,98.1,33.95,37.19,89.97,115254.57,71.31,1,6,5,12.836841270955892
MRPL,2,206.55,4131.7160300000005,94.43,34.35,63.33,82.63,36179.65,88.58,3,2,7,11.89577797812187
MCX,2,2533.9,64454.63,90.57,22.49,66.58,171.72,64454.63,0,4,2,2,7.987474683988731
NATIONALUM,2,396.15,35465.694768,87.94,45.03,86.74,105.48,72794.94,51.28,5,1,4,10.796622187825802
SAKAR,2,527.95,553.748866,88.33,40.45,58.85,93.84,1174.69,52.86,5,3,5,12.424672353132873
TDPOWERSYS,2,878.75,10049.626981999998,91.28,26.13,59.9,154.01,13742.14,26.87,3,3,2,8.499116240158534
CHENNPETRO,3,1007.5,4901.986019999999,84.16,8.55,43.44,91.16,14986.2,67.29,7,5,5,16.6763761625302
CUPID,3,402.2,5893.91847,73.77,10.16,129.54,497,10824.46,45.55,14,1,1,16.579769816610327
DYNAMATECH,3,10751,4247.843937000001,87.65,26.8,62.55,65.4,7307.49,41.87,5,3,9,17.50446525224436
GESHIP,3,1415.3,14129.433423000002,96.44,29.73,45.73,62.2,20205.11,30.07,2,4,10,16.587766919974936
INDIANB,3,939.4,33151.749191999996,88.39,16.13,41.42,78.32,126726.87,73.84,5,5,7,16.817640622738864
KARURVYSYA,3,312.55,29575.476333000002,83.67,25.95,51.65,83.77,30212.97,2.11,7,4,6,17.02440109401521
KRISHNADEF,3,1127.3,672.9833399999999,84.54,51.99,52.17,99.5,1683.3,60.02,7,4,4,14.41251842304405
LUMAXTECH,3,1531.9,4574.479164,78.76,0.47,43.34,187.95,10391.82,55.98,11,5,2,17.15506863021545
SANSERA,3,2197.7,9549.190634,86.25,32.62,61.16,91.41,13676.87,30.18,6,3,5,13.87293076153482
SMSPHARMA,3,375.75,1136.47311,88.05,18.53,59.05,90.9,3558.15,68.06,5,3,5,13.17308736299608
THANGAMAYL,3,3695.2,4411.478188,82.18,14.64,68.28,114.41,11476.27,61.56,8,2,4,14.068727541366984
VMARCIND,3,698.95,599.630457,82.46,9.02,50.3,175.29,1706.89,64.87,8,4,2,13.954706133638343
AGIIL,4,299.95,991.1103840000001,90.43,8.38,27.38,80.59,3662.64,72.94,4,9,7,19.422951961878525
APARINDS,4,10394,17628.719242,83,16.8,33.68,81.63,41744.54,57.77,7,7,7,21.187159375433602
ASHOKLEY,4,194.67,55597.11071399999,82.74,21.02,48.86,84.87,114256.29,51.34,8,4,6,17.987499931715924
AUBANK,4,964.25,55732.393927000005,86.64,0.37,38.88,74.3,72182.87,22.79,6,6,7,19.18325026844333
BEL,4,468.45,167309.631874,97.74,15.13,26.33,71.62,342426.59,51.14,1,9,8,18.38974056321502
FEDERALBNK,4,286.5,70651.19,87.75,10.53,50.38,57.64,70651.19,0,5,4,12,20.805826454353998
NAVINFLUOR,4,6572,24547.179878,88.09,13.86,40.93,59.5,33677.02,27.11,5,5,11,21.403210960652178
RRKABEL,4,1528.5,6633.329922000001,94,11.72,26.71,66.65,17301.33,61.66,3,9,9,20.687733239784976
RHETAN,4,26.03,787.2638280000001,87.6,8.41,35.5,86.59,2078.31,62.12,6,6,6,17.821329701050814
SHREEJISPG,4,377.9,617.5319999999999,78.02,14.62,49.16,NA,6175.32,90,11,4,4,19.36742258547254
SILVERTUC,4,141.3,909.279375,73.98,91.62,104.16,124.5,3581.25,74.61,14,1,4,18.739001491125602
VEDL,4,721,123007.72389000001,87.98,37.46,61.84,62.77,281998.45,56.38,5,3,10,17.946264652397296
ATHERENERG,5,674.05,15275.146406,76.93,-0.17,34.99,NA,25828.79,40.86,12,7,7,24.75789110164614
CUMMINSIND,5,4800.7,65191.3003,92.26,7.42,21.94,61.47,133043.47,51,3,10,10,23.94958582106711
GRMOVER,5,158.58,1243.706285,75.35,1.17,31.63,103.52,3306.85,62.39,13,8,4,24.459585281747053
HAPPYFORGE,5,1257.2,2553.3744,82.75,21.02,41.92,55.01,11876.16,78.5,8,5,12,24.804369287043713
HINDCOPPER,5,558.6,18293.758904,65.04,50.22,128.72,149.98,54027.64,66.14,21,1,2,24.235127544227478
KMEW,5,1597.9,1812.246251,72.46,5.38,82.62,95.83,3908.23,53.63,16,2,5,21.603446314760493
MVKAGRO,5,565,1146.524246,67.23,-31.01,52.7,973.12,2853.47,59.82,19,3,1,23.925904247547706
PASHUPATI,5,1011.95,542.5071140000001,82.25,23,50.52,61.69,1595.14,65.99,8,4,10,22.404296285157482
POLYCAB,5,8552,49554.524249999995,95.85,17.84,18.32,68.46,128713.05,61.5,2,12,9,23.195144222427125
RACLGEAR,5,1403.6,948.697588,72.37,34.73,53.33,91.77,1655.09,42.68,16,3,5,23.859597021642237
SHRIRAMFIN,5,1007.5,141473.04298400003,81.44,17.85,70.04,56.36,189591.32,25.38,9,2,12,22.74070855332807
UNIONBANK,5,188.65,36357.119536,82.03,23.06,48.15,61.38,144045.64,74.76,9,4,11,23.644001683314237
ABCAPITAL,6,326.55,26862.893472000003,80.07,-8.98,16.17,104.63,85496.16,68.58,10,13,4,27.405593086691574
CPPLUS,6,1670.4,4540.359875,88.1,10.48,22.09,NA,19663.75,76.91,5,10,10,24.885530102451945
BANKINDIA,6,159.58,19337.465444,78,11.51,41.76,62.97,72642.62,73.38,11,5,10,26.336303768496414
BLISSGVS,6,213.89,1461.7431040000001,78.3,24.91,37.2,68.88,2261.36,35.36,11,6,9,25.81179781993524
BSE,6,2751.6,112072.42,76.23,-2.28,18.62,94.07,112072.42,0,12,12,5,28.580177107542113
CANBK,6,145.97,49069.05484800001,79.23,-1.8,36.24,71.03,132368.64,62.93,10,6,8,25.161283166569557
FORCEMOT,6,21345,10782.292308,73.62,24.34,20.42,187.64,28100.84,61.63,14,11,2,26.820249958458447
LUMAXIND,6,5576.5,1300.9825,71.39,-1.64,34.62,130.12,5203.93,75,17,7,3,26.51499423980354
MAHLOG,6,392.1,1567.14832,80.09,24.65,22.26,67.11,3879.08,59.6,10,10,9,28.615135058952248
