symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
BLISSGVS,1,260.98,1784.632832,97.49,58.8,71.1,119.27,2760.88,35.36,2,2,4,8.163167264532138
LUMAXTECH,1,1847.8,5543.958036000001,98.68,20.65,55.56,258.45,12594.18,55.98,2,3,2,5.897252930429809
MTARTECH,1,4397.4,9385.288180000001,98.4,66.92,99.35,232.44,13523.47,30.6,2,1,2,4.85513608662604
MCX,1,2765.6,70520.54,99.35,14.42,48.2,154.12,70520.54,0,1,4,3,7.723520783048175
NATIONALUM,1,418.05,37407.406008,95.28,11.91,84.29,191.89,76780.39,51.28,4,2,2,7.700461401005476
STLTECH,1,242.78,6586.343532,100,161.31,104.88,310.24,11854.47,44.44,1,1,1,3.891218712077766
VENUSREM,1,1040.15,809.704896,99.51,39.89,125.38,240.09,1390.29,41.76,1,1,2,3.9793416367733956
BAJAJCON,2,420.55,3132.743445,91.23,48.68,58.64,148.14,5493.15,42.97,7,3,3,12.073118724079542
HARDWYN,2,20.93,574.563763,97.86,18.38,71.56,72.83,1021.81,43.77,2,2,8,12.199703289815837
POWERINDIA,2,28325,36238.241453999995,96.85,65.59,61.97,136.45,126309.66,71.31,2,2,3,8.277870087612843
KIRLOSENG,2,1485,12718.376928000001,94.82,27.28,68.52,104.5,21585.84,41.08,4,2,5,11.020506340930002
PRECWIRE,2,341.3,2706.582312,93.56,50.23,66.84,161.19,6239.24,56.62,5,2,3,9.614654149275232
PFOCUS,2,337.55,10275.733588,92.05,39.58,99.62,274.51,26193.56,60.77,6,1,1,8.6511988424969
ROSSTECH,2,936.6,883.8874800000001,96.8,62.43,37.54,227.94,3507.49,74.8,3,5,2,8.934864446785536
SAKAR,2,618.6,648.8255320000001,94.49,64.89,71.76,139.5,1376.38,52.86,4,2,3,9.344168478043443
SANSERA,2,2346.2,10213.339419999998,96.29,28.73,64.68,115.19,14628.1,30.18,3,2,4,9.503713878035446
SBC,2,33.09,781.634985,97.45,15.58,46.03,155.13,1574.29,50.35,2,4,3,8.421133099521258
THANGAMAYL,2,4175.4,4982.79166,97.32,11.45,111.58,103.78,12979.4,61.61,2,1,5,8.2665604288629
VEDL,2,752.55,128371.91519999999,95.48,18.1,55.79,97.96,294296,56.38,4,3,6,12.114748829828384
CPPLUS,3,1954.2,5314.5006140000005,95.36,37.65,37.3,NA,23016.46,76.91,4,5,5,13.208969315499598
AEROFLEX,3,289.34,1322.5162650000002,93.45,61.04,70.96,75.21,3830.05,65.47,5,2,8,15.062851218178661
ATHERENERG,3,907.85,20536.299946,93.86,38.95,42.86,NA,34724.89,40.86,5,4,4,12.938945712037773
AVANTIFEED,3,1417,10960.021877,91.72,70.84,106.39,77.2,19306.01,43.23,6,1,7,14.512880555814855
BELRISE,3,204.42,6096.4987200000005,96.15,16.33,35.51,NA,18176.8,66.46,3,5,5,13.556884343036984
BSE,3,3303.6,134555.32,97.37,16.65,34.49,75.58,134555.32,0,2,5,8,15.390963341290053
CUPID,3,92.45,6709.221183,86.06,-0.56,82.1,662.16,12431.39,46.03,10,2,1,12.849700622758
GVT&D,3,4093.6,51360.1487,91.65,46.41,40.29,206.99,104816.63,51,6,4,2,12.524690954673344
SHRIPISTON,3,3610.5,8947.96875,96.36,18.54,35.69,102.58,15907.5,43.75,3,5,5,12.923499446585502
SMSPHARMA,3,416.85,1243.334768,92.6,23.06,51.15,105.29,3892.72,68.06,5,3,5,13.14271759858113
STEELCAS,3,293.46,1629.5180000000003,98.07,44.25,37.18,66.74,2962.76,45,2,5,9,15.699976663243936
TDPOWERSYS,3,915.55,10459.235424999999,93.27,33.21,44.27,123.99,14302.25,26.87,5,4,4,12.716559095333977
VMARCIND,3,763.3,654.8372519999999,92.48,15.77,35.51,205.93,1864.04,64.87,6,5,2,12.86822734000986
ACUTAAS,4,2393.6,13188.303310000003,82.14,42.2,54.55,112.14,19584.65,32.66,12,3,4,18.95275773780154
AGIIL,4,359.55,1287.6406289999995,88.67,25,34.16,123.53,4484.99,71.29,8,6,4,17.684249689954523
ANONDITA,4,832,574.9840800000001,73.51,-14.43,85.61,NA,1504.8,61.79,16,2,2,19.237765538945713
APARINDS,4,11115,18854.461884,92.2,48.64,26.53,121.04,44647.08,57.77,6,8,4,17.452203656536287
CUMMINSIND,4,4991.4,67797.1889,93.24,23.88,26.67,77.32,138361.61,51,5,8,7,19.852821747189587
DEEDEV,4,366.4,756.0055859999999,93.95,71.7,35.28,60.98,2535.23,70.18,5,5,11,20.57765205563482
EBGNG,4,418.1,1015.1050710000003,96.14,46.7,25.63,NA,4767.99,78.71,3,8,8,19.507789142407553
INDIANB,4,966.5,34056.152711999996,92.81,14.19,25.35,80.38,130184.07,73.84,5,8,7,20.310092813612666
JAYNECOIND,4,87.11,3793.5789450000007,88.68,-0.32,22.55,186.26,8458.37,55.15,8,10,2,20.358631932683455
KMEW,4,1737.9,1969.4173660000001,82.72,-5.43,49.26,151.4,4247.18,53.63,11,3,3,17.70125818453373
SGMART,4,543.65,4365.498626999999,88.8,59.55,54.47,70.26,6849.99,36.27,8,3,9,19.902857085705918
SWANDEF,4,1805.8,960.8473399999996,70.55,-1.89,170.33,1800.04,9513.34,89.9,18,1,1,19.746656176239185
ANANDRATHI,5,3592.2,16935.923304,95.77,13.96,14.73,99.52,29774.83,43.12,4,14,5,22.72386883409567
ATLANTAELE,5,1301.6,1273.8363610000004,92.3,58.82,26.34,NA,10006.57,87.27,6,8,8,21.195436664044053
BHARATFORG,5,1801.3,48165.853330000005,84.94,24.47,42.37,79.74,86118.1,44.07,11,4,7,21.585729907053036
EMCURE,5,1630.4,6839.466817999999,94.41,5.15,19.49,77.32,30905.86,77.87,4,11,7,22.61537092106842
GVPIL,5,473.2,999.53304,76.78,55.68,49.32,103.77,3181.2,68.58,15,3,5,22.827878088786353
HAPPYFORGE,5,1297.3,2638.8476499999997,88.21,17.41,41.82,67.98,12273.71,78.5,9,4,9,22.0680846524157
