symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
BAJAJCON,1,402.85,3003.9240810000006,97.73,50.68,71.85,146.57,5267.27,42.97,4,2,3,8.852641106386857
BHARATFORG,1,1912,51164.92619699999,99.21,33.35,72.77,82.93,91480.29,44.07,2,2,8,12.122613647714605
MTARTECH,1,3683.4,7853.199900000001,91.87,45.45,163.85,163.7,11315.85,30.6,8,1,2,11.255351569671374
PRECWIRE,1,306.98,2438.6067000000003,97.31,19.9,79.93,122.63,5621.5,56.62,4,2,4,9.602918640891946
SBC,1,32.19,761.774985,98.38,21.61,68.45,151.29,1534.29,50.35,3,3,3,8.056942517015417
SHRIRAMFIN,1,1104.6,155128.286586,99.37,29.7,90.37,92.36,207891.03,25.38,2,1,6,9.457269858356755
TDPOWERSYS,1,881.55,10081.138699,91.96,13.46,75.66,168.48,13785.23,26.87,8,2,2,11.749977532702815
ACUTAAS,2,2185.1,12051.631046,98.83,18.92,55.41,90.84,17896.69,32.66,3,4,7,13.538918918258442
ASHOKLEY,2,211.92,60602.852501999994,97.09,34.02,66.89,86.52,124543.47,51.34,4,3,7,14.387250824539114
BANKINDIA,2,177.2,21478.895372000003,98.81,20.43,60.67,80.67,80687.06,73.38,3,3,8,14.486358272593224
GVT&D,2,3864.4,48488.9496,97.19,34.12,39.05,169.46,98957.04,51,4,8,2,13.49640944793376
POWERINDIA,2,25401,32469.778394999998,99.49,15.17,32.92,115.3,113174.55,71.31,2,10,4,15.325663090736422
INDIANB,2,991.55,34938.83035199999,98.68,13.94,51.82,89.95,133558.22,73.84,3,5,7,14.520965638628725
KARURVYSYA,2,336.25,31822.541283,96.16,35.6,57.09,92.52,32508.47,2.11,5,4,6,14.754013703982132
LUMAXTECH,2,1748.2,5221.287034000001,94.49,13.79,48.82,221.42,11861.17,55.98,6,5,1,12.904029512039623
PFOCUS,2,266.51,8119.123183,86.83,57.02,84.13,158.05,20696.21,60.77,11,2,2,14.75543203039301
SANSERA,2,2289,9923.265248,92.58,30.87,80.19,92.04,14212.64,30.18,7,2,7,15.69949844928302
SMSPHARMA,2,389.4,1162.6543279999999,97.79,21.99,64.41,89.16,3640.12,68.06,4,3,7,13.832783986789043
THANGAMAYL,2,3908.8,4669.472092,90.57,20.12,73.31,109.81,12147.43,61.56,9,2,4,15.647612769489198
CANBK,3,158.88,53517.532695,95.23,4.82,53.02,86.87,144368.85,62.93,5,5,7,17.292395942506936
DATAPATTNS,3,3243.6,10454.001714,98.11,9.18,34.99,101.71,18152.46,42.41,3,9,5,17.085391858071446
FEDERALBNK,3,299.5,73891.69,98.3,16.12,56.23,67.59,73891.69,0,3,4,11,17.73995638503479
FORCEMOT,3,25457,12872.386784999999,94.86,42.87,30.7,273.04,33548.05,61.63,6,11,1,17.61807507040313
GRAPHITE,3,730.15,4932.371018,98.3,31.56,42.94,82.06,14230.73,65.34,3,7,8,17.919464896490055
JAMNAAUTO,3,148.25,2969.897043,94.83,29.4,42.88,93.71,5931.49,49.93,6,7,6,18.564247305833522
KIRLOSENG,3,1396.3,11988.146015999999,91.5,24.13,55.41,131.54,20346.48,41.08,8,4,3,16.06122477469318
MCX,3,2458.9,62694.82,86.46,22.05,66.37,123.64,62694.82,0,11,3,4,17.67732421974636
SHREEJISPG,3,399.95,649.813,89.02,20.89,58.21,NA,6498.13,90,10,4,4,17.249734928659073
STLTECH,3,164.54,4459.21782,94.01,57.24,43.46,146.39,8025.95,44.44,7,6,3,16.04102546792614
UNIONBANK,3,201.54,38850.649807999995,98.26,31.49,61.46,73.31,153924.92,74.76,3,3,10,16.22453896220332
VEDL,3,737.45,125813.60656199999,92.02,40.2,75.31,80.2,288431.01,56.38,8,2,8,18.444053130957613
ABCAPITAL,4,356.15,29295.803770000002,94.01,-0.53,28.18,133.82,93239.35,68.58,7,12,3,21.652954304480602
AGIIL,4,308.95,1020.0131700000001,95.42,13.88,35.86,89.76,3769.45,72.94,5,8,7,20.663860978291194
MAHABANK,4,75.65,15346.763520000004,99.34,29.18,45.62,55.31,58131.68,73.6,2,6,14,21.76823154726212
CUMMINSIND,4,4962.8,67408.7218,99.49,10.79,29.71,78,137568.82,51,2,11,9,21.299565560978323
CUPID,4,413.8,6049.890495000001,76.2,25.68,140.18,502.68,11110.91,45.55,19,1,1,21.6001761643818
INDSWFTLAB,4,149.35,737.7672500000001,99.1,53.21,55.48,62.46,1219.45,39.5,2,4,12,18.72838843039583
MRPL,4,197.14,3947.666742000001,93.57,24.72,61.56,72.46,34568.01,88.58,7,3,10,20.255210931416862
PASHUPATI,4,993.2,531.7293450000001,96.92,22.51,47.65,65.01,1563.45,65.99,4,6,11,21.330133670490433
SAKAR,4,514.3,539.427734,84.54,36.98,56.16,106.46,1144.31,52.86,12,4,4,20.93309568808121
MOTHERSON,4,135.31,73427.4957,99.19,16.34,45.89,61.54,142855.05,48.6,2,6,13,20.229837975811073
