symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
INDOTHAI,1,1970.9,768.49987,88.33,91.72,486.93,2008.1,61.73,3,1,1,5.311618188
MANGCHEFER,1,224.46,1048.583074,94.31,62.62,92.75,2662.73,60.62,2,1,4,7.720805609
MAZDOCK,1,3057.6,18711.83851,95.61,48.86,160.34,123347.65,84.83,2,2,2,5.993665542
NACLIND,1,187.84,1379.652404,81.19,247.92,167.58,3736.87,63.08,6,1,2,8.765746333
PANACEABIO,1,552.15,931.045632,93.66,58.71,290.49,3383.16,72.48,2,2,1,5.088218
RMDRIP,1,500.95,1028.876414,98.97,72.06,289.69,1251.37,17.78,1,1,1,3.798387369
AGIIL,2,865.6,572.703252,83.49,40.25,89.1,2116.42,72.94,5,4,5,13.1849866
BHARTIHEXA,2,1689.1,25342.845,96.77,18.77,94.93,84476.15,70,1,7,4,12.22192634
BSE,2,6359,86085.83,90.43,42.46,127.91,86085.83,0,3,3,3,8.799023732
CARTRADE,2,1704.3,8073.7,84.4,56.67,142.86,8073.7,0,5,2,2,8.901490425
CHAMBLFERT,2,692.65,11026.13688,96,43.05,63.21,27843.78,60.4,2,3,8,12.56635291
COROMANDEL,2,2214.2,28169.28834,92.74,30.88,83.32,65449.09,56.96,2,5,6,12.84884349
GODFRYPHLP,2,8116,11582.7043,93.21,21.13,142.64,42241.81,72.58,2,6,2,10.57143998
GRMOVER,2,315.7,521.905614,88.44,40.51,112.24,1893.02,72.43,3,3,3,9.860497607
JSWHL,2,23280,8789.626304,79.4,137.17,244.05,26074.24,66.29,6,1,2,9.186007541
MANORAMA,2,1274.7,3461.992436,86.57,29.92,100.77,7595.42,54.42,4,5,4,12.40808895
PARADEEP,2,144.04,5167.34214,89.67,39.82,106.21,11757.32,56.05,3,4,4,10.4020554
V2RETAIL,2,1687.4,2679.632384,75.56,48.05,241.06,5855.84,54.24,9,3,2,13.50689329
AVANTIFEED,3,874.05,6761.999594,80.99,47.78,64.14,11911.22,43.23,6,3,8,16.47547201
CAMLINFINE,3,162.66,1556.0639,82.22,52.88,56.77,3057.1,49.1,5,2,10,17.33742504
CHOICEIN,3,610.2,5100.1847,91.43,16.71,87.64,12181,58.13,3,8,5,15.28411411
KSCL,3,1434.8,2910.8972,79.07,55.88,65.26,7369.36,60.5,7,2,7,16.17895612
KITEX,3,242.21,2097.599658,76.03,18.48,257.08,4839.87,56.66,9,7,1,17.03706717
KIMS,3,656.85,16090.72543,85.71,21.31,61.52,26300.63,38.82,4,6,8,18.31338757
PGEL,3,844.3,12112.18959,75.52,31.69,300.37,23922.95,49.37,9,4,1,14.72481569
SHAILY,3,1530,3959.151672,67.84,48.69,141.04,7034.74,43.72,13,2,2,18.23755293
SWARAJENG,3,4071.2,2363.916996,81.51,33.54,64.9,4937.17,52.12,6,4,8,17.53621971
VIMTALABS,3,998.9,1406.16519,75.87,74.39,86.45,2221.43,36.7,9,1,5,15.53127543
WINDMACHIN,3,311.1,1323.3367,65.3,48.7,256.97,2385.25,44.52,15,2,2,18.61453072
ASTRAZEN,4,8681,5424.7625,87.98,14.97,62.71,21699.05,75,3,8,8,19.73766193
DIXON,4,16452,67128.25282,75.95,16.44,97.22,99111.55,32.27,9,8,4,20.79626488
HCG,4,562.45,2258.82708,85.24,24.92,53.65,7848.6,71.22,4,5,11,20.30210268
INDIAGLYCO,4,1385.8,1677.365396,81.26,12.75,64.95,4302.04,61.01,6,9,7,22.64001517
INDIASHLTR,4,866.75,4867.834272,86.22,24.4,46.42,9346.84,47.92,4,6,13,22.12019197
JSLL,4,2104.85,1787.486904,73.77,22.15,106.56,5232.69,65.84,11,6,4,20.20417036
PAYTM,4,864.75,55164.03,73.67,13.51,132.21,55164.03,0,11,9,3,22.29036183
PARAS,4,1359.55,2354.1754,74.41,28.08,87.16,5481.2,57.05,10,5,5,19.90176063
PRIVISCL,4,1971.2,1999.346295,92.76,12.36,57.01,7704.61,74.05,2,10,10,21.56868727
SOLARINDS,4,13172,31989.78004,91.48,26.67,46.88,119142.57,73.15,3,5,13,20.13011739
TAC,4,1159.35,523.15747,59.38,62.26,123.04,1214.95,56.94,17,2,3,21.83232262
AMIORG,5,1130.6,5931.96116,76.6,14.69,83.71,9262.9,35.96,8,9,6,22.69466407
ASTERDM,5,504.95,14662.76265,86.66,13.5,45.04,25232.77,41.89,4,9,13,25.56265065
AVALON,5,861.1,2822.319539,67.2,46.28,66.44,5709.73,50.57,14,3,7,24.22748473
BANARISUG,5,4107.7,2123.91445,83.22,16.75,54.99,5142.65,58.7,5,8,10,22.82200648
BHARTIARTL,5,1864.5,532071.981,94.19,15.35,41,1118268.14,52.42,2,8,14,24.59436362
