symbol,srank_t,ptile,Sector,Industry,Fund,Position,cmp,ret6m,ret1y,dist52,b6_t,b12_t,b52_t,bpos,match_name,ff_mcap
TECHNOE,1,1,Industrials,Electric Utilities,UTI_Small_Cap_Dir_Gr,6,1553.3,108.37,323.94,2.31,3,1,6,24,technoelectricengineering,6434.17
TRENT,2,1,Consumer Cyclical,Department Stores,LIC_MF_Midcap_Fund_Dir_Gr,1,5479.85,82.01,214.42,0.53,6,5,1,6,trent,122706.5
POWERINDIA,3,1,Technology,Heavy Electrical Equipment,Aditya_BSL_Small_Cap_Dir_Gr,2,12911.6,145.71,213.24,2.55,1,5,7,9,hitachienergy,13680.39
TITAGARH,4,1,Industrials,Commercial Vehicles,Canara_Robeco_Small_Cap_Dir_Gr,5,1859.85,79.46,268.07,1.96,7,2,5,21,titagarhrailsystems,14412.22
KIRLOSENG,5,1,Industrials,Heavy Electrical Equipment,ITI_Small_Cap_Dir_Gr,5,1393.25,110.38,254.34,2.91,3,3,9,20,kirloskaroilengines,11881.64
TVSHLTD,6,1,Consumer Cyclical,Auto Parts & Equipment,Bandhan_Small_Cap_Dir_Gr,12,13242.05,81.39,181.03,0.81,6,8,1,39,tvsholding,6845.21
GRSE,7,1,Industrials,Shipping,Motilal_Oswal_Nifty_Mcrcp_250_Idx_Dir_Gr,80,2099.1,140.96,261.23,3.48,2,3,11,90,gardenreachshipbuildersengineers,6131.63
ITDCEM,8,1,Industrials,Construction & Engineering,ITI_Flexi_Cap_Dir_Gr,20,525.65,84.08,221.2,2.29,6,5,6,52,itdcementation,4818.42
OFSS,9,1,Technology,IT Consulting & Software,Kotak_Multicap_Dir_Gr,4,9882.25,135.6,159.72,1.67,2,11,4,17,oraclefinancialservicessoftware,23350.73
RVNL,10,1,Industrials,Construction & Engineering,Shriram_Flexi_Cap_Dir_Gr,9,416.6,134.31,236.24,3.52,2,4,11,33,railvikasnigam,23591.7
DIXON,11,2,Technology,Consumer Electronics,Edelweiss_Mid_Cap_Dir_Gr,6,11971.3,85.2,172.64,1.46,6,9,3,21,dixontechnologies,47677.19
WOCKPHARMA,12,2,Healthcare,Pharmaceuticals,Motilal_Oswal_Nifty_Mcrcp_250_Idx_Dir_Gr,67,686.6,64.47,195.44,0,10,7,1,85,wockhardt,5097.73
NETWEB,13,2,Technology,IT Consulting & Software,Tata_Small_Cap_Fund_Dir_Gr,8,2594.45,112.59,418.89,4.33,3,1,15,29,netwebtechnologies,3650.11
OIL,14,2,Energy,Exploration & Production,ICICI_Pru_Multicap_Dir_Gr,6,723.05,89.13,195.67,2.76,5,7,8,22,oil,33981.99
SENCO,15,2,Consumer Cyclical,Gems & Jewellery,Bank_of_India_Small_Cap_Dir_Gr,14,1147.65,61.14,262.03,2.49,11,3,6,43,sencogold,2813.54
JSWENERGY,16,2,Utilities,Electric Utilities,Edelweiss_Mid_Cap_Dir_Gr,14,734.5,78.78,171.18,2.07,7,9,5,43,jswenergy,39385.02
CENTURYTEX,17,2,Basic Materials,Paper & Paper Products,Invesco_India_Smallcap_Dir_Gr,4,2315.45,88.13,192.3,3.39,5,7,10,16,centurytextilesindustries,12876.98
THOMASCOOK,18,2,Consumer Cyclical,Travel Support Services,Nippon_India_Focused_Equity_Dir_Gr,14,241.38,75.1,221.2,3.35,8,5,10,43,thomascook,4106.76
INDUSTOWER,19,2,Communication Services,Other Telecom Services,Mahindra_Manulife_Mid_Cap_Dir_Gr,5,375.3,101.29,130.74,2.47,4,15,6,19,industowers,31353.71
BDL,20,2,Industrials,Defence,ITI_Small_Cap_Dir_Gr,10,1596.6,80.91,194.3,3.99,6,7,13,34,bharatdynamics,14672.31
GRWRHITECH,21,3,Basic Materials,Containers & Packaging,LIC_MF_Small_Cap_Fund_Dir_Gr,1,2356.4,64.23,171.13,2.71,10,9,7,2,garwarehitechfilms,2150.38
JWL,22,3,Industrials,Commercial Vehicles,Bandhan_Focused_Equity_Dir_Gr,16,689.25,114.65,299.22,5.3,3,2,21,46,jupiterwagons,8491.1
SHAILY,23,3,Basic Materials,Plastic Products,Bandhan_Small_Cap_Dir_Gr,7,801.7,133.15,167.46,3.99,2,10,14,27,shailyengineeringplastics,2066.22
JSWINFRA,24,3,Industrials,Marine Port & Services,Tata_Mid_Cap_Growth_Dir_Gr,15,328.4,54.76,175.97,2.26,14,8,5,45,jswinfrastructure,9923.93
