symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ABINFRA,1,162.97,721.1236749999999,99.21,83.94,226.14,1044.35,30.95,1,1,1,4.073081109096887
AXISCADES,1,1480.9,2551.275239,98.45,122.49,183.02,6297.89,59.49,2,1,2,5.399233282125348
DEEPAKFERT,1,1707.4,11712.581132,98.32,40.13,152.13,21542.36,45.63,2,6,2,10.322413062237542
LLOYDSENT,1,89.28,2964.1814330000007,94.55,80.88,183.25,11361.37,73.91,6,2,2,9.504855097664366
"NACLIND",1,218.37,1623.2247200000002,98.99,225.25,195.73,4396.6,63.08,1,1,2,4.333781300357
NDRAUTO,1,1154.15,736.8103310000001,97.26,54.1,172.41,2742.13,73.13,3,3,2,9.062769178273038
RMDRIP,1,598.8,1229.8549819999998,99.74,40.89,292.14,1495.81,17.78,1,6,1,7.840981973120767
BSE,2,2770.1,112501.82,88.82,53.16,221.79,112501.82,0,11,3,1,15.531426130421115
CAMLINFINE,2,313.8,3087.14099,91.34,125.33,210.63,6065.11,49.1,8,1,2,11.32551770194379
FORCEMOT,2,16077,8129.164124999999,97.81,142.51,79.32,21186.25,61.63,3,1,7,10.901196912259682
GRMOVER,2,362.6,635.0960519999999,93.14,81.02,100.18,2177.97,70.84,7,2,5,14.100608306358334
INDIAGLYCO,2,2063.1,2494.8180389999998,93.83,59.54,133.09,6398.61,61.01,6,3,3,12.064309319557847
ITDCEM,2,934.5,8565.2138,98.09,72.23,77.78,16051.75,46.64,2,2,8,12.23519384425186
LUMAXTECH,2,1176.1,3528.3438640000004,96.82,81.29,101.77,8015.32,55.98,4,2,5,10.63627852008075
MANORAMA,2,1460.6,3974.73553,93.52,38.03,130.47,8720.35,54.42,7,6,3,16.07410134779409
MFSL,2,1647.1,55842.867724,98.22,49.39,69.51,56831.74,1.74,2,4,9,14.900572788581668
MCX,2,8944,45599.3,97.6,42.28,127.94,45599.3,0,3,5,3,11.809722027770215
SOLARINDS,2,17598,42656.35871999999,97.62,78.4,75.61,158869.12,73.15,3,2,8,12.815808332501046
SUNDARMHLD,2,534.15,5342.210601,97.43,73.12,98.49,11863.67,54.97,3,2,5,10.820010743658603
ANURAS,3,1141.7,4882.35258,97.6,57.61,49.29,12576.9,61.18,3,3,14,19.568107652352836
AIIL,3,2630.7,11171.951804999997,93.72,39.44,127.32,44598.61,74.95,7,6,3,16.088520068991933
BANCOINDIA,3,641,2948.9885920000006,98,24.91,86.42,9181.16,67.88,2,11,6,20.291847838650067
GODFRYPHLP,3,8976.5,12787.585716000001,88.24,78.27,117.64,46635.98,72.58,11,2,4,17.000689816711013
LLOYDSME,3,1588.9,30404.056448000003,98.62,25.8,117,83162.08,63.44,2,11,4,16.77188697798441
