symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
GRWRHITECH,1,4937.05,4505.396360000001,98.08,174.07,250.58,11469.95,60.72,3,2,3,7.273186005233425
NEULANDLAB,1,16709.3,14440.535759999999,98.59,173.28,211.12,21437.85,32.64,2,2,4,7.314747296242211
PGEL,1,723,8811.151985999999,98.4,164.43,207.71,18916.17,53.42,2,2,4,8.531729890315685
SABTNL,1,1932.75,1993.9582679999994,100,1037.58,124593.55,4903.98,59.34,1,1,1,3
WOCKPHARMA,1,1404.25,11615.208137999998,98.55,159.54,299.67,22815.18,49.09,2,3,2,6.8721446567132185
BBOX,2,628.95,3059.270552,99.08,168.27,141.21,10571.08,71.06,1,2,8,11.937170652218871
DEEPAKFERT,2,1374.95,9437.038959,96.85,143.38,119.33,17357.07,45.63,3,3,11,16.52137132368712
GANECOS,2,2399.05,3900.2700179999997,95.48,102.09,141.33,6080.87,35.86,5,5,8,18.336436895321395
GOKULAGRO,2,338.8,1316.1761410000001,98.66,127.76,169.96,4998.77,73.67,2,3,6,11.049026551023593
KITEX,2,742.45,2139.8214860000003,95.61,270.67,255.58,4937.29,56.66,5,1,3,8.628451782325524
ORCHPHARMA,2,1676.45,2564.4444799999997,99.24,68.13,184.39,8502.8,69.84,1,11,5,17.22782457269802
SHAILY,2,1297.35,3349.862373,94.93,101.31,299.43,5961.67,43.81,6,5,2,13.86671231232523
SOLARA,2,850.5,2308.2924359999997,99.91,108.74,172.1,3679.14,37.26,1,5,6,11.673437664181417
STAR,2,1635.35,11152.470023999998,96.66,90.39,225.54,15038.39,25.84,4,6,3,13.357333043608302
ANUP,2,3655.15,4311.41464,93.51,109.81,183.94,7311.2,41.03,8,5,5,17.341798895372527
DEEPINDS,3,563.1,1315.761984,96.94,98.98,109.72,3603.84,63.49,3,5,12,20.111889535538367
HIRECT,3,1270,1219.5197699999999,98.77,92.4,108.61,2179.66,44.05,2,6,12,19.456437073384215
JSLL,3,1938.45,1646.177232,95.44,75.27,191.94,4819.02,65.84,5,9,4,18.622878535017183
MANORAMA,3,1177.45,2999.275226,92.45,89.39,188.8,7017.49,57.26,9,7,5,20.550074407882796
PCJEWELLER,3,163.78,4619.284264,85.36,236.65,466.71,8780.24,47.39,16,1,2,18.831174972289563
REFEX,3,518.9,3109.9153499999998,83.64,277.79,384.82,6687.99,53.5,17,1,2,20.22499358807204
SKYGOLD,3,3854.45,2358.734256,86.29,218.51,253.39,5648.31,58.24,15,2,3,19.69805101671253
V2RETAIL,3,1325.15,2094.70977,87.42,158.79,479.93,4583.61,54.3,15,3,1,18.56732072061358
VLEGOV,3,157.11,1268.59166,84.47,165.84,419.37,1664.6,23.79,17,2,2,20.649127732603716
AJMERA,4,1088.15,1016.5294310000002,95.67,71.75,163.67,3938.51,74.19,5,10,7,20.942767419055095
DIXON,4,15807.4,63720.965133,98.12,59.9,165.6,94950.03,32.89,3,13,6,22.212231030512875
GANESHHOUC,4,1267.25,2846.811762,97.8,55.62,223.44,10567.23,73.06,3,15,3,20.905412647973655
GENESYS,4,906.9,2256.019728,96.67,75.57,119.64,3599.84,37.33,3,9,10,22.60803940311247
KAYNES,4,5987.45,16192.789925,95.93,70.22,145.94,38326.13,57.75,4,10,8,22.303023644790766
MARKSANS,4,342.75,8718.218247,95,135.16,106.85,15532.19,43.87,6,3,12,21.26442693313497
NIITLTD,4,223.1,1896.046718,96.44,120.78,95.19,3022.07,37.26,4,3,15,22.84240216650083
SUPRIYA,4,775.95,1979.6840200000004,89.83,115.99,174.82,6245.06,68.3,13,4,5,22.08881978295094
WABAG,4,1794.9,9027.162272,91.6,80.65,200.4,11162.56,19.13,10,8,4,22.831740607412286
ZAGGLE,4,505.4,3484.002556,97.2,87.36,114.24,6208.13,43.88,3,7,11,21.63044365780458
AVALON,5,964.9,3145.7048199999995,99.08,97.16,90.56,6380.74,50.7,1,5,17,23.97742660943201
BALUFORGE,5,744.25,3688.965609,80.18,167.19,208.95,8145.21,54.71,20,2,4,26.286604871884506
BANCOINDIA,5,1157,2657.836852,95.24,91.78,106.92,8274.71,67.88,6,6,12,23.91588424164497
E2E,5,4437.9,3629.6431079999998,78.49,223.91,547.87,7493.07,51.56,23,1,1,25.33072860116941
JUBLPHARMA,5,1234.25,9697.10112,91.19,83.76,172.43,19661.6,50.68,11,8,6,24.39269158286089
KERNEX,5,1111.45,1319.7442049999997,93.42,179.79,96.21,1862.73,29.15,8,2,15,24.949094362488204
KIRLPNU,5,1768.95,7009.37811,98.12,43.07,206.63,11470.1,38.89,3,20,4,26.516681629815675
VIMTALABS,5,904.15,1267.5075510000001,94.73,90.05,117.66,2008.41,36.89,6,7,11,23.649908733281546
ZENTEC,5,1897.4,8349.985706,92.27,91.56,146.05,17131.69,51.26,9,6,7,22.867511881051367
AMIORG,6,2142.95,5616.743615,96.47,77.02,94.67,8772.05,35.97,4,9,16,28.145664934426467
ARVSMART,6,997.75,2264.87316,95.7,55.9,138.87,4545.2,50.17,4,15,9,27.818945341521875
