symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
APOLLO,1,326.1,5365.9242,89.28,164.78,216.45,10873.2,50.65,6,1,1,8.405124110070137
BANCOINDIA,1,830.4,3816.2607120000007,92.34,134.48,145.22,11881.26,67.88,4,2,2,7.677644885337067
CUPID,1,214.96,3315.3160730000004,95.35,256.01,160.4,5766.77,42.51,3,1,2,5.490218723938982
LUMAXIND,1,5051.1,1181.3025,98.79,95.48,95,4725.21,75,1,3,3,6.985142028880297
QPOWER,1,1069.3,2162.581837,98.44,236.1,NA,8288.93,73.91,1,1,1,3.9641612604995586
STALLION,1,250.29,638.0741699999999,96.11,241.41,NA,1987.77,67.9,2,1,1,4.590898674863489
TFCILTD,1,73.35,3258.417735,98.69,107.14,121.13,3388.89,3.85,1,2,3,6.236169435034695
ASHAPURMIN,2,651,3249.0565250000004,94.16,65.69,116.32,6218.29,47.75,3,5,3,10.991444356745241
BGRENERGY,2,238.52,846.0817949999999,85.29,192.3,382.93,1727.05,51.01,9,1,1,11.309453351560217
GMDCLTD,2,599.05,4950.8914,89.56,107.82,66.56,19041.89,74,6,2,5,12.532821266132231
GVT&D,2,2960.5,37146.8706,90.15,102.59,76.12,75809.94,51,5,2,4,11.377415454556424
INDOTHAI,2,280.63,1358.069735,99.6,45.73,266.84,3382.49,59.85,1,11,1,12.641401682830391
IZMO,2,1217.25,1176.9106199999999,85.85,329.29,181.64,1809.24,34.95,8,1,1,10.691309457983433
JSLL,2,798.75,3624.312013,91.01,86.71,159.46,9937.79,63.53,4,3,2,9.199764245060324
KRISHIVAL,2,469,662.227293,98.44,108.44,54.02,1054.67,37.21,1,2,6,9.435260844860725
LUMAXTECH,2,1249.8,3751.0542500000006,90.09,126.15,122.23,8521.25,55.98,5,2,3,9.775484526994306
NETWEB,2,3648.5,5987.980223,95.94,138.52,44.8,20669.59,71.03,2,2,8,12.255686228023178
RMDRIP,2,75.85,1490.5845499999998,91.49,70.45,213.56,1888.25,21.06,4,5,1,9.9316648255588
SUNDARMHLD,2,621.05,6211.3301280000005,93.62,95.48,75.44,13793.76,54.97,3,3,4,10.216545023468026
AGIIL,3,1260.1,831.6241560000001,95.35,48.78,149.21,3073.26,72.94,3,9,2,13.914736346349677
AIIL,3,3082.2,13106.833845,88.63,73.31,72.26,52322.69,74.95,6,4,5,15.027120266006268
AXISCADES,3,1594,2842.5881,86.37,72.08,167.09,6800.45,58.2,8,4,2,13.569044929819228
FORTIS,3,969.8,50425.628895999995,97.1,47.01,57.67,73261.12,31.17,2,10,6,17.16797378988026
GABRIEL,3,1181.4,7640.928000000001,84.11,102.21,129.13,16979.84,55,9,2,2,14.036239083038467
IMFA,3,1108.05,2467.7974350000004,86.25,70.96,59.02,5973.85,58.69,8,4,5,17.778885367106906
LTF,3,249.28,21087.132048000003,97.63,61.9,34.15,62314.22,66.16,2,5,12,18.841551728559857
MANGCHEFER,3,324.4,1518.3352800000002,80.65,77.51,148.98,3855.6,60.62,12,4,2,17.45995303159013
MEGASOFT,3,153.1,732.8519240000002,83.27,194.08,126.98,1128.68,35.07,10,1,3,13.854393250339701
ROSSTECH,3,709.7,673.8480000000001,79.65,147.15,NA,2674,74.8,12,2,2,15.363037620601656
TATAINVEST,3,10330.5,13920.763956000003,94.86,64.85,51.74,52294.38,73.38,3,5,6,14.62625468146209
ZOTA,3,1407.5,1816.9907919999998,85.54,69.58,128.23,4267.24,57.42,9,5,2,15.694072616555944
ABINFRA,4,186.96,824.822965,74.87,101.68,140.43,1194.53,30.95,17,3,2,21.45763869952744
BALAJITELE,4,121.12,985.55682,78.11,74.9,91.37,1447.22,31.9,13,4,3,20.631400288279174
CARTRADE,4,2450.1,11666.26,84.1,45.92,154.04,11666.26,0,9,10,2,21.450007677987525
FEDFINA,4,154.42,2254.357188,94.62,74.84,31.01,5775.96,60.97,3,4,12,19.305728003880464
GOKULAGRO,4,393.65,1529.451774,86.55,58.64,45.58,5808.78,73.67,8,6,8,21.616697818655975
MAHSCOOTER,4,17248,9643.5136,86.72,58.31,46.87,19680.64,51,8,7,7,21.444852989462348
ORIANA,4,2644.6,2258.52408,91.52,80.96,24.42,5373.6,57.97,4,4,14,21.624788063137707
