symbol,srank_t,ptile,Sector,Industry,Fund,Position,cmp,ret6m,ret1y,dist52,b6_t,b12_t,b52_t,bpos,match_name,ff_mcap
SHAILY,1,1,Basic Materials,Plastic Products,Bandhan_Small_Cap_Dir_Gr,7,1054.55,97.26,208.55,0.65,3,3,2,27,shailyengineeringplastics,2717.89
GODFRYPHLP,2,1,Consumer Defensive,Cigarettes-Tobacco Products,LIC_MF_Flexi_Cap_Dir_Gr,19,6508.4,132.29,200.46,0.94,1,4,4,50,godfreyphillips,9278.85
SUNDARMHLD,3,1,Industrials,Investment Companies,Nippon_India_Small_Cap_Dir_Gr,95,404.7,95.18,238.52,0.97,3,2,4,92,sundaramfinanceholding,4047.54
INDUSTOWER,4,1,Communication Services,Other Telecom Services,Mahindra_Manulife_Mid_Cap_Dir_Gr,5,458.5,87.41,162.07,0.4,4,7,1,19,industowers,59297.82
STAR,5,1,Healthcare,Pharmaceuticals,Quant_Value_Dir_Gr,13,1340.05,71.24,207.35,0.59,8,4,2,41,stridespharmascience,9136.17
LTFOODS,6,1,Consumer Defensive,Other Agricultural Products,DSP_Small_Cap_Dir_Gr,24,379.4,114.05,128.07,0.14,2,13,1,56,ltfoods,6455.64
NEULANDLAB,7,1,,Pharmaceuticals,Motilal_Oswal_Nifty_Mcrcp_250_Idx_Dir_Gr,19,12502.2,76.03,227.76,1.64,6,3,7,51,neulandlaboratories,10791.84
TRENT,8,1,Consumer Cyclical,Department Stores,LIC_MF_Midcap_Fund_Dir_Gr,1,7158.75,82.4,249.33,2.27,5,2,10,6,trent,160299.9
GLENMARK,9,1,Healthcare,Pharmaceuticals,JM_Midcap_Dir_Gr,9,1731.75,90.05,128.9,1.04,3,12,4,32,glenmarkpharmaceutical,26071.05
OIL,10,1,Energy,Exploration & Production,ICICI_Pru_Multicap_Dir_Gr,6,741,95.98,300.69,3.5,3,1,15,22,oil,52238.41
TIMETECHNO,11,2,Consumer Cyclical,Plastic Products,Tata_Small_Cap_Fund_Dir_Gr,24,400.5,85.33,164.44,1.75,4,7,8,56,timetechnoplast,4402.47
