symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ESFL,1,679.7,503.285211,94.63,377.69,288.49,1688.31,70.19,4,1,3,7.36680966
INDRAMEDCO,1,522.9,2343.5524,98.14,119.96,192.94,4782.76,51,2,2,4,8.70757301
PGEL,1,980.6,14051.4857,94.55,165.11,311.22,27753.28,49.37,4,2,2,7.68088528
RMDRIP,1,424.25,912.885878,99.77,175.31,259.53,1059.77,13.86,1,2,3,5.99186712
V2RETAIL,1,1696.95,2701.92567,99.21,115.05,438.03,5912.31,54.3,2,3,2,5.86132754
VLEGOV,1,183.46,1492.63382,99.6,177.34,176.71,1958.58,23.79,1,2,5,7.75652437
ANANTRAJ,2,855.35,11566.64,95.88,74.35,186.69,28916.6,60,3,6,4,13.4317858
BALUFORGE,2,791.2,3924.66836,86.57,122.34,219.55,8665.64,54.71,10,2,3,15.3452317
GRWRHITECH,2,5007.95,4571.2807,90.79,97.08,260.25,11637.68,60.72,6,4,3,12.6907212
GOKULAGRO,2,342.7,1332.75614,87.84,96.56,175.15,5061.74,73.67,8,4,5,17.2366223
INNOVACAP,2,1115.4,3137.84843,91.97,119.42,110.31,6390.73,50.9,5,2,11,18.1774146
KAYNES,2,7417.3,20106.9524,93.19,85.06,177.9,47590.42,57.75,5,5,5,13.8578418
KFINTECH,2,1537.25,17859.0087,91.04,105.73,218.3,26671.16,33.04,6,3,4,12.3873696
PGIL,2,1480.95,2523.2327,99.28,98.07,122.33,6803,62.91,1,4,9,14.2612734
SHAILY,2,1439.6,3712.72615,91.82,63.26,329.99,6607.45,43.81,5,8,2,15.1627827
WEBELSOLAR,2,1656.85,5189.6991,87.09,186.21,565.13,7179,27.71,9,1,1,11.7056675
WEL,2,167.35,632.685417,94.91,70.8,318.48,2242.77,71.79,4,7,2,12.2761671
ZENTEC,2,2445.65,10759.3745,90.6,69.88,209.6,22075.04,51.26,6,7,4,16.6429767
AGIIL,3,1780.2,588.671358,90.44,107.6,105.2,2175.43,72.94,6,3,11,20.4389923
BSE,3,5325.4,72093.33,86.85,116.71,141.73,72093.33,0,9,3,7,19.1387724
