symbol,ptile,cmp,ff_mcap,52w Index,Return over 3months,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ATHERENERG,1,754.75,16929.66865,92.99,28.53,129.93,NA,28801.75,41.22,7,1,1,9.462925433168309
BELRISE,1,185.34,4451.220488999999,98.91,16.49,79.54,NA,16492.11,73.01,2,2,2,6.7053527227722745
CUPID,1,518.1,7571.375955,99.56,138.43,376.11,584.32,13905.19,45.55,1,1,1,3.39291930379747
IMFA,1,1492.2,3325.8846240000003,98.77,31.32,91.04,74.42,8051.04,58.69,2,2,4,8.63495278622008
INFOBEAN,1,821.7,504.56831999999986,94.57,66.52,115.33,99.59,1970.97,74.4,5,2,3,9.596859333876427
LTF,1,315.95,26831.260140000006,99.52,22.19,53.65,132.95,79148.26,66.1,1,4,2,6.837884309593926
MVKAGRO,1,765.8,1553.993644,93.24,48.2,358.7,1781.57,3867.58,59.82,6,1,1,8.41840191831684
ASHAPURMIN,2,878.65,4384.914281,93.62,31.12,96.52,125.7,8398.61,47.79,6,2,2,9.93893021916907
ASHOKLEY,2,179.19,51185.818005,98.65,26.88,43.43,62.53,105212.37,51.35,2,5,5,12.482133079803233
HINDCOPPER,2,518.3,16983.661328000002,92.36,54.58,87.01,109.03,50158.48,66.14,7,2,3,12.071232493106907
JAYNECOIND,2,87.82,3830.7057750000004,91.65,26.94,122.72,123.01,8541.15,55.15,8,2,2,11.399165485179848
KMEW,2,1871,2120.898882,92.95,60.11,127.33,65.64,4573.86,53.63,7,1,5,12.97303018078707
LAURUSLABS,2,1108,43356.522962999996,98.22,27.06,42.78,83.84,59876.43,27.59,3,5,4,11.300728866399297
MUTHOOTFIN,2,3811.7,40767.941435000015,95.93,21.22,43.15,78.44,152975.39,73.35,4,5,4,13.260985967069805
POCL,2,1454.1,2690.3437919999997,94.79,24.07,55.83,71.91,4435.12,39.34,5,3,4,12.588311505201153
RMDRIP,2,83.33,1645.5990279999999,94.06,10.99,46.99,96.39,2084.62,21.06,6,4,3,13.159925664243639
RICOAUTO,2,136.2,915.199038,94.09,45.2,78.11,64.87,1842.93,50.34,6,2,5,12.876616254386516
SBC,2,28.2,663.704172,96.37,27.31,88.76,57.19,1345.71,50.68,4,2,6,11.785910084283753
SHRIRAMFIN,2,996.2,139870.72535400002,99.21,53.57,47.33,72.4,187469.14,25.39,1,4,4,9.991478216255171
ABCAPITAL,3,357.7,29307.154039999998,94.89,19.29,30.05,101.16,93633.08,68.7,5,9,3,16.072143869845842
CANBK,3,154.91,52098.485681,96.11,25.17,35.45,54.72,140540.83,62.93,4,7,7,17.5767458915591
FORCEMOT,3,20566,10399.739571,90.97,22.02,43.4,215.79,27103.83,61.63,8,5,1,14.450416327233992
LUMAXTECH,3,1544.5,4642.670546,93.55,17.18,34.07,139.33,10546.73,55.98,6,7,2,14.90981952625643
M&MFIN,3,403,26616.413276,94.86,47.4,51.25,56.32,56022.76,52.49,5,4,6,14.759219415810254
MARUTI,3,16697,219580.97517999998,97.88,4.59,32.03,53.77,526320.65,58.28,3,8,7,17.656099409387135
MCX,3,11136,56758.94,98.78,39.23,25.34,78.63,56758.94,0,2,11,4,17.04335286376739
"NATIONALUM",3,314.3,28114.903992,96.9,46.53,63.62,48.46,57707.11,51.28,3,3,8,14.553402388300544
PFOCUS,3,235.57,7163.098320000001,92.46,35.87,41.96,71.55,18273.21,60.8,7,6,5,17.352301353553077
SANDUMA,3,242.79,3042.086404,92.54,44.05,47.3,76.25,11800.18,74.22,7,4,4,15.474822776977057
TVSMOTOR,3,3719.8,87806.992885,99.04,7.58,29.16,57.05,176567.45,50.27,2,9,6,16.958134830492543
VENUSREM,3,766.1,597.006592,85.69,68.76,72.04,140.57,1025.08,41.76,12,3,2,16.04845962839955
ANANDRATHI,4,3112.4,14810.116320000003,87.83,7.8,47.63,57.83,25855.65,42.72,10,4,6,20.314324320090233
AUBANK,4,994.5,57354.179114000006,97.52,37.26,21.35,77.88,74312.23,22.82,3,13,4,19.860113559813257
CUB,4,290.8,21529.54,92.7,37.14,33.84,68.75,21529.54,0,7,7,5,19.00270524580148
EICHERMOT,4,7312.5,102011.60349,97.73,4.14,29.91,51.65,200258.35,49.06,3,9,7,18.886313193225963
NYKAA,4,265.15,36333.939096,93.18,9.9,33.76,61.91,75885.42,52.12,6,7,5,18.960703683105645
GMDCLTD,4,598.75,4950.049,87.61,-3.52,47.04,86.06,19038.65,74,11,4,3,18.201531657319208
HINDALCO,4,886.7,130229.99608,98.84,15.76,26.77,47.18,199250.3,34.64,2,10,9,21.243518826764017
IIFL,4,610.5,19508.721606,98.98,35.01,28.57,47.64,25966.62,24.87,2,9,9,19.866679232203282
LUMAXIND,4,5218,1218.43,83.32,1.95,42.16,124.34,4873.72,75,13,5,2,20.88250701059029
RBLBANK,4,315.8,19486.66,91.29,14.75,24.41,99.87,19486.66,0,8,11,3,21.936303891465087
SENORES,4,822.2,2051.54588,93.31,14.92,45.06,44.6,3785.14,45.8,6,5,10,20.632404005827787
THANGAMAYL,4,3222.1,3838.303192,84.39,58.85,69.65,69.54,9985.18,61.56,13,3,5,19.90931409794461
ANURAS,5,1318.9,6147.927487,96.36,23.81,16.01,82.64,15020.59,59.07,4,16,4,23.491835110132843
