symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
GOLDIAM,1,520.5,2090.75407,88.6,188.38,169.9,5557.56,62.38,3,1,3,6.74995455
RMDRIP,1,424.4,913.00118,94.38,154.89,292.96,1060.15,13.88,2,1,2,4.90693774
SHAILY,1,1613.4,4187.71601,96.49,94.54,303.6,7440.86,43.72,2,2,1,5.25669822
TAC,1,1510,681.390052,86.98,173.92,NA,1582.42,56.94,4,1,1,5.83966743
V2RETAIL,1,1915.7,3027.23198,97.88,110.38,459.66,6624.14,54.3,1,2,1,4.16988757
WOCKPHARMA,1,1558.55,12903.3279,97.9,83.83,251.46,25345.37,49.09,1,3,2,6.20843004
AMIORG,2,2419.75,6346.42804,98.25,86.15,112.36,9910.1,35.96,1,3,6,9.67802738
ASALCBR,2,1405.45,1096.58899,95.77,85.97,193.9,2693.66,59.29,2,3,2,7.11708274
BAJAJHCARE,2,689.15,888.323513,97.74,94.65,113.1,2176.73,59.19,1,2,5,9.1557277
BLUEJET,2,756.8,1838.7586,96.18,60.94,125.98,13133.99,86,2,5,4,11.47226
BSE,2,5404.05,73158.06,82.6,133.2,119.23,73158.06,0,5,1,5,11.266076
CARTRADE,2,1766.65,8374.7,94.22,96.63,148.02,8374.7,0,2,2,3,7.55596533
DEEPINDS,2,560.05,1308.75206,83.79,87.09,123.71,3584.64,63.49,4,3,4,11.4550462
JSWHL,2,17271.8,6498.20254,78.61,164.51,185.26,19276.78,66.29,7,1,2,10.623733
POKARNA,2,1361.9,1823.14477,93.29,75.96,175.21,4206.61,56.66,2,4,3,8.80058613
SUPRIYA,2,721.15,1838.08646,79.1,86.13,143.84,5798.38,68.3,7,3,3,12.8553325
TECHLABS,2,1279.65,708.301811,73.94,82.12,571.2,2211.37,67.97,9,3,1,13.2900946
WEL,2,178.95,676.041366,93.26,31.51,480.44,2396.46,71.79,2,11,1,13.9784267
GANESHHOUC,3,1380,3102.73368,87.97,63.87,86.88,11517.2,73.06,3,5,8,16.7227241
GOKULAGRO,3,309.4,1199.8265,76.03,43.59,154.86,4556.88,73.67,8,7,3,18.5918102
INDRAMEDCO,3,482.75,2163.2667,78.62,55.2,160.17,4414.83,51,7,6,3,15.6928877
LLOYDSME,3,1227.95,23451.3983,73.83,71.44,126.04,64215.22,63.48,9,4,4,17.5736888
MANORAMA,3,1053.6,2855.07195,79.06,54.5,169.55,6263.87,54.42,7,6,3,15.3648369
PGEL,3,800.5,11467.7304,72.01,86.92,302.71,22650.07,49.37,11,3,1,15.0697696
REFEX,3,464.6,2796.37654,72.4,83.02,241.27,6012.42,53.49,11,3,2,16.0981079
SARDAEN,3,465.65,4406.87034,82.78,88.22,88.29,16419.04,73.16,5,3,8,15.648923
SIMPLEXINF,3,279.35,786.109844,73.11,108.44,217.26,1566.58,49.82,10,2,2,14.1057097
WEBELSOLAR,3,1414.2,4433.13365,69.64,111.67,246.96,6132.43,27.71,12,2,2,15.7851951
WINDMACHIN,3,321,1061.05473,68.22,109.31,281.46,2082.95,49.06,13,2,2,16.666008
ZOTA,3,969.55,999.14856,85.41,48.36,95.12,2657.31,62.4,4,6,7,17.6059205
AEROFLEX,4,252.48,1078.02408,92.33,61.9,63.52,3265.75,66.99,2,5,13,20.4025761
AGIIL,4,1629.1,542.639592,78.21,97.36,63.89,2005.32,72.94,7,2,12,21.806933
AIIL,4,1701.3,7235.81274,78.47,69.41,86.11,28885.48,74.95,7,5,8,19.9433809
CELLECOR,4,60.75,665.955604,68.78,106.84,119.31,1322.39,49.64,13,2,5,19.5368691
CHOICEIN,4,513.05,4278.11334,82.82,33.92,85.43,10237.17,58.21,5,10,8,22.9857583
DPABHUSHAN,4,1649.2,980.870352,78.07,37.01,135,3746.64,73.82,7,9,4,19.9892351
KERNEX,4,1245.85,1472.60215,72.96,86.35,84.22,2076.72,29.09,10,3,9,22.0911045
MPSLTD,4,2732.45,1486.20905,84.37,42.87,76.47,4694.28,68.34,4,7,10,21.186162
PANACEABIO,4,358.65,605.214498,65.12,170.48,117.83,2199.98,72.49,16,1,5,22.4433525
STOVEKRAFT,4,860.9,1251.77705,79.58,49.67,93.77,2837.21,55.88,6,6,8,20.2868411
VINCOFE,4,115.21,846.508644,71.77,63.91,137.74,1412.26,40.06,11,5,4,19.6624287
ZENSARTECH,4,967.75,11188.0185,96.35,31.73,72.52,21980.39,49.1,2,10,10,22.5704924
GENESYS,5,921.5,2434.59678,78.96,41.24,73.56,3641.88,33.15,7,8,10,24.7206684
GREAVESCOT,5,265.4,2724.79384,73.92,72.06,59.3,6175.87,55.88,9,4,14,27.0776424
JSLL,5,1839.75,1562.35884,64.74,69.16,185.45,4573.65,65.84,17,5,2,23.4566893
KIRIINDUS,5,617.1,2338.2008,80.28,94.55,52.39,3424.43,31.72,6,2,16,24.1412082
LTFOODS,5,385.3,6552.672,77.26,29.53,96.98,13372.8,51,8,11,7,25.8712124
LAURUSLABS,5,595.6,23257.2909,90.34,40.87,51.71,32123.33,27.6,3,8,16,27.0421214
NEULANDLAB,5,14193.85,12249.978,68.92,31.58,130.96,18196.64,32.68,13,11,4,27.2658463
PCJEWELLER,5,14.24,4343.79208,64.71,65.97,163.7,7690.85,43.52,17,5,3,24.3943736
PGIL,5,1344.1,2296.9804,68.68,49.17,122.63,6178,62.82,13,6,5,23.9878766
STAR,5,676.35,4563.28526,76.44,35.47,106.25,6235.7,26.82,8,9,6,23.2176728
ANUP,5,3027.8,3562.03996,68.12,78.95,100.85,6035.31,40.98,13,4,7,23.6881771
VIMTALABS,5,875.85,1231.94682,70.07,77.26,84.23,1948.05,36.76,12,4,9,24.3004667
ABDL,6,400.95,2142.87732,72.99,39.07,NA,11225.13,80.91,10,9,9,27.7114531
ARTEMISMED,6,315.05,1426.16475,83.31,27.91,68.3,4344.09,67.17,4,12,11,27.619113
DHANI,6,81.51,3478.37047,62.98,61.98,113.38,4908.1,29.13,18,5,5,28.8477659
DIXON,6,14714.35,59710.2685,65.95,32.43,135.89,88354.94,32.42,15,10,4,29.3414753
M&M,6,3076.75,311710.086,90.04,16.86,85.26,382372.53,18.48,3,18,9,29.7116995
PARADEEP,6,116.55,4176.18174,79.71,42.5,53.86,9502.12,56.05,6,8,15,29.080205
PARSVNATH,6,24.23,542.975881,96.59,39.98,44.23,1087.91,50.09,1,8,19,28.7668481
SALZERELEC,6,1216.8,1343.19605,64.35,42.42,158.43,2150.49,37.54,17,8,3,27.7498015
SKYGOLD,6,331.5,2029.21862,60.6,66.78,185.11,4859.24,58.24,21,5,2,27.7609216
TI,6,385.05,4475.964,73.75,65.36,53.47,7459.94,40,9,5,16,29.7138143
VLEGOV,6,141.31,1175.97088,61.78,76.31,104.21,1532.01,23.24,19,4,6,29.4184071
ZAGGLE,6,464.1,3740.7804,64.07,44.38,104.67,6244,40.09,17,7,6,30.4231787
BALUFORGE,7,618.9,3067.1475,63.14,31.84,127.41,6772.24,54.71,18,10,4,32.6990155
BLUESTARCO,7,2056.65,26858.5677,71.78,29.4,73.05,42270.33,36.46,11,11,10,32.7160415
CUBEINVIT,7,122,8652.96351,88,22,NA,16280.27,46.85,3,15,15,32.5420678
HCG,7,512.3,2053.63425,83.16,44.53,42.48,7138.11,71.23,4,7,20,31.1055003
HIRECT,7,1180.1,1131.38552,61.21,44.26,103.85,2019.61,43.98,20,7,6,33.3598855
INDHOTEL,7,801.45,70611.7754,76.31,34.26,60.29,114110.82,38.12,8,10,14,31.3991897
INNOVACAP,7,966.2,2717.34621,64.97,58.37,81.05,5534.31,50.9,16,6,9,31.1290174
KIMS,7,617.15,15135.467,82.38,45.4,43.67,24739.24,38.82,5,7,19,31.2373439
MUTHOOTFIN,7,2182.45,23369.1985,90.86,22.06,58.44,87689.3,73.35,3,15,14,31.7128165
OPTIEMUS,7,629.15,1346.29623,62.82,42.04,103.81,5363.73,74.9,19,8,7,32.8244912
VIJAYA,7,1089.7,5149.51587,72.52,34.66,67.98,11172.74,53.91,11,10,12,31.9978922
WINDLAS,7,979.05,771.397989,70.49,22.43,108.93,2057.61,62.51,12,14,6,31.4861999
AMBER,8,6617.1,13489.4041,69.92,56.98,48.94,22377.91,39.72,12,6,17,35.0255431
DEEPAKFERT,8,1134.65,7780.18933,68.92,19.61,97.66,14309.71,45.63,13,16,7,35.5924703
EPACK,8,440.2,2186.83525,55.37,81.6,115.57,4209.5,48.05,26,3,5,35.0074969
GRAVITA,8,2043.4,6156.02181,66.67,19.4,129.83,15114.22,59.27,15,16,4,34.8510445
JAGSNPHARM,8,247.47,527.822649,63.38,71.21,69.18,1639.71,67.81,18,4,11,33.5567229
JUBLFOOD,8,739.8,28344.2011,84.85,23.76,49.5,48818.81,41.94,4,14,17,34.3368143
JLHL,8,1603.05,6207.45177,84.27,24.36,49.34,10505.08,40.91,4,14,17,34.8353609
KITEX,8,189.15,1630.78452,54.02,130.08,106.65,3762.77,56.66,28,2,6,35.704533
