symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
ASALCBR,1,1392.25,1092.509844,89.84,48.08,194.91,2683.64,59.29,3,3,2,8.48907891544998
INDOTHAI,1,1880.05,695.4154080000001,83.7,149.71,559.78,1914.69,63.68,6,1,1,8.272772185903355
JSWHL,1,22985.85,8664.282410999998,90.83,160.47,218.71,25702.41,66.29,3,1,2,5.72583862281517
PANACEABIO,1,441.25,745.719072,86.96,54.14,263.02,2710.72,72.49,5,3,2,8.68928532669382
RMDRIP,1,454.8,978.400708,91.67,90.73,227.19,1136.09,13.88,3,1,2,5.818001080304347
SHAILY,1,1827.35,4739.108052,88.51,78.2,244.82,8420.59,43.72,4,2,2,7.2861411402024805
AMIORG,2,2440.8,6401.220663999999,87.58,42.42,123.17,9995.66,35.96,4,3,5,12.33447437914382
BAJAJHCARE,2,670.25,864.2007219999999,84.48,75.02,129.3,2117.62,59.19,6,2,4,11.73990368439652
BLUEJET,2,884.85,2140.2752,86.51,71.78,131.09,15287.68,86,5,2,4,10.879916179205452
CAMLINFINE,2,167.75,1602.7850099999998,87.16,67.23,92.37,3148.89,49.1,4,2,7,13.543906070689665
CARTRADE,2,1644.95,7881.06,80.48,67.91,157.81,7881.06,0,7,2,3,12.472400143307663
JSLL,2,2182.7,1853.6001679999995,80.6,42.52,159.34,5426.23,65.84,7,3,3,13.541162489151182
MAZDOCK,2,2643.8,16166.741816,85.62,26.02,183.65,106570.48,84.83,5,5,2,12.961213059040885
PGEL,2,916.6,13076.999928000001,84.35,38,451.5,25828.56,49.37,6,4,1,10.773310894421225
SIMPLEXINF,2,322.05,920.5219920000001,87.75,37.89,214.04,1834.44,49.82,4,4,2,9.958053019553176
TAC,2,1329.5,599.942062,74.41,103.01,NA,1393.27,56.94,10,1,1,12.683257230309911
ANUP,2,3475.5,4111.4453379999995,83.38,56.52,120.07,6966.19,40.98,6,2,5,13.707949848937687
AGIIL,3,857.95,563.941224,82.3,74.59,89.71,2084.04,72.94,7,2,7,15.883531817307482
AVANTIFEED,3,913.65,7053.905257,89.34,47.73,88.67,12425.41,43.23,3,3,7,13.76877836548212
BSE,3,5479.8,74183.53,83.73,50.3,117.81,74183.53,0,6,3,5,14.257171394950038
COROMANDEL,3,1982.1,25129.566816,94.57,19.62,84.37,58386.54,56.96,2,7,8,16.314249200632418
KIRIINDUS,3,623.3,2368.824384,81.76,84.9,105.64,3469.28,31.72,7,2,6,14.335131041986125
POKARNA,3,1280,1719.133108,83.18,23.43,200.43,3966.62,56.66,6,6,2,14.521515576428218
TARIL,3,536.2,5716.702332,74.7,71.98,171.04,16040.13,64.36,10,2,3,14.599688317176023
TCPLPACK,3,4565.35,1839.11365,88.14,33.47,104.37,4155.25,55.74,4,4,6,14.427080405763576
V2RETAIL,3,1718.55,2725.82677,77.58,34.25,307.05,5964.61,54.3,9,4,1,14.257144471819796
VIMTALABS,3,1004.5,1411.624308,76.61,82.55,126.32,2232.17,36.76,9,2,4,15.024363462674906
WINDMACHIN,3,320.46,1362.111672,67.81,59.51,379.73,2455.14,44.52,12,2,1,16.088928664363017
WOCKPHARMA,3,1424.4,11822.691842999999,78.54,44.48,143.2,23222.73,49.09,8,3,4,14.776913259009207
AMBER,4,7210.85,14733.782272,80.15,54.78,97.14,24442.24,39.72,7,3,7,16.38530707458856
