symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
AIIL,1,2379.2,10152.206384999998,99.58,50.51,192.7,40527.77,74.95,1,4,2,6.9727284706016235
BSE,1,2674,108598.91,99.19,71.75,214,108598.91,0,1,2,2,5.450040427319456
MANGCHEFER,1,264.56,1233.239832,97.37,59.53,146.1,3131.64,60.62,3,3,3,8.738067133255157
PARADEEP,1,172.28,6170.27235,96.18,55.1,146.29,14039.3,56.05,3,3,3,9.642568962389724
RMDRIP,1,558.4,1146.8703360000002,98.81,81.36,326.75,1394.88,17.78,2,2,1,4.418292288816573
SHAILY,1,2016.8,5215.450715999999,99.52,55.46,225.61,9266.97,43.72,1,3,2,6.03700707310591
AXISCADES,2,1041.75,1791.5709539999998,92.79,135.26,113.85,4422.54,59.49,6,1,5,12.13360809297448
BLUEJET,2,904.8,2196.0847999999996,89.72,74.2,141.34,15686.32,86,8,2,4,13.230107173961207
CAMLINFINE,2,232.4,2221.3981599999997,88.78,93.97,152.64,4364.24,49.1,8,1,3,12.526312266653726
COSMOFIRST,2,1188.6,1840.621328,95.44,52.07,116.36,3118.64,40.98,4,3,5,12.262597355395709
GRSE,2,3003.2,8784.6582,92.81,78.84,112.8,34449.64,74.5,6,2,5,12.8124342606292
GODFRYPHLP,2,8702.5,12401.983740000001,90.69,53.4,126.28,45229.7,72.58,7,3,5,14.785654013115582
INDIAGLYCO,2,1892.5,2282.096397,95.59,48.32,150.6,5853.03,61.01,4,4,3,11.132363634619091
INDOTHAI,2,1898.3,737.202664,84.63,68.98,518.54,1926.32,61.73,10,2,1,12.935275510010797
INTERARCH,2,2272.4,1516.57799,97.76,48.58,NA,3781.99,59.9,2,4,4,10.35180800484913
RPOWER,2,58.1,17505.264326,93.56,50.13,135.22,23334.13,24.98,6,4,4,13.216945858493046
SUVEN,2,244.86,1586.4819900000002,93.24,88.69,158.15,5336.3,70.27,6,1,3,10.06474975137716
V2RETAIL,2,1860.1,2946.902816,85.49,40.37,249.87,6439.91,54.24,9,4,2,15.231996848199326
AARTIPHARM,3,911,4604.966316,98.4,43.71,62.85,8265.96,44.29,2,4,13,19.10077067085031
APOLLO,3,188.92,2598.228864,95.21,88.71,77.31,5789.28,55.12,4,1,10,15.601368234193414
BHARTIHEXA,3,1830.7,27496.617000000002,97.12,33.03,81.18,91655.39,70,3,6,9,17.969661106155964
CHOICEIN,3,701.55,5872.146076999999,95.68,32.29,104.3,14024.71,58.13,4,6,6,15.757331960693145
POWERINDIA,3,19298,24679.287188,96.08,61.1,81.13,86020.52,71.31,3,3,9,15.352432210933088
JSWHL,3,23035,8633.383824999999,78.05,62.85,253.8,25610.75,66.29,13,2,1,17.224559594500953
LLOYDSENT,3,62.34,2063.7111730000006,95.01,30.91,102.8,7909.97,73.91,4,6,6,17.003518099073105
MANORAMA,3,1460.7,3966.617732,93.77,24.06,137.45,8702.54,54.42,5,9,4,17.997808760705585
MAZDOCK,3,3478.2,21294.848058000003,88.37,51.42,111.11,140374.74,84.83,9,3,5,17.200717459812758
RELTD,3,162.32,1019.3800500000001,95.68,20.01,148.16,2893.5,64.77,4,11,3,18.364565535145633
SOLARINDS,3,16104,39108.319169999995,96.81,50.77,75.54,145654.82,73.15,3,4,10,16.822335781746894
ZOTA,3,999.45,1232.144082,87.69,73.55,113.31,2941.38,58.11,9,2,5,15.680113026100047
FORCEMOT,4,12649.5,6401.781257999999,98.86,83.53,49.08,16684.34,61.63,2,1,18,20.939773211629806
