symbol,ptile,cmp,ff_mcap,52w Index,Return over 6months,Return over 1year,Market Capitalization,Promoter holding,Percentile_52w_Index,Percentile_Return_6months,Percentile_Return_1year,Total_Percentile_Score
E2E,1,4299.85,3516.7391559999996,100,281.43,755.61,7259.99,51.56,1,1,1,3.7064116261789968
KITEX,1,584.1,1683.442618,100,184.3,188.23,3884.27,56.66,1,2,6,8.548761407777729
SABTNL,1,1327.1,1369.127916,99.03,1041.1,80330.3,3367.26,59.34,2,1,1,3.9969788519637417
WEBELSOLAR,1,1421.75,4462.259288,100,100.09,678.83,6172.72,27.71,1,4,1,6.883310041474374
WOCKPHARMA,1,1208.35,8900.482681,99.57,117.66,437.4,18538.81,51.99,2,3,2,5.971883904294806
ANANTRAJ,2,740.8,10130.908000000001,90.14,107.25,215.84,25327.27,60,7,3,4,15.1096034274482
GRWRHITECH,2,4086.2,3728.936816,95.5,130.1,176.18,9493.22,60.72,4,2,7,13.537244169784767
JUBLPHARMA,2,1211.75,9520.328376,95.89,76.58,213.19,19303.18,50.68,4,6,4,14.89993896591234
PGEL,2,637,7763.074038,89.52,195.77,225.46,16666.11,53.42,8,1,4,13.443287690242819
PPLPHARMA,2,268.47,23152.83018,96.47,77.74,151.97,35592.36,34.95,4,6,9,18.72338044084581
PRUDENT,2,3112.7,5707.098648,94.42,90.16,176.73,12888.66,55.72,5,5,7,16.588865410470625
SKYGOLD,2,3358.5,2055.23928,88.95,164.87,345.63,4921.55,58.24,9,2,2,13.175453397197948
ANUP,2,3481.6,4106.706182,95.08,89.6,183.93,6964.06,41.03,4,5,6,15.448102679690342
TIPSMUSIC,2,888.65,4072.470374999999,98.69,101.26,146.64,11359.75,64.15,2,4,9,15.500138709293656
WABAG,2,1777.95,8941.917205,90.96,88.84,256.34,11057.15,19.13,7,5,3,15.609577144460165
KIRLPNU,3,1662.05,6585.794145000001,97.25,54.29,201.78,10776.95,38.89,3,13,5,21.59229638126855
NEULANDLAB,3,14606.6,12623.338096,84.87,93.26,276.55,18740.11,32.64,13,5,3,20.67175521990767
PCJEWELLER,3,156.31,3307.8197309999996,80.7,199.73,425.41,7274.73,54.53,19,1,2,22.29065443161322
