theme_id,proposed_theme,symbol,role,outlier_score,corr_with_theme_moves,median_rank,legacy_theme_hint
T01,Sin stocks/Auto comp Core,THYROCARE,A,-1.6735267801819256,0.8380756892640675,18.0,Diagnostics
T01,Sin stocks/Auto comp Core,IXIGO,A,-0.6941080445131786,0.7567754466291545,24.0,Travel
T01,Sin stocks/Auto comp Core,TI,Core,0.09407599697023455,0.7646661242063619,22.5,Sin stocks
T01,Sin stocks/Auto comp Core,ABDL,B,0.22421560506103375,0.72909628082893,10.0,Sin stocks
T01,Sin stocks/Auto comp Core,CRAFTSMAN,B,3.2952831842236145,0.5620314742985727,38.0,Auto comp
T02,EMS/New gen Core,AADHARHFC,A,-0.7676906796688119,0.5258298616737904,22.0,Housing Fin
T02,EMS/New gen Core,ETERNAL,A,-0.7379813382478173,0.696056972601622,16.0,New gen
T02,EMS/New gen Core,AVL,Core,-0.4346922843484164,0.36072946801891037,24.5,Retail
T02,EMS/New gen Core,AVALON,Core,-0.033724537973829766,0.6865365870028649,28.0,EMS
T02,EMS/New gen Core,SYRMA,Core,0.6969492077096548,0.36933790004261313,35.0,EMS
T02,EMS/New gen Core,PAYTM,B,1.1839102204098724,0.5771400920866409,15.0,New gen
T02,EMS/New gen Core,METROPOLIS,B,1.9036711551488263,0.5770859986085008,38.0,Diagnostics
T03,NBFC/PSU bank Laggards,ABCAPITAL,A,-0.46100502974469615,0.892212985343611,36.0,NBFC
T03,NBFC/PSU bank Laggards,GMDCLTD,A,-0.40917233729472835,0.9474163099325533,22.5,rare earth
T03,NBFC/PSU bank Laggards,CANBK,Core,0.046583923269704064,0.5766616426538269,40.0,PSU bank
T03,NBFC/PSU bank Laggards,GOODLUCK,Core,0.5702649286314079,0.8780885294008154,37.0,Metal parts
T03,NBFC/PSU bank Laggards,LTF,B,0.6395564779276766,0.7720280373460171,23.0,NBFC
T03,NBFC/PSU bank Laggards,DELHIVERY,B,2.942055045310375,0.3118326673963853,71.0,New gen
T04,Wealth Mgr/New gen Core,TORNTPHARM,A,-1.0609363932414761,0.940648637439897,22.5,Pharma
