theme_id,proposed_theme,symbol,outlier_score
T01,Sin stocks/Auto comp Core,CRAFTSMAN,3.2952831842236145
T01,Sin stocks/Auto comp Core,ABDL,0.22421560506103375
T01,Sin stocks/Auto comp Core,TI,0.09407599697023455
T02,EMS/New gen Core,METROPOLIS,1.9036711551488263
T02,EMS/New gen Core,PAYTM,1.1839102204098724
T02,EMS/New gen Core,SYRMA,0.6969492077096548
T03,NBFC/PSU bank Laggards,DELHIVERY,2.942055045310375
T03,NBFC/PSU bank Laggards,LTF,0.6395564779276766
T03,NBFC/PSU bank Laggards,GOODLUCK,0.5702649286314079
T04,Wealth Mgr/New gen Core,CARTRADE,0.5770417639746104
T04,Wealth Mgr/New gen Core,360ONE,0.2023472278429786
T04,Wealth Mgr/New gen Core,TORNTPHARM,-1.0609363932414761
T05,Pvt Banks/Insurance Laggards,POWERINDIA,1.890333875033269
T05,Pvt Banks/Insurance Laggards,UJJIVANSFB,1.7869004354422326
T05,Pvt Banks/Insurance Laggards,IDFCFIRSTB,1.7784641303576942
T06,Pvt Banks/Hospitals Core,NAVINFLUOR,1.8728094769328933
T06,Pvt Banks/Hospitals Core,COFORGE,1.0199614556078183
T06,Pvt Banks/Hospitals Core,ASTERDM,0.5116660617477403
T07,Metal mines/2w Leaders,IDEA,1.6780375493099406
T07,Metal mines/2w Leaders,V2RETAIL,1.5122198892307743
T07,Metal mines/2w Leaders,GESHIP,1.0671939875109382
T08,Metals/Metal mines Core,HINDZINC,0.3372453797382977
T08,Metals/Metal mines Core,APLAPOLLO,-0.3372453797382976
T09,cdmo/Mine supply Laggards,AIAENG,3.2645775878709946
T09,cdmo/Mine supply Laggards,ACUTAAS,2.303958876868803
T09,cdmo/Mine supply Laggards,BSE,0.03355360054813841
T10,Auto comp/IT (mid) Core,STAR,5.576845127075277
T10,Auto comp/IT (mid) Core,ETHOSLTD,2.2316793670742925
T10,Auto comp/IT (mid) Core,IIFL,1.9972559781689867
