theme_id,theme_name,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank_norm,obs_months,rank_source
IND::2/3 Wheelers,2/3 Wheelers,BAJAJ-AUTO,Core,-0.3938,0.8287,0.085,0.1105,0.19,50,dated_tabs
IND::2/3 Wheelers,2/3 Wheelers,EICHERMOT,B,1.1505,0.5113,0.2025,0.1026,0.27,50,dated_tabs
IND::2/3 Wheelers,2/3 Wheelers,HEROMOTOCO,Core,-0.3178,0.8275,0.06,0.1236,0.275,50,dated_tabs
IND::2/3 Wheelers,2/3 Wheelers,TVSMOTOR,A,-0.4389,0.7603,0.085,0.0943,0.1,50,dated_tabs
IND::Agrochemicals,Agrochemicals,ANURAS,B,0.4837,0.2813,0.2725,0.0842,0.61,50,dated_tabs
IND::Agrochemicals,Agrochemicals,BAYERCROP,Core,0.1247,0.3195,0.145,0.1425,0.585,50,dated_tabs
IND::Agrochemicals,Agrochemicals,DHANUKA,Core,0.1931,0.3208,0.195,0.1263,0.395,50,dated_tabs
IND::Agrochemicals,Agrochemicals,EPIGRAL,Core,0.0948,0.2374,0.18,0.0974,0.37,23,dated_tabs
IND::Agrochemicals,Agrochemicals,PIIND,A,-0.5457,0.3223,0.075,0.1121,0.56,50,dated_tabs
IND::Agrochemicals,Agrochemicals,RAIN,B,0.6966,0.2041,0.1975,0.1294,0.715,36,dated_tabs
IND::Agrochemicals,Agrochemicals,RALLIS,A,-0.9668,0.5266,0.0975,0.1162,0.56,50,dated_tabs
IND::Agrochemicals,Agrochemicals,SHARDACROP,Core,-0.2039,0.4171,0.185,0.1188,0.39,50,dated_tabs
IND::Agrochemicals,Agrochemicals,SPLPETRO,Core,-0.2507,0.3895,0.14,0.1332,0.415,50,dated_tabs
IND::Agrochemicals,Agrochemicals,SUMICHEM,A,-0.8636,0.5123,0.085,0.1268,0.67,50,dated_tabs
IND::Agrochemicals,Agrochemicals,UPL,B,1.2379,-0.0444,0.225,0.0946,0.63,50,dated_tabs
IND::Aluminium and Aluminium Products,Aluminium and Aluminium Products,HINDALCO,A,-0.9165,0.7501,0.05,0.1419,0.35,50,dated_tabs
IND::Aluminium and Aluminium Products,Aluminium and Aluminium Products,HINDCOPPER,B,0.4908,0.5774,0.105,0.1368,0.345,50,dated_tabs
IND::Aluminium and Aluminium Products,Aluminium and Aluminium Products,HINDZINC,Core,-0.1517,0.7135,0.08,0.1568,0.59,27,dated_tabs
IND::Aluminium and Aluminium Products,Aluminium and Aluminium Products,NATIONALUM,A,-0.1721,0.6262,0.07,0.1316,0.33,50,dated_tabs
IND::Aluminium and Aluminium Products,Aluminium and Aluminium Products,VEDL,B,0.7495,0.5747,0.15,0.124,0.32,41,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,ABSLAMC,Core,-0.1131,0.6459,0.115,0.1026,0.38,50,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,GVT&D,A,-0.3349,0.6234,0.13,0.0683,0.085,22,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,HDFCAMC,B,0.4534,0.4389,0.1225,0.0765,0.19,50,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,NAM-INDIA,A,-0.8883,0.793,0.12,0.0859,0.17,50,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,TARIL,B,0.9474,0.6142,0.235,0.11,0.21,23,dated_tabs
IND::Asset Management Cos.,Asset Management Cos.,UTIAMC,Core,-0.0645,0.6544,0.135,0.0913,0.49,50,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,ASAHIINDIA,B,1.1087,0.1169,0.1975,0.1035,0.46,50,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,BOSCHLTD,Core,-0.091,0.3049,0.125,0.105,0.29,50,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,CIEINDIA,A,-0.3812,0.5443,0.145,0.1025,0.615,48,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,ENDURANCE,A,-1.0268,0.5248,0.1,0.1106,0.37,50,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,FIEMIND,Core,-0.0821,0.3176,0.1775,0.0733,0.27,38,dated_tabs
IND::Auto Parts & Equipment::A,Auto Parts & Equipment - Cluster A,GREAVESCOT,A,-0.39,0.8117,0.055,0.1239,0.5,38,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,JAMNAAUTO,Core,-0.0249,0.521,0.15,0.1204,0.62,50,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,JTEKTINDIA,Core,0.1117,0.4617,0.13,0.125,0.59,50,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,LGBBROSLTD,A,-1.2161,0.726,0.0725,0.1258,0.445,50,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,LUMAXIND,Core,-0.1052,0.4052,0.11,0.1088,0.38,46,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,LUMAXTECH,B,0.9626,0.1766,0.21,0.114,0.265,50,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,MINDACORP,B,0.971,0.3285,0.24,0.113,0.22,50,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,MOTHERSON,A,-0.7376,0.4774,0.145,0.0942,0.27,50,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,MSUMI,A,-0.882,0.5122,0.07,0.0927,0.565,50,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,PRICOLLTD,B,1.0784,0.2629,0.24,0.1035,0.23,50,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,ROLEXRINGS,B,0.8309,0.388,0.3075,0.1118,0.71,50,dated_tabs
IND::Auto Parts & Equipment::A,Auto Parts & Equipment - Cluster A,SANDHAR,B,0.676,0.4751,0.115,0.1236,0.35,48,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,SANSERA,A,-0.5428,0.3173,0.0625,0.0962,0.365,50,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,SJS,Core,0.222,0.3642,0.2075,0.1172,0.215,50,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,SONACOMS,Core,0.2759,0.3808,0.1875,0.1336,0.55,50,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,SSWL,B,0.4995,0.3245,0.155,0.1072,0.56,46,dated_tabs
IND::Auto Parts & Equipment::A,Auto Parts & Equipment - Cluster A,SUNCLAY,Core,-0.286,0.4962,0.0,0.0895,0.42,30,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,SUPRAJIT,Core,-0.2723,0.3886,0.12,0.1196,0.485,50,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,TIINDIA,B,0.3642,0.408,0.2175,0.1373,0.53,50,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,TVSHLTD,A,-1.0678,0.5214,0.145,0.0776,0.17,33,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,VARROC,Core,-0.128,0.4168,0.1075,0.1096,0.445,50,dated_tabs
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment - Cluster A,WHEELS,Core,0.0768,0.4682,0.13,0.1273,0.465,48,dated_tabs
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,ZFCVINDIA,Core,0.056,0.4007,0.165,0.138,0.415,50,dated_tabs
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,ARE&M,Core,-0.0111,0.3877,0.21,0.0915,0.49,39,dated_tabs
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,AUTOAXLES,B,1.3492,-0.0159,0.31,0.0966,0.68,48,dated_tabs
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,CRAFTSMAN,B,0.2852,0.352,0.175,0.172,0.22,50,dated_tabs
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,DIVGIITTS,B,0.1882,0.3783,0.23,0.099,0.63,41,dated_tabs
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,EXIDEIND,A,-0.0628,0.4598,0.235,0.093,0.32,50,dated_tabs
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,GABRIEL,Core,0.0987,0.3015,0.2,0.1074,0.115,50,dated_tabs
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,SCHAEFFLER,A,-1.0677,0.7614,0.1,0.1284,0.48,50,dated_tabs
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,SUBROS,Core,0.132,0.1161,0.11,0.1147,0.41,50,dated_tabs
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,UNOMINDA,A,-0.9118,0.5988,0.11,0.1014,0.295,50,dated_tabs
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,APOLLOTYRE,A,-0.6188,0.6845,0.06,0.1281,0.395,50,dated_tabs
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,BALKRISIND,B,1.5071,0.192,0.22,0.149,0.505,50,dated_tabs
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,CEATLTD,B,0.0993,0.3978,0.0925,0.119,0.32,50,dated_tabs
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,JKTYRE,Core,-0.4505,0.6324,0.105,0.0867,0.485,38,dated_tabs
IND::Auto Tyres & Rubber Products,Auto Tyres & Rubber Products,MRF,A,-0.5371,0.5152,0.045,0.0905,0.375,50,dated_tabs
IND::Banks::A,Banks - Cluster A,AUBANK,Core,-0.4027,0.7375,0.1275,0.1157,0.42,50,dated_tabs
IND::Banks::B::A,Banks - Cluster A,AXISBANK,Core,-0.5987,0.7533,0.07,0.095,0.33,50,dated_tabs
IND::Banks::B::A,Banks - Cluster A,BANDHANBNK,B,0.7809,0.6389,0.2925,0.1038,0.71,50,dated_tabs
IND::Banks::A,Banks - Cluster A,CSBBANK,A,-0.9101,0.6407,0.07,0.1042,0.255,50,dated_tabs
IND::Banks::A,Banks - Cluster A,DCBBANK,Core,-0.3914,0.6004,0.105,0.0979,0.545,50,dated_tabs
IND::Banks::A,Banks - Cluster A,EQUITASBNK,B,0.4931,0.4944,0.14,0.1189,0.605,50,dated_tabs
IND::Banks::A,Banks - Cluster A,FEDERALBNK,Core,-0.072,0.3528,0.085,0.0942,0.245,50,dated_tabs
IND::Banks::A,Banks - Cluster A,HDFCBANK,B,0.8634,0.3331,0.17,0.0882,0.41,50,dated_tabs
IND::Banks::A,Banks - Cluster A,ICICIBANK,B,1.0962,0.1641,0.1725,0.0648,0.355,50,dated_tabs
