theme_id,theme_name,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers,rank_coverage
IND::Internet Software & Services,Internet Software & Services,15,0.0315,"NAZARA, NAUKRI, MPSLTD, INDIAMART","JUSTDIAL, POLICYBZR, ZEEL, PAYTM","POLICYBZR, PAYTM, ZEEL",rank_available
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment - Cluster A,14,0.1463,"ENDURANCE, TVSHLTD, SANSERA, MOTHERSON","TIINDIA, LUMAXTECH, ROLEXRINGS, ASAHIINDIA","ASAHIINDIA, LUMAXTECH, ROLEXRINGS",rank_available
IND::Banks::B::B,Banks - Cluster B,14,0.3432,"IDBI, CANBK, UNIONBANK, PNB","J&KBANK, YESBANK, IDEA, CUB","CUB, IDEA, YESBANK",rank_available
IND::Breweries & Distilleries,Breweries & Distilleries,14,0.1412,"UNITDSPR, UBL, LTFOODS, GLOBUSSPR","NIITMTS, SULA, VBL, ABDL","SULA, VBL, ABDL",rank_available
IND::Healthcare Facilities,Healthcare Facilities,14,0.0856,"MAXHEALTH, KIMS, NH, ASTERDM","FORTIS, ARTEMISMED, MEDANTA, MEDPLUS","MEDPLUS, ARTEMISMED, MEDANTA",rank_available
IND::Iron & Steel/Interm.Products,Iron & Steel/Interm.Products,14,0.0715,"JINDALSTEL, JSWSTEEL, SAIL, JSL","KSL, SARDAEN, NSLNISP, MAHSEAMLES","KSL, SARDAEN, NSLNISP",rank_available
UNCLASSIFIED::B::A::B::NoRank::1,No-Rank Unclassified,14,,,,,no_rank_history
UNCLASSIFIED::B::A::B::NoRank::2,No-Rank Unclassified,14,,,,,no_rank_history
UNCLASSIFIED::B::A::B::NoRank::3,No-Rank Unclassified,14,,,,,no_rank_history
IND::Other Financial Services,Other Financial Services,14,0.0789,"NUVAMA, EDELWEISS, CARERATING, ICRA","360ONE, RELIGARE, KFINTECH, BELRISE","RELIGARE, BELRISE, 360ONE",rank_available
IND::Pharmaceuticals::B::B,Pharmaceuticals - Cluster B,14,0.148,"IPCALAB, ASTRAZEN, MANKIND, JBCHEPHARM","ABBOTINDIA, WOCKPHARMA, SHILPAMED, GLAND","GLAND, SHILPAMED, WOCKPHARMA",rank_available
IND::Specialty Chemicals::A,Specialty Chemicals - Cluster A,14,0.0959,"FLUOROCHEM, VINATIORGA, ATUL, JUBLINGREA","SUDARSCHEM, PRIVISCL, AETHER, STYRENIX","STYRENIX, AETHER, SUDARSCHEM",rank_available
UNCLASSIFIED::B::A::B,Unclassified - Cluster B,14,0.2809,"SURAKSHA, SOTL, RPTECH, XPROINDIA","DYNAMATECH, E2E, CARRARO, KINGFA","KINGFA, DYNAMATECH, E2E",rank_available
IND::Cement & Cement Products,Cement & Cement Products,13,0.1137,"JKLAKSHMI, STARCEMENT, GRASIM, JKCEMENT","BIRLACORPN, AMBUJACEM, ACC, INDIACEM","INDIACEM, ACC, AMBUJACEM",rank_available
IND::Personal Products,Personal Products,13,0.2037,"VENTIVE, HINDUNILVR, GODREJCP, DABUR","EMAMILTD, COLPAL, HONASA, SHK","SHK, HONASA, COLPAL",rank_available
IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals - Cluster B,13,0.2383,"TORNTPHARM, SUNPHARMA, GRANULES, ALKEM","DRREDDY, STAR, AUROPHARMA, PFIZER","PFIZER, DRREDDY, AUROPHARMA",rank_available
IND::Realty::B,Realty - Cluster B,13,0.2753,"GODREJPROP, OBEROIRLTY, SIGNATURE, PRESTIGE","PHOENIXLTD, ANANTRAJ, ABREL, SHRIRAMPPS","SHRIRAMPPS, ABREL, PHOENIXLTD",rank_available
