symbol,theme_id,theme_label,theme_family,membership_type,assignment_order,fit_score,corr_with_theme_moves,med_abs_resid,fit_overlap_months,sector_mode,industry_mode,primary_theme_id
360ONE,IND::Other Financial Services,Other Financial Services,Other Financial Services,primary,1,1.0,,,,Financial Services,Other Financial Services,IND::Other Financial Services
3MINDIA,IND::Industrial Machinery::A,Industrial Machinery · Group 1,Industrial Machinery,primary,1,1.0,,,,Industrials,Industrial Machinery,IND::Industrial Machinery::A
3MINDIA,IND::Shipping,Shipping,Shipping,secondary,2,0.1999,0.3606,0.175,50.0,Industrials,Industrial Machinery,IND::Industrial Machinery::A
3MINDIA,IND::Other Electrical Equipment/Products::B,Other Electrical Equipment / Products · Group 1,Other Electrical Equipment / Products,secondary,3,0.1962,0.322,0.0975,50.0,Industrials,Industrial Machinery,IND::Industrial Machinery::A
AADHARHFC,IND::Internet Software & Services,Internet Software & Services,Internet Software & Services,primary,1,1.0,,,,,,IND::Internet Software & Services
AARTIDRUGS,IND::Pharmaceuticals::B::A::B::A,Pharmaceuticals · Group 3,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::A
AARTIIND,IND::Specialty Chemicals::A,Specialty Chemicals · Group 1,Specialty Chemicals,primary,1,1.0,,,,Basic Materials,Specialty Chemicals,IND::Specialty Chemicals::A
AARTIPHARM,IND::Pharmaceuticals::B::A::B::A,Pharmaceuticals · Group 3,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::A::B::A
AAVAS,IND::Housing Finance,Housing Finance,Housing Finance,primary,1,1.0,,,,Financial Services,Housing Finance,IND::Housing Finance
ABB,IND::Heavy Electrical Equipment::A,Heavy Electrical Equipment · Group 1,Heavy Electrical Equipment,primary,1,1.0,,,,Industrials,Heavy Electrical Equipment,IND::Heavy Electrical Equipment::A
ABB,IND::Industrial Machinery::B,Industrial Machinery · Group 2,Industrial Machinery,secondary,2,0.3437,0.5446,0.125,50.0,Industrials,Heavy Electrical Equipment,IND::Heavy Electrical Equipment::A
ABB,IND::Defence,Defence,Defence,secondary,3,0.2886,0.4681,0.13,50.0,Industrials,Heavy Electrical Equipment,IND::Heavy Electrical Equipment::A
ABBOTINDIA,IND::Pharmaceuticals::B::B,Pharmaceuticals · Group 1,Pharmaceuticals,primary,1,1.0,,,,Healthcare,Pharmaceuticals,IND::Pharmaceuticals::B::B
