theme_id,theme_label,theme_family,primary_size,total_size,secondary_additions,cohesion_primary,cohesion_with_secondary,dominant_sector,dominant_industry,sample_symbols
IND::Banks::A,Banks · Group 2,Banks,12,25,13,0.289,0.2555,Financial Services,Banks,"AUBANK, BAJFINANCE, BANKBARODA, BANKINDIA, CANBK, CHOLAFIN, CSBBANK, DCBBANK"
IND::Banks::B::B,Banks · Group 1,Banks,14,24,10,0.3432,0.2652,Financial Services,Banks,"ABCAPITAL, BAJFINANCE, BANKBARODA, BANKINDIA, CANBK, CUB, DCBBANK, HDFCAMC"
IND::Finance (including NBFCs)::B::B,Finance (including Nbfcs) · Group 2,Finance (including Nbfcs),8,24,16,0.2809,0.2763,Financial Services,Finance (including NBFCs),"AUBANK, AXISBANK, BAJAJFINSV, BAJFINANCE, CHOLAFIN, CHOLAHLDNG, CREDITACC, CSBBANK"
IND::Iron & Steel/Interm.Products,Iron & Steel / Interm.products,Iron & Steel / Interm.products,14,22,8,0.0715,0.1505,Basic Materials,Iron & Steel/Interm.Products,"APLAPOLLO, GPIL, HINDALCO, HINDCOPPER, IMFA, JINDALSTEL, JSL, JSWSTEEL"
IND::Personal Products,Personal Products,Personal Products,13,20,7,0.2037,0.2514,Consumer Defensive,Personal Products,"BAJAJCON, BRITANNIA, COLPAL, DABUR, DMART, EMAMILTD, GILLETTE, GODREJCP"
IND::Agrochemicals,Agrochemicals,Agrochemicals,11,19,8,0.1317,0.1452,Basic Materials,Agrochemicals,"AKZOINDIA, ANURAS, ATUL, BAYERCROP, DEEPAKFERT, DHANUKA, EPIGRAL, GREENPLY"
IND::Industrial Machinery::B,Industrial Machinery · Group 2,Industrial Machinery,9,19,10,0.0629,0.1593,Industrials,Industrial Machinery,"ABB, AZAD, BDL, CUMMINSIND, ELECON, FINPIPE, GPPL, HAL"
IND::Auto Parts & Equipment::B::B::A,Auto Parts & Equipment · Group 2,Auto Parts & Equipment,11,18,7,0.2311,0.1977,Consumer Cyclical,Auto Parts & Equipment,"ARVINDFASN, CIEINDIA, HEROMOTOCO, JAMNAAUTO, JTEKTINDIA, LANDMARK, LGBBROSLTD, LUMAXIND"
IND::Healthcare Facilities,Healthcare Facilities,Healthcare Facilities,14,18,4,0.0856,0.1053,Healthcare,Healthcare Facilities,"APOLLOHOSP, ARTEMISMED, ASTERDM, ASTRAZEN, CAPLIPOINT, FORTIS, HCG, JLHL"
IND::Packaged Foods,Packaged Foods,Packaged Foods,9,18,9,0.1049,0.2186,Consumer Defensive,Packaged Foods,"BECTORFOOD, BIKAJI, BRITANNIA, CCL, DABUR, DMART, DODLA, EMAMILTD"
IND::Specialty Chemicals::A,Specialty Chemicals · Group 1,Specialty Chemicals,14,18,4,0.0959,0.1289,Basic Materials,Specialty Chemicals,"AARTIIND, AETHER, ATUL, BASF, BERGEPAINT, CHAMBLFERT, CLEAN, DEEPAKFERT"
IND::Auto Parts & Equipment::B::A,Auto Parts & Equipment · Group 1,Auto Parts & Equipment,14,17,3,0.1463,0.1465,Consumer Cyclical,Auto Parts & Equipment,"ASAHIINDIA, BOSCHLTD, ENDURANCE, EPL, FIEMIND, HEROMOTOCO, LUMAXTECH, MOTHERSON"
