Symbol,sector_mode,sector_obs,sector_mode_share,industry_mode,industry_obs,industry_mode_share,industry_variants,debug_theme,has_sector,has_industry,has_debug
360ONE,Financial Services,27,1.0,Other Financial Services,27,1.0,1,Wealth Mgr,True,True,True
3MINDIA,Industrials,27,1.0,Industrial Machinery,27,1.0,1,,True,True,False
AADHARHFC,,0,0.0,,0,0.0,0,Housing Fin,False,False,True
AARTIDRUGS,Healthcare,27,1.0,Pharmaceuticals,27,1.0,1,,True,True,False
AARTIIND,Basic Materials,32,1.0,Specialty Chemicals,32,1.0,1,,True,True,False
AARTIPHARM,Healthcare,20,1.0,Pharmaceuticals,20,1.0,1,,True,True,False
AAVAS,Financial Services,27,1.0,Housing Finance,27,1.0,1,Housing Fin,True,True,True
ABB,Industrials,27,1.0,Heavy Electrical Equipment,27,1.0,1,,True,True,False
ABBOTINDIA,Healthcare,27,1.0,Pharmaceuticals,27,1.0,1,,True,True,False
ABCAPITAL,Financial Services,27,1.0,Holding Companies,27,1.0,1,NBFC,True,True,True
ABDL,,0,0.0,,0,0.0,0,Sin Stocks,False,False,True
ABFRL,Consumer Cyclical,27,1.0,Department Stores,27,1.0,1,,True,True,False
ABLBL,,0,0.0,,0,0.0,0,,False,False,False
ABREL,,0,0.0,,0,0.0,0,Real Estate,False,False,True
ABSLAMC,Financial Services,27,1.0,Asset Management Cos.,27,1.0,1,,True,True,False
ACC,Basic Materials,27,1.0,Cement & Cement Products,27,1.0,1,,True,True,False
ACI,Basic Materials,27,1.0,Commodity Chemicals,27,1.0,1,,True,True,False
ACMESOLAR,,0,0.0,,0,0.0,0,,False,False,False
ACUTAAS,,0,0.0,,0,0.0,0,Cdmo,False,False,True
ADANIENSOL,Utilities,4,1.0,Electric Utilities,4,1.0,1,,True,True,False
ADANIENT,Energy,8,1.0,Commodity Trading & Distribution,8,1.0,1,Infra,True,True,True
ADANIGREEN,Utilities,19,1.0,Electric Utilities,19,1.0,1,,True,True,False
ADANIPORTS,Industrials,27,1.0,Marine Port & Services,27,1.0,1,Infra,True,True,True
ADANIPOWER,Utilities,21,1.0,Electric Utilities,21,1.0,1,Infra,True,True,True
ADVENZYMES,Basic Materials,27,1.0,Biotechnology,27,1.0,1,,True,True,False
AEGISLOG,Energy,6,1.0,Oil Marketing & Distribution,6,1.0,1,Oil/gas,True,True,True
AEGISVOPAK,,0,0.0,,0,0.0,0,,False,False,False
AEQUS,,0,0.0,,0,0.0,0,,False,False,False
AETHER,Basic Materials,27,1.0,Specialty Chemicals,27,1.0,1,,True,True,False
AFCONS,,0,0.0,,0,0.0,0,,False,False,False
AFFLE,Communication Services,27,1.0,Internet Software & Services,27,1.0,1,,True,True,False
AGARWALEYE,,0,0.0,,0,0.0,0,,False,False,False
AGI,Consumer Cyclical,26,1.0,Furniture-Furnishing-Paints,26,0.6153846153846154,2,,True,True,False
AHLUCONT,Industrials,27,1.0,Construction & Engineering,27,1.0,1,,True,True,False
AIAENG,Industrials,27,1.0,Other Industrial Goods,27,1.0,1,Mine Supply,True,True,True
AIIL,,0,0.0,,0,0.0,0,,False,False,False
AJANTPHARM,Healthcare,27,1.0,Pharmaceuticals,27,1.0,1,,True,True,False
AJAXENGG,,0,0.0,,0,0.0,0,,False,False,False
AKUMS,,0,0.0,,0,0.0,0,,False,False,False
AKZOINDIA,Basic Materials,27,1.0,Furniture-Furnishing-Paints,27,1.0,1,,True,True,False
ALIVUS,,0,0.0,,0,0.0,0,,False,False,False
ALKEM,Healthcare,27,1.0,Pharmaceuticals,27,1.0,1,,True,True,False
AMAGI,,0,0.0,,0,0.0,0,,False,False,False
AMBER,Consumer Cyclical,27,1.0,Consumer Electronics,27,1.0,1,EMS,True,True,True
AMBUJACEM,Basic Materials,27,1.0,Cement & Cement Products,27,1.0,1,,True,True,False
AMRUTANJAN,Healthcare,27,1.0,Pharmaceuticals,27,1.0,1,,True,True,False
ANANDRATHI,Financial Services,27,1.0,Other Financial Services,27,0.6296296296296297,2,Wealth Mgr,True,True,True
ANANTRAJ,Real Estate,17,1.0,Realty,17,1.0,1,Data Centers,True,True,True
ANGELONE,Financial Services,27,1.0,Capital Markets,27,1.0,1,,True,True,False
ANTHEM,,0,0.0,,0,0.0,0,,False,False,False
ANUP,,0,0.0,,0,0.0,0,Engineering,False,False,True
