Symbol,Theme,source,confidence,reason,sector_mode,industry_mode,debug_theme,industry_obs,industry_mode_share,sector_obs,sector_mode_share,locked,rank_move_corr,rank_resid,rank_obs_months,needs_review,review_reasons,review_priority
BAJAJ-AUTO,2W / 3w Oems,industry_mode,0.93,industry_history,Consumer Cyclical,2/3 Wheelers,2w,27,1.0,27,1.0,False,0.8287386026701704,0.085,50,False,,7.0
EICHERMOT,2W / 3w Oems,industry_mode,0.93,industry_history,Consumer Cyclical,2/3 Wheelers,2w,27,1.0,27,1.0,False,0.5113020217391125,0.2025,50,False,,7.0
HEROMOTOCO,2W / 3w Oems,industry_mode,0.93,industry_history,Consumer Cyclical,2/3 Wheelers,2w,27,1.0,27,1.0,False,0.8275273486937258,0.06,50,False,,7.0
TVSMOTOR,2W / 3w Oems,industry_mode,0.93,industry_history,Consumer Cyclical,2/3 Wheelers,2w,27,1.0,27,1.0,False,0.7603284878037919,0.085,50,False,,7.0
ANURAS,Agrochemicals,industry_mode,0.78,industry_history,Basic Materials,Agrochemicals,,27,0.63,27,1.0,False,0.27631575633555727,0.2475,50,True,high_rank_residual,30.0
BAYERCROP,Agrochemicals,industry_mode,0.93,industry_history,Basic Materials,Agrochemicals,,27,1.0,27,1.0,False,0.34797635778149794,0.195,50,False,,7.0
DHANUKA,Agrochemicals,industry_mode,0.93,industry_history,Basic Materials,Agrochemicals,Agri,27,1.0,27,1.0,False,0.4182351717472166,0.175,50,False,,7.0
PIIND,Agrochemicals,industry_mode,0.93,industry_history,Basic Materials,Agrochemicals,Chemicals,27,1.0,27,1.0,False,0.4072719790377631,0.095,50,False,,7.0
RALLIS,Agrochemicals,industry_mode,0.93,industry_history,Basic Materials,Agrochemicals,,27,1.0,27,1.0,False,0.5864940349976804,0.0775,50,False,,7.0
SHARDACROP,Agrochemicals,industry_mode,0.93,industry_history,Basic Materials,Agrochemicals,,27,1.0,27,1.0,False,0.5772655231012245,0.165,50,False,,7.0
SUMICHEM,Agrochemicals,industry_mode,0.93,industry_history,Basic Materials,Agrochemicals,,27,1.0,27,1.0,False,0.449149613611707,0.095,50,False,,7.0
UPL,Agrochemicals,industry_mode,0.93,industry_history,Basic Materials,Agrochemicals,Fertilizer,27,1.0,27,1.0,False,0.06164901326938114,0.1825,50,False,,7.0
ABDL,Alcoholic Beverages,manual_lock,0.99,locked_override,,,Sin Stocks,0,0.0,0,0.0,True,0.4453330244006551,0.155,20,False,,1.0
GLOBUSSPR,Alcoholic Beverages,industry_mode,0.93,industry_history,Consumer Defensive,Breweries & Distilleries,Sin Stocks,27,1.0,27,1.0,False,0.7565069662842656,0.1,50,False,,7.0
RADICO,Alcoholic Beverages,manual_lock,0.99,locked_override,Consumer Defensive,Breweries & Distilleries,Sin Stocks,27,1.0,27,1.0,True,0.38553247435117255,0.1125,50,False,,1.0
SULA,Alcoholic Beverages,industry_mode,0.93,industry_history,Consumer Defensive,Breweries & Distilleries,,27,1.0,27,1.0,False,0.4631060316229831,0.36,50,True,high_rank_residual,15.0
TI,Alcoholic Beverages,manual_lock,0.99,locked_override,Consumer Defensive,Breweries & Distilleries,Sin Stocks,15,1.0,15,1.0,True,0.5408472611921115,0.08,38,False,,1.0
UBL,Alcoholic Beverages,industry_mode,0.93,industry_history,Consumer Defensive,Breweries & Distilleries,Sin Stocks,27,1.0,27,1.0,False,0.43835413676238855,0.105,50,False,,7.0
UNITDSPR,Alcoholic Beverages,industry_mode,0.78,industry_history,Consumer Defensive,Breweries & Distilleries,Sin Stocks,6,1.0,6,1.0,False,0.3430159869708891,0.16,29,False,,22.0
