Symbol,Theme,source,confidence,sector_mode,industry_mode,debug_theme,locked,rank_move_corr,rank_resid,rank_obs,needs_review,review_reasons,review_priority
BAJAJ-AUTO,2W/3W OEMs,theme_park_manual,0.94,Consumer Cyclical,2/3 Wheelers,2w,False,0.8287386026701704,0.085,50,False,,6.0
EICHERMOT,2W/3W OEMs,theme_park_manual,0.94,Consumer Cyclical,2/3 Wheelers,2w,False,0.5113020217391125,0.2025,50,False,,6.0
HEROMOTOCO,2W/3W OEMs,theme_park_manual,0.94,Consumer Cyclical,2/3 Wheelers,2w,False,0.8275273486937258,0.06,50,False,,6.0
TVSMOTOR,2W/3W OEMs,theme_park_manual,0.94,Consumer Cyclical,2/3 Wheelers,2w,False,0.7603284878037919,0.085,50,False,,6.0
DHANUKA,Agri Inputs & Services,theme_park_manual,0.94,Basic Materials,Agrochemicals,Agri,False,0.7350871920812878,0.0925,50,False,,6.0
GODREJAGRO,Agri Inputs & Services,theme_park_manual,0.94,Consumer Defensive,Other Agricultural Products,,False,0.4890176166451961,0.1625,50,False,,6.0
LTFOODS,Agri Inputs & Services,theme_park_manual,0.94,Consumer Defensive,Other Agricultural Products,Agri,False,0.7808274610067532,0.055,39,False,,6.0
MANORAMA,Agri Inputs & Services,theme_park_manual,0.94,Consumer Defensive,Other Food Products,Agri,False,0.2385412718678919,0.18,39,False,,6.0
ANURAS,Agrochemicals,industry_mode,0.78,Basic Materials,Agrochemicals,,False,0.2753802634244547,0.25,50,True,rank_residual_flag,28.0
BAYERCROP,Agrochemicals,industry_mode,0.92,Basic Materials,Agrochemicals,,False,0.2222483524031222,0.195,50,False,,8.0
RALLIS,Agrochemicals,industry_mode,0.92,Basic Materials,Agrochemicals,,False,0.6764743119158347,0.02,50,False,,8.0
SHARDACROP,Agrochemicals,industry_mode,0.92,Basic Materials,Agrochemicals,,False,0.4884055546988567,0.155,50,False,,8.0
SUMICHEM,Agrochemicals,industry_mode,0.92,Basic Materials,Agrochemicals,,False,0.5109396166642479,0.07,50,False,,8.0
INDIGO,Airlines,theme_park_manual,0.94,Industrials,Airlines,Travel,False,1.0,0.0,50,False,,6.0
ABDL,Alcoholic Beverages,manual_lock,0.99,,,Sin Stocks,True,0.790347100123505,0.075,20,False,,1.0
RADICO,Alcoholic Beverages,manual_lock,0.99,Consumer Defensive,Breweries & Distilleries,Sin Stocks,True,0.5832476742652681,0.07,50,False,,1.0
SULA,Alcoholic Beverages,industry_mode,0.92,Consumer Defensive,Breweries & Distilleries,,False,0.5174114874622836,0.4,50,True,rank_residual_flag,14.0
TI,Alcoholic Beverages,manual_lock,0.99,Consumer Defensive,Breweries & Distilleries,Sin Stocks,True,0.8604951954559641,0.025,38,False,,1.0
ABSLAMC,Asset Managers,industry_mode,0.92,Financial Services,Asset Management Cos.,,False,0.6813864103295652,0.12,50,False,,8.0
HDFCAMC,Asset Managers,industry_mode,0.92,Financial Services,Asset Management Cos.,,False,0.4958218738836709,0.1375,50,False,,8.0
NAM-INDIA,Asset Managers,industry_mode,0.92,Financial Services,Asset Management Cos.,,False,0.8089359217572861,0.11,50,False,,8.0
UTIAMC,Asset Managers,industry_mode,0.92,Financial Services,Asset Management Cos.,,False,0.695210515717489,0.13,50,False,,8.0
BELRISE,Auto Comp,theme_park_manual,0.94,,,Auto Comp,False,,,4,False,,6.0
CRAFTSMAN,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.0489118626534946,0.1375,50,False,,6.0
ENDURANCE,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.2681218626263421,0.0975,50,False,,6.0
FIEMIND,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.4004742666489543,0.0775,38,False,,6.0
