Symbol,Theme,source,confidence,sector_mode,industry_mode,debug_theme,locked,rank_move_corr,rank_resid,rank_obs,needs_review,review_reasons,review_priority,ff_mcap_med
BAJAJ-AUTO,2W/3W OEMs,theme_park_manual,0.94,Consumer Cyclical,2/3 Wheelers,2w,False,0.8287386026701704,0.085,50,False,,6.0,120792.41
EICHERMOT,2W/3W OEMs,theme_park_manual,0.94,Consumer Cyclical,2/3 Wheelers,2w,False,0.5113020217391125,0.2025,50,False,,6.0,99564.33
HEROMOTOCO,2W/3W OEMs,theme_park_manual,0.94,Consumer Cyclical,2/3 Wheelers,2w,False,0.8275273486937258,0.06,50,False,,6.0,72310.49
TVSMOTOR,2W/3W OEMs,theme_park_manual,0.94,Consumer Cyclical,2/3 Wheelers,2w,False,0.7603284878037919,0.085,50,False,,6.0,86912.28
ADANIENSOL,Adani Ecosystem,industry_mode|granular_split|first_principles_high,0.88,Utilities,Electric Utilities,,False,0.0831322736935499,0.17,27,True,low_fundamental_confidence,32.0,31012.2
ADANIENT,Adani Ecosystem,theme_park_manual|first_principles_high,0.94,Energy,Commodity Trading & Distribution,Infra,False,0.7363411868484867,0.135,31,False,,6.0,60706.28
ADANIGREEN,Adani Ecosystem,industry_mode|granular_split|first_principles_high,0.92,Utilities,Electric Utilities,,False,0.2710313337887355,0.24,42,True,rank_residual_flag,14.0,52722.59
ADANIPORTS,Adani Ecosystem,theme_park_manual|first_principles_high,0.94,Industrials,Marine Port & Services,Infra,False,0.9063864529131688,0.06,50,False,,6.0,104752.11
ADANIPOWER,Adani Ecosystem,theme_park_manual|granular_split|first_principles_high,0.94,Utilities,Electric Utilities,Infra,False,0.452543093788626,0.095,44,False,,6.0,65437.02
AWL,Adani Ecosystem,legacy_fallback|first_principles_high,0.88,,,,False,0.4208125774382301,0.1,23,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0,11973.5
DHANUKA,Agri Inputs & Services,theme_park_manual,0.94,Basic Materials,Agrochemicals,Agri,False,0.7350871920812878,0.0925,50,False,,6.0,1526.95
GODREJAGRO,Agri Inputs & Services,theme_park_manual,0.94,Consumer Defensive,Other Agricultural Products,,False,0.4890176166451961,0.1625,50,False,,6.0,3319.98
LTFOODS,Agri Inputs & Services,theme_park_manual,0.94,Consumer Defensive,Other Agricultural Products,Agri,False,0.7808274610067532,0.055,39,False,,6.0,6348.2
MANORAMA,Agri Inputs & Services,theme_park_manual,0.94,Consumer Defensive,Other Food Products,Agri,False,0.2385412718678919,0.18,39,False,,6.0,3680.54
ANURAS,Agrochemicals,industry_mode,0.78,Basic Materials,Agrochemicals,,False,0.2753802634244547,0.25,50,True,rank_residual_flag,28.0,5810.28
BAYERCROP,Agrochemicals,industry_mode,0.92,Basic Materials,Agrochemicals,,False,0.2222483524031222,0.195,50,False,,8.0,5730.25
RALLIS,Agrochemicals,industry_mode,0.92,Basic Materials,Agrochemicals,,False,0.6764743119158347,0.02,50,False,,8.0,2397.9
SHARDACROP,Agrochemicals,industry_mode,0.92,Basic Materials,Agrochemicals,,False,0.4884055546988567,0.155,50,False,,8.0,2347.23
SUMICHEM,Agrochemicals,industry_mode,0.92,Basic Materials,Agrochemicals,,False,0.5109396166642479,0.07,50,False,,8.0,5109.99
BRIGHOTEL,Air Travel & Hospitality Ecosystem,legacy_fallback|first_principles_high,0.88,,,,False,,,1,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0,602.86
GMRAIRPORT,Air Travel & Hospitality Ecosystem,legacy_fallback|first_principles_high,0.88,,,,False,0.4210578806603662,0.28,21,True,low_fundamental_confidence;legacy_fallback_needs_validation;rank_residual_flag,81.0,33479.73
INDIGO,Air Travel & Hospitality Ecosystem,theme_park_manual|first_principles_high,0.94,Industrials,Airlines,Travel,False,1.0,0.0,50,False,,6.0,103778.91
ITCHOTELS,Air Travel & Hospitality Ecosystem,legacy_fallback|first_principles_high,0.88,,,,False,0.6157411467924636,0.125,10,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0,22655.5
JUNIPER,Air Travel & Hospitality Ecosystem,legacy_fallback|first_principles_high,0.88,,,,False,0.2313959087272897,0.1825,20,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0,1134.28
SPICEJET,Air Travel & Hospitality Ecosystem,legacy_fallback|first_principles_high,0.88,,,,False,0.6010394945869226,0.175,23,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0,2394.89
THELEELA,Air Travel & Hospitality Ecosystem,legacy_fallback|first_principles_high,0.88,,,,False,,,3,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0,3386.54
TRAVELFOOD,Air Travel & Hospitality Ecosystem,legacy_fallback|first_principles_high,0.88,,,,False,,,1,True,low_fundamental_confidence;legacy_fallback_needs_validation,75.0,1938.49
ABDL,Alcoholic Beverages,manual_lock,0.99,,,Sin Stocks,True,0.790347100123505,0.075,20,False,,1.0,2597.02
RADICO,Alcoholic Beverages,manual_lock,0.99,Consumer Defensive,Breweries & Distilleries,Sin Stocks,True,0.5832476742652681,0.07,50,False,,1.0,22641.6
SULA,Alcoholic Beverages,industry_mode,0.92,Consumer Defensive,Breweries & Distilleries,,False,0.5174114874622836,0.4,50,True,rank_residual_flag,14.0,1170.04
TI,Alcoholic Beverages,manual_lock,0.99,Consumer Defensive,Breweries & Distilleries,Sin Stocks,True,0.8604951954559641,0.025,38,False,,1.0,7291.87
ABSLAMC,Asset Managers,industry_mode,0.92,Financial Services,Asset Management Cos.,,False,0.6813864103295652,0.12,50,False,,8.0,5517.24
HDFCAMC,Asset Managers,industry_mode,0.92,Financial Services,Asset Management Cos.,,False,0.4958218738836709,0.1375,50,False,,8.0,51335.57
NAM-INDIA,Asset Managers,industry_mode,0.92,Financial Services,Asset Management Cos.,,False,0.8089359217572861,0.11,50,False,,8.0,15666.08
UTIAMC,Asset Managers,industry_mode,0.92,Financial Services,Asset Management Cos.,,False,0.695210515717489,0.13,50,False,,8.0,12495.07
BELRISE,Auto Comp,theme_park_manual,0.94,,,Auto Comp,False,,,4,False,,6.0,5095.16
CRAFTSMAN,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.0489118626534946,0.1375,50,False,,6.0,8965.57
ENDURANCE,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.2681218626263421,0.0975,50,False,,6.0,8544.3
FIEMIND,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.4004742666489543,0.0775,38,False,,6.0,2598.08
LUMAXTECH,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.2694083735040076,0.13,50,False,,6.0,4042.11
MOTHERSON,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.3552878256053348,0.165,50,False,,6.0,61183.59
MSUMI,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.0173395551791209,0.16,50,False,,6.0,10956.33
SHRIPISTON,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Industrial Machinery,Auto Comp,False,0.6913535659116363,0.1,36,False,,6.0,6814.01
SJS,Auto Comp,theme_park_manual,0.94,Consumer Cyclical,Auto Parts & Equipment,Auto Comp,False,0.5883605310645869,0.0975,50,False,,6.0,4195.66
ARE&M,Auto Components - Body / Thermal / Interior - Large Cap,industry_mode|granular_split,0.92,Industrials,Auto Parts & Equipment,,False,0.3129035077559731,0.28,39,True,rank_residual_flag,14.0,10316.68
ASAHIINDIA,Auto Components - Body / Thermal / Interior - Large Cap,industry_mode|granular_split,0.92,Consumer Cyclical,Auto Parts & Equipment,,False,0.2585416964411021,0.225,50,True,rank_residual_flag,14.0,12371.56
