theme,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank,obs_months
Alt_Finance_Insurance,MANAPPURAM,A,-0.6176,0.5589,3.5,6.8946,11.0,14
Alt_Finance_Insurance,AADHARHFC,A,-0.5733,0.4512,2.0,7.9117,22.0,15
Alt_Finance_Insurance,SBILIFE,Core,-0.3943,0.6395,5.0,15.0516,21.0,14
Alt_Finance_Insurance,MUTHOOTFIN,Core,0.2221,0.5692,9.0,14.9963,15.0,27
Alt_Finance_Insurance,STAR,Core,1.3328,0.9894,7.0,105.7316,12.0,39
Alt_Finance_Insurance,HDFCLIFE,B,1.3878,0.0545,9.5,20.8448,33.0,23
Alt_Finance_Insurance,ABCAPITAL,B,1.6596,0.3397,15.0,26.7584,36.0,21
Auto_Mobility_Components,FIEMIND,A,-1.1612,0.7726,0.25,13.4164,28.0,18
Auto_Mobility_Components,LUMAXTECH,A,-1.0258,0.7369,0.25,14.881,28.0,18
Auto_Mobility_Components,SJS,A,-0.3708,0.2926,5.0,13.0709,15.0,21
Auto_Mobility_Components,EICHERMOT,Core,-0.1686,0.1197,6.0,12.2414,16.0,23
Auto_Mobility_Components,ASHOKLEY,Core,0.2603,-0.2551,5.0,12.9173,20.5,14
Auto_Mobility_Components,TI,Core,0.4038,0.2046,12.0,17.7997,22.5,18
Auto_Mobility_Components,CRAFTSMAN,B,0.9305,0.0435,12.0,23.0935,38.0,17
Auto_Mobility_Components,AVL,B,1.0888,-0.2742,9.75,21.6101,24.5,16
Auto_Mobility_Components,MSUMI,B,2.3373,-0.0199,33.5,26.1877,69.0,18
Banking_NBFC_Core,FEDERALBNK,A,-0.3628,0.342,4.0,12.3252,19.0,17
Banking_NBFC_Core,CUB,A,-0.358,0.6319,8.0,13.6961,22.0,21
Banking_NBFC_Core,AXISBANK,A,-0.3483,0.7816,9.5,16.5307,33.0,14
Banking_NBFC_Core,KARURVYSYA,A,-0.3151,0.5135,8.0,9.778,21.0,21
Banking_NBFC_Core,INDIANB,Core,-0.1525,0.3553,5.0,18.6738,25.0,21
Banking_NBFC_Core,CHOLAFIN,Core,-0.0603,0.5854,9.0,20.8525,35.0,27
Banking_NBFC_Core,CANBK,Core,0.1236,0.263,4.5,27.5282,40.0,18
Banking_NBFC_Core,BAJFINANCE,Core,0.1709,0.6348,10.5,28.2292,35.0,27
Banking_NBFC_Core,SHRIRAMFIN,Core,0.3283,-0.0216,7.0,14.3703,28.0,18
Banking_NBFC_Core,LTF,B,0.5713,0.6058,14.0,32.5491,23.0,18
Banking_NBFC_Core,PNB,B,0.6772,0.5326,16.5,25.4401,57.5,18
Banking_NBFC_Core,UJJIVANSFB,B,0.7875,0.7918,19.0,34.635,40.0,21
Banking_NBFC_Core,IDFCFIRSTB,B,1.3063,0.3425,20.25,30.8493,46.0,18
Consumer_Premium_Retail,IXIGO,A,-0.9345,0.7208,4.5,14.6551,24.0,15
Consumer_Premium_Retail,RADICO,A,-0.6862,0.3173,4.75,11.2509,28.0,18
Consumer_Premium_Retail,THANGAMAYL,Core,-0.0694,0.365,9.0,15.8011,20.0,17
Consumer_Premium_Retail,ABDL,Core,0.0719,0.6584,12.0,17.9758,10.0,15
Consumer_Premium_Retail,V2RETAIL,Core,0.1982,0.2303,13.5,8.6554,3.5,18
Consumer_Premium_Retail,TITAN,Core,0.3527,0.1325,10.25,17.3016,28.0,14
Consumer_Premium_Retail,CARTRADE,B,0.8373,0.488,16.0,21.8601,10.0,27
Consumer_Premium_Retail,ETHOSLTD,B,0.9094,0.9351,9.5,47.0617,42.0,42
Healthcare_Pharma_Diagnostics,SAILIFE,A,-0.5144,,5.0,8.7883,19.5,8
Healthcare_Pharma_Diagnostics,TORNTPHARM,A,-0.2848,0.1404,4.5,6.59,22.5,14
Healthcare_Pharma_Diagnostics,LAURUSLABS,Core,-0.1093,0.7587,9.0,19.6894,7.0,21
Healthcare_Pharma_Diagnostics,THYROCARE,Core,-0.0106,0.6907,10.0,16.4422,18.0,21
Healthcare_Pharma_Diagnostics,ASTERDM,Core,0.0757,0.521,7.5,27.1088,21.0,27
Healthcare_Pharma_Diagnostics,NAVINFLUOR,Core,0.7949,0.2784,11.0,35.8333,24.0,27
Healthcare_Pharma_Diagnostics,ACUTAAS,B,1.7893,0.9978,0.5,180.4898,60.0,42
Healthcare_Pharma_Diagnostics,METROPOLIS,B,2.1762,0.1117,26.5,18.0541,38.0,21
Industrial_Manufacturing_Exports,SENORES,A,-1.424,,7.5,9.9216,9.5,8
Industrial_Manufacturing_Exports,SYRMA,A,-0.5059,0.3794,5.0,25.5587,35.0,18
Industrial_Manufacturing_Exports,APLAPOLLO,A,-0.4092,0.2802,6.0,23.3945,37.0,23
Industrial_Manufacturing_Exports,SHAILY,Core,-0.293,0.0203,27.5,8.0829,5.0,27
Industrial_Manufacturing_Exports,AVALON,Core,-0.2729,0.3883,12.5,25.7427,28.0,23
Industrial_Manufacturing_Exports,PGIL,Core,-0.1091,0.0823,25.0,13.3963,19.0,18
Industrial_Manufacturing_Exports,GOODLUCK,B,0.0067,0.362,14.5,27.7553,37.0,18
Industrial_Manufacturing_Exports,MTARTECH,B,0.9765,0.3047,29.75,32.3043,66.0,18
Industrial_Manufacturing_Exports,AIAENG,B,2.6244,-0.5041,37.5,26.0318,75.0,17
Market_Infrastructure_Wealth,BSE,A,-0.7022,0.6341,6.0,8.3811,7.0,17
Market_Infrastructure_Wealth,MCX,A,-0.4956,0.8692,5.5,14.9728,9.0,34
Market_Infrastructure_Wealth,NUVAMA,Core,-0.3049,0.873,7.25,10.9737,25.0,18
Market_Infrastructure_Wealth,360ONE,Core,0.2514,0.6263,8.0,12.4137,25.0,27
Market_Infrastructure_Wealth,MFSL,B,0.452,0.0676,7.0,12.8268,13.0,17
Market_Infrastructure_Wealth,IIFL,B,13.3858,-0.0458,44.0,31.897,67.0,21
Metals_Mining_Materials,HINDALCO,A,-1.1161,0.7743,2.25,19.6972,29.0,18
Metals_Mining_Materials,TATASTEEL,A,-0.5861,0.8885,6.25,23.6602,33.5,18
Metals_Mining_Materials,JSWSTEEL,Core,-0.2767,0.6682,7.0,14.6676,21.0,18
Metals_Mining_Materials,HEG,Core,0.3462,0.5816,10.25,11.9275,27.5,14
Metals_Mining_Materials,HINDCOPPER,Core,0.4676,0.6254,8.0,31.9142,52.0,23
Metals_Mining_Materials,VEDL,Core,0.9137,0.719,14.5,17.4281,32.0,17
Metals_Mining_Materials,HINDZINC,B,1.1209,-0.0232,7.5,11.7328,29.0,14
Metals_Mining_Materials,GMDCLTD,B,2.8527,-0.4242,10.0,29.6328,22.5,14
Power_Energy_Logistics,WAAREEENER,A,-1.0755,0.8199,6.75,9.2892,21.0,10
Power_Energy_Logistics,ADANIPORTS,A,-0.8517,0.777,4.5,20.0221,34.0,17
Power_Energy_Logistics,GVT&D,Core,-0.0728,0.6999,15.5,21.7089,7.0,27
Power_Energy_Logistics,ADANIPOWER,Core,0.1471,0.1135,11.0,22.9928,55.0,18
Power_Energy_Logistics,UPL,Core,0.8182,-0.1604,14.5,31.0847,34.0,27
Power_Energy_Logistics,DELHIVERY,Core,0.8591,0.4709,22.0,33.5211,71.0,21
Power_Energy_Logistics,POWERINDIA,B,1.9529,0.8738,13.25,97.0506,13.0,34
Power_Energy_Logistics,GESHIP,B,2.0635,-0.4261,34.25,25.8587,70.0,14
Telecom_IT_Digital,BHARTIARTL,A,-0.5985,0.3705,6.0,7.6217,15.0,17
Telecom_IT_Digital,COFORGE,A,-0.3432,0.6071,7.0,20.9246,24.0,27
Telecom_IT_Digital,SAGILITY,Core,-0.1304,0.4216,7.0,19.3225,30.0,9
Telecom_IT_Digital,ECLERX,Core,-0.0135,0.2895,7.25,14.4029,28.0,18
Telecom_IT_Digital,ETERNAL,Core,1.4645,0.1969,13.0,12.6334,16.0,23
Telecom_IT_Digital,PAYTM,B,2.0936,0.5187,15.0,35.7505,15.0,27
Telecom_IT_Digital,IDEA,B,15.277,0.0631,67.0,33.1778,89.0,17
