Symbol,Theme,membership_type,primary_theme,secondary_rationale
AURIONPRO,IT Products,theme_park_backfill,IT Products,Backfilled because symbol exists in original theme_park.
AWHCL,Recyclers,theme_park_backfill,Recyclers,Backfilled because symbol exists in original theme_park.
BIRET,Real Estate - Commercial / Leasing,theme_park_backfill,Real Estate - Commercial / Leasing,Backfilled because symbol exists in original theme_park.
BLS,Workforce & Outsourced Services,theme_park_backfill,Workforce & Outsourced Services,Backfilled because symbol exists in original theme_park.
CANTABIL,Organized Retail - Value & Fashion,theme_park_backfill,Organized Retail - Value & Fashion,Backfilled because symbol exists in original theme_park.
DEEPINDS,Hydrocarbon Upstream & Gas Infrastructure,theme_park_backfill,Hydrocarbon Upstream & Gas Infrastructure,Backfilled because symbol exists in original theme_park.
EASEMYTRIP,Tourism Ecosystem - Discovery & Booking,theme_park_backfill,Tourism Ecosystem - Discovery & Booking,Backfilled because symbol exists in original theme_park.
EMBASSY,Real Estate - Commercial / Leasing,theme_park_backfill,Real Estate - Commercial / Leasing,Backfilled because symbol exists in original theme_park.
GOODLUCK,Steel - Pipes & Tubes,theme_park_backfill,Steel - Pipes & Tubes,Backfilled because symbol exists in original theme_park.
HSCL,Specialty Chem - Materials & Formulations,theme_park_backfill,Specialty Chem - Materials & Formulations,Backfilled because symbol exists in original theme_park.
IOB,Banks - Public Sector,theme_park_backfill,Banks - Public Sector,Backfilled because symbol exists in original theme_park.
JWL,Infra Buildout - Rail Mobility,theme_park_backfill,Infra Buildout - Rail Mobility,Backfilled because symbol exists in original theme_park.
KSCL,Agri Inputs & Farm Value Chain,theme_park_backfill,Agri Inputs & Farm Value Chain,Backfilled because symbol exists in original theme_park.
LLOYDSME,Steel - Primary / Long Products,theme_park_backfill,Steel - Primary / Long Products,Backfilled because symbol exists in original theme_park.
MINDSPACE,Real Estate - Commercial / Leasing,theme_park_backfill,Real Estate - Commercial / Leasing,Backfilled because symbol exists in original theme_park.
ORIENTCEM,Cement - Regional / Midcap,theme_park_backfill,Cement - Regional / Midcap,Backfilled because symbol exists in original theme_park.
PATANJALI,Consumer Staples Brands,theme_park_backfill,Consumer Staples Brands,Backfilled because symbol exists in original theme_park.
PCBL,Commodity Chemicals,theme_park_backfill,Commodity Chemicals,Backfilled because symbol exists in original theme_park.
SMLMAH,Commercial Vehicles,theme_park_backfill,Commercial Vehicles,Backfilled because symbol exists in original theme_park.
SOLARA,Pharma - Export Generics - Mid Cap,theme_park_backfill,Pharma - Export Generics - Mid Cap,Backfilled because symbol exists in original theme_park.
UCOBANK,Banks - Public Sector,theme_park_backfill,Banks - Public Sector,Backfilled because symbol exists in original theme_park.
