theme,size,cohesion_pairwise_corr
Transport_Logistics_and_Travel_Platforms,5,-0.11394663543848474
Auto_OEM_Ancillaries_and_Mobility_Manufacturing,8,-0.05935860782965185
Industrial_Tech_EMS_and_Power_Equipment,10,-0.00570672874209396
Tech_Telecom_and_Digital_Platforms,6,0.01619263697689869
Alcobev_and_Premium_Discretionary,7,0.14915224481955178
Metals_Mining_Materials_and_Chemicals,12,0.1519648442410767
Healthcare_Pharma_Diagnostics_and_HealthTech,8,0.16205546904419557
Lending_Insurance_Diversified_Financials,11,0.16322841973116511
Capital_Markets_Wealth_Asset_Platforms,6,0.17012936541583612
Banking_Universal_and_Retail,9,0.3039156601282624
