outlier_theme,symbol,from_stage1_theme
OutlierCapture_1_Auto_Mobility_Components/Healthcare_Pharma_Diagnostics,ACUTAAS,Healthcare_Pharma_Diagnostics
OutlierCapture_1_Auto_Mobility_Components/Healthcare_Pharma_Diagnostics,AVL,Auto_Mobility_Components
OutlierCapture_1_Auto_Mobility_Components/Healthcare_Pharma_Diagnostics,CARTRADE,Consumer_Premium_Retail
OutlierCapture_1_Auto_Mobility_Components/Healthcare_Pharma_Diagnostics,CRAFTSMAN,Auto_Mobility_Components
OutlierCapture_1_Auto_Mobility_Components/Healthcare_Pharma_Diagnostics,ETHOSLTD,Consumer_Premium_Retail
OutlierCapture_1_Auto_Mobility_Components/Healthcare_Pharma_Diagnostics,METROPOLIS,Healthcare_Pharma_Diagnostics
OutlierCapture_1_Auto_Mobility_Components/Healthcare_Pharma_Diagnostics,PAYTM,Telecom_IT_Digital
OutlierCapture_2_Alt_Finance_Insurance/Market_Infrastructure_Wealth,AIAENG,Industrial_Manufacturing_Exports
OutlierCapture_2_Alt_Finance_Insurance/Market_Infrastructure_Wealth,HDFCLIFE,Alt_Finance_Insurance
OutlierCapture_2_Alt_Finance_Insurance/Market_Infrastructure_Wealth,HINDZINC,Metals_Mining_Materials
OutlierCapture_2_Alt_Finance_Insurance/Market_Infrastructure_Wealth,MFSL,Market_Infrastructure_Wealth
OutlierCapture_2_Alt_Finance_Insurance/Market_Infrastructure_Wealth,POWERINDIA,Power_Energy_Logistics
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,ABCAPITAL,Alt_Finance_Insurance
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,GESHIP,Power_Energy_Logistics
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,GMDCLTD,Metals_Mining_Materials
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,IDEA,Telecom_IT_Digital
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,IDFCFIRSTB,Banking_NBFC_Core
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,IIFL,Market_Infrastructure_Wealth
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,LTF,Banking_NBFC_Core
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,MSUMI,Auto_Mobility_Components
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,MTARTECH,Industrial_Manufacturing_Exports
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,PNB,Banking_NBFC_Core
OutlierCapture_3_Banking_NBFC_Core/Alt_Finance_Insurance,UJJIVANSFB,Banking_NBFC_Core
