theme,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank,obs_months
Banks_and_Regional_Lenders,AXISBANK,A,-1.431,0.8452,5.0,16.5307,33.0,14
Banks_and_Regional_Lenders,INDIANB,A,-1.2721,0.8434,6.0,18.6738,25.0,21
Banks_and_Regional_Lenders,FEDERALBNK,A,-0.3204,0.4592,8.0,12.3252,19.0,17
Banks_and_Regional_Lenders,KARURVYSYA,Core,-0.2217,0.4762,10.0,9.778,21.0,21
Banks_and_Regional_Lenders,CUB,Core,-0.1293,0.4784,10.0,13.6961,22.0,21
Banks_and_Regional_Lenders,UJJIVANSFB,Core,0.4989,0.5618,13.0,34.635,40.0,21
Banks_and_Regional_Lenders,PNB,B,0.9083,0.4307,16.25,25.4401,57.5,18
Banks_and_Regional_Lenders,CANBK,B,1.0488,-0.003,7.0,27.5282,40.0,18
Banks_and_Regional_Lenders,IDFCFIRSTB,B,1.2868,0.2312,14.0,30.8493,46.0,18
NBFC_and_Credit_Platforms,MANAPPURAM,A,-0.9777,0.7305,2.25,6.8946,11.0,14
NBFC_and_Credit_Platforms,CHOLAFIN,A,-0.3545,0.8574,6.0,20.8525,35.0,27
NBFC_and_Credit_Platforms,AADHARHFC,Core,-0.0142,0.5849,7.0,7.9117,22.0,15
NBFC_and_Credit_Platforms,MUTHOOTFIN,Core,0.0356,0.5364,6.0,14.9963,15.0,27
NBFC_and_Credit_Platforms,ABCAPITAL,Core,0.1852,0.6743,7.0,26.7584,36.0,21
NBFC_and_Credit_Platforms,LTF,Core,0.4189,0.8853,10.0,32.5491,23.0,18
NBFC_and_Credit_Platforms,BAJFINANCE,B,0.7643,0.7095,11.0,28.2292,35.0,27
NBFC_and_Credit_Platforms,SHRIRAMFIN,B,2.121,-0.0607,13.75,14.3703,28.0,18
Insurance_Wealth_and_Exchanges,SBILIFE,A,-0.8091,0.4835,1.0,15.0516,21.0,14
Insurance_Wealth_and_Exchanges,NUVAMA,A,-0.6745,0.7503,6.0,10.9737,25.0,18
Insurance_Wealth_and_Exchanges,BSE,A,-0.3791,0.4795,8.0,8.3811,7.0,17
Insurance_Wealth_and_Exchanges,MFSL,Core,-0.0872,0.0689,6.0,12.8268,13.0,17
Insurance_Wealth_and_Exchanges,360ONE,Core,-0.0382,0.657,11.0,12.4137,25.0,27
Insurance_Wealth_and_Exchanges,MCX,Core,0.5003,-0.1225,9.5,14.9728,9.0,34
Insurance_Wealth_and_Exchanges,HDFCLIFE,B,0.8417,0.3614,14.0,20.8448,33.0,23
Insurance_Wealth_and_Exchanges,STAR,B,3.5124,0.9005,9.0,105.7316,12.0,39
Insurance_Wealth_and_Exchanges,IIFL,B,5.0407,-0.1663,47.0,31.897,67.0,21
Auto_OEM_and_Ancillaries,FIEMIND,A,-0.8163,0.6341,1.0,13.4164,28.0,18
Auto_OEM_and_Ancillaries,LUMAXTECH,A,-0.5934,0.6064,1.5,14.881,28.0,18
Auto_OEM_and_Ancillaries,ASHOKLEY,Core,-0.3429,0.3937,4.75,12.9173,20.5,14
Auto_OEM_and_Ancillaries,SJS,Core,-0.1604,0.3225,6.0,13.0709,15.0,21
Auto_OEM_and_Ancillaries,EICHERMOT,Core,-0.1604,0.2398,6.0,12.2414,16.0,23
Auto_OEM_and_Ancillaries,AVL,Core,1.5817,-0.1773,10.0,21.6101,24.5,16
Auto_OEM_and_Ancillaries,CRAFTSMAN,B,1.7908,0.0747,14.5,23.0935,38.0,17
Auto_OEM_and_Ancillaries,MSUMI,B,3.4396,0.1123,33.5,26.1877,69.0,18
Metals_Mining_and_Commodity_Materials,HINDALCO,A,-1.1161,0.7743,2.25,19.6972,29.0,18
Metals_Mining_and_Commodity_Materials,TATASTEEL,A,-0.5861,0.8885,6.25,23.6602,33.5,18
Metals_Mining_and_Commodity_Materials,JSWSTEEL,Core,-0.2767,0.6682,7.0,14.6676,21.0,18
Metals_Mining_and_Commodity_Materials,HEG,Core,0.3462,0.5816,10.25,11.9275,27.5,14
Metals_Mining_and_Commodity_Materials,HINDCOPPER,Core,0.4676,0.6254,8.0,31.9142,52.0,23
Metals_Mining_and_Commodity_Materials,VEDL,Core,0.9137,0.719,14.5,17.4281,32.0,17
Metals_Mining_and_Commodity_Materials,HINDZINC,B,1.1209,-0.0232,7.5,11.7328,29.0,14
Metals_Mining_and_Commodity_Materials,GMDCLTD,B,2.8527,-0.4242,10.0,29.6328,22.5,14
Industrials_EMS_and_Power_Equipment,SENORES,A,-0.7445,,9.0,9.9216,9.5,8
Industrials_EMS_and_Power_Equipment,WAAREEENER,A,-0.6852,0.2328,7.25,9.2892,21.0,10
Industrials_EMS_and_Power_Equipment,PGIL,A,-0.6685,0.6285,15.25,13.3963,19.0,18
Industrials_EMS_and_Power_Equipment,GVT&D,A,-0.2295,0.3546,11.5,21.7089,7.0,27
Industrials_EMS_and_Power_Equipment,SHAILY,Core,-0.2222,0.2413,14.0,8.0829,5.0,27
Industrials_EMS_and_Power_Equipment,SYRMA,Core,-0.0617,0.4171,13.75,25.5587,35.0,18
