theme,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers
Industrials_EMS_and_Power_Equipment,12,-0.0144,"GVT&D, PGIL, SENORES, WAAREEENER","ADANIPOWER, AIAENG, MTARTECH, POWERINDIA","AIAENG, ADANIPOWER, MTARTECH"
Healthcare_Pharma_Diagnostics_and_Lifesciences,10,0.1556,"LAURUSLABS, SAILIFE, TORNTPHARM","ACUTAAS, METROPOLIS, SAGILITY","METROPOLIS, ACUTAAS, SAGILITY"
Banks_and_Regional_Lenders,9,0.3039,"AXISBANK, FEDERALBNK, INDIANB","CANBK, IDFCFIRSTB, PNB","IDFCFIRSTB, CANBK, PNB"
Insurance_Wealth_and_Exchanges,9,0.1553,"BSE, NUVAMA, SBILIFE","HDFCLIFE, IIFL, STAR","IIFL, STAR, HDFCLIFE"
NBFC_and_Credit_Platforms,8,0.2508,"CHOLAFIN, MANAPPURAM","BAJFINANCE, SHRIRAMFIN","SHRIRAMFIN, BAJFINANCE, LTF"
Auto_OEM_and_Ancillaries,8,-0.0594,"FIEMIND, LUMAXTECH","CRAFTSMAN, MSUMI","MSUMI, CRAFTSMAN, AVL"
Metals_Mining_and_Commodity_Materials,8,0.1584,"HINDALCO, TATASTEEL","GMDCLTD, HINDZINC","GMDCLTD, HINDZINC, VEDL"
Alcobev_Luxury_and_Discretionary_Retail,7,0.1492,"RADICO, TITAN","ETHOSLTD, THANGAMAYL","ETHOSLTD, THANGAMAYL, ABDL"
Tech_Telecom_and_Digital_Platforms,6,0.0162,"BHARTIARTL, COFORGE","IDEA, PAYTM","IDEA, PAYTM, ETERNAL"
Logistics_Travel_and_Mobility_Platforms,5,-0.1139,"ADANIPORTS, IXIGO","DELHIVERY, GESHIP","GESHIP, DELHIVERY, CARTRADE"
