theme_id,theme_name,symbol,role,outlier_score,corr_with_theme_moves,med_abs_resid,rank_volatility,median_rank_norm,obs_months
IND::Other Financial Services,Other Financial Services - Cluster s,NUVAMA,A,-1.0265,0.4013,0.1195,0.0991,0.2629,23
IND::Other Financial Services,Other Financial Services - Cluster s,EDELWEISS,A,-0.9483,0.4744,0.0951,0.2063,0.4108,38
IND::Other Financial Services,Other Financial Services - Cluster s,CARERATING,A,-0.8512,0.4921,0.115,0.196,0.3713,50
IND::Other Financial Services,Other Financial Services - Cluster s,ICRA,Core,-0.8102,0.446,0.124,0.16,0.4638,50
IND::Other Financial Services,Other Financial Services - Cluster s,PRUDENT,Core,-0.3941,0.3624,0.1323,0.1811,0.3679,50
IND::Other Financial Services,Other Financial Services - Cluster s,CRISIL,Core,0.2362,0.3343,0.16,0.2386,0.3879,50
IND::Other Financial Services,Other Financial Services - Cluster s,360ONE,Core,0.2481,0.0061,0.1,0.1749,0.3073,50
IND::Other Financial Services,Other Financial Services - Cluster s,MOTILALOFS,Core,0.3183,0.2649,0.1696,0.1965,0.2122,50
IND::Other Financial Services,Other Financial Services - Cluster s,RELIGARE,Core,0.3805,0.148,0.1594,0.1632,0.4822,50
IND::Other Financial Services,Other Financial Services - Cluster s,KFINTECH,Core,0.407,0.2483,0.1545,0.2358,0.2434,50
IND::Other Financial Services,Other Financial Services - Cluster s,CMSINFO,Core,0.646,0.2881,0.1858,0.2444,0.447,50
IND::Other Financial Services,Other Financial Services - Cluster s,IIFL,B,0.711,0.377,0.1849,0.3103,0.4645,50
IND::Other Financial Services,Other Financial Services - Cluster s,ANANDRATHI,B,1.3355,0.2579,0.2686,0.2017,0.1117,50
IND::Other Financial Services,Other Financial Services - Cluster s,BELRISE,B,1.3868,,0.38,0.0308,0.0108,4
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,SIEMENS,A,-1.3232,0.5519,0.0757,0.2457,0.4825,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,CGPOWER,A,-1.0809,0.4476,0.1049,0.1585,0.2868,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,SCHNEIDER,A,-1.0477,0.4068,0.0944,0.1968,0.3362,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,KEC,Core,-0.7189,0.3367,0.105,0.2251,0.498,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,ABB,Core,-0.355,0.4657,0.1254,0.2966,0.401,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,TRITURBINE,Core,-0.3499,0.5196,0.1384,0.2645,0.4404,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,BAJEL,Core,-0.3177,0.5334,0.161,0.1852,0.7314,23
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,BANSALWIRE,Core,-0.2127,0.5998,0.167,0.2162,0.7768,20
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,THERMAX,Core,0.0464,0.3215,0.1393,0.3058,0.5193,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,VOLTAMP,Core,0.0679,0.2634,0.1348,0.3092,0.3585,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,TDPOWERSYS,Core,0.1286,0.0171,0.1606,0.1298,0.1184,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,POWERINDIA,Core,0.1584,0.2904,0.1859,0.1345,0.1557,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,KIRLOSENG,Core,0.4596,0.2022,0.1604,0.2974,0.1338,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,SUZLON,B,0.8097,-0.0436,0.1691,0.2751,0.2641,48
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,BHEL,B,1.0809,0.0665,0.203,0.2562,0.182,50
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,AVALON,B,4.8437,-0.0456,0.4483,0.3203,0.4251,43
IND::Holding Companies,Holding Companies - Cluster s,CHOLAHLDNG,A,-0.8578,0.424,0.0707,0.1776,0.2729,50
IND::Holding Companies,Holding Companies - Cluster s,BAJAJHLDNG,A,-0.5374,0.3672,0.0795,0.199,0.3323,50
IND::Holding Companies,Holding Companies - Cluster s,BAJAJFINSV,Core,-0.1054,0.3314,0.1281,0.22,0.5035,50
IND::Holding Companies,Holding Companies - Cluster s,JMFINANCIL,Core,0.3403,0.2643,0.1622,0.2391,0.5181,50
IND::Holding Companies,Holding Companies - Cluster s,RANEHOLDIN,B,0.4599,0.2207,0.2399,0.1815,0.5834,46
IND::Holding Companies,Holding Companies - Cluster s,ABCAPITAL,B,1.6948,-0.0082,0.241,0.2835,0.3814,50
IND::Department Stores,Department Stores - Cluster s,ABFRL,A,-0.6936,0.3982,0.0722,0.2354,0.7834,50
IND::Department Stores,Department Stores - Cluster s,VMART,A,-0.6163,0.6285,0.1145,0.3115,0.6745,50
IND::Department Stores,Department Stores - Cluster s,DMART,Core,-0.1793,0.2338,0.166,0.1739,0.522,50
IND::Department Stores,Department Stores - Cluster s,SHOPERSTOP,Core,0.2218,0.1173,0.2162,0.172,0.8307,50
IND::Department Stores,Department Stores - Cluster s,TRENT,B,0.4673,0.3809,0.2423,0.3553,0.0885,50
IND::Department Stores,Department Stores - Cluster s,V2RETAIL,B,1.452,0.0866,0.4303,0.2338,0.039,25
IND::Asset Management Cos.,Asset Management Cos. - Cluster .,NAM-INDIA,A,-2.1458,0.7932,0.1272,0.1879,0.1681,50
IND::Asset Management Cos.,Asset Management Cos. - Cluster .,GVT&D,A,-0.0935,0.634,0.1327,0.0853,0.0733,22
IND::Asset Management Cos.,Asset Management Cos. - Cluster .,ABSLAMC,Core,-0.0718,0.6343,0.1263,0.2503,0.3791,50
IND::Asset Management Cos.,Asset Management Cos. - Cluster .,UTIAMC,Core,1.9295,0.6473,0.1552,0.1748,0.5048,50
IND::Asset Management Cos.,Asset Management Cos. - Cluster .,HDFCAMC,B,2.2074,0.4197,0.1263,0.1509,0.1819,50
IND::Asset Management Cos.,Asset Management Cos. - Cluster .,TARIL,B,9.2937,0.6141,0.2304,0.3774,0.2026,23
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,ACI,A,-0.8399,0.5335,0.0569,0.1877,0.672,50
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,TIRUMALCHM,A,-0.2195,0.454,0.1522,0.2082,0.5443,38
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,GHCL,Core,0.0677,0.1989,0.0849,0.2266,0.6324,43
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,TATACHEM,Core,0.166,0.1629,0.1605,0.1056,0.7582,50
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,DEEPAKNTR,Core,0.2226,0.4526,0.2578,0.2041,0.6559,50
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,DEEPAKFERT,Core,0.3353,0.456,0.1808,0.3855,0.5537,50
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,INDIAGLYCO,B,0.7373,0.3413,0.2548,0.3246,0.204,44
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,NAVINFLUOR,B,0.9481,0.2507,0.2292,0.3783,0.6239,50
THEME::Cdmo,Cdmo - Cluster o,SAILIFE,A,-1.6569,0.936,0.0412,0.0852,0.183,11
THEME::Cdmo,Cdmo - Cluster o,SENORES,Core,-0.3183,0.9476,0.0591,0.0979,0.0518,11
THEME::Cdmo,Cdmo - Cluster o,GODIGIT,Core,0.6404,0.9251,0.0607,0.1511,0.3288,20
THEME::Cdmo,Cdmo - Cluster o,ACUTAAS,B,11.715,0.2923,0.0667,0.056,0.0688,12
IND::Marine Port & Services,Marine Port & Services - Cluster s,ADANIPORTS,A,-0.5059,0.7544,0.0604,0.2565,0.368,50
IND::Marine Port & Services,Marine Port & Services - Cluster s,JSWINFRA,Core,0.0323,0.6481,0.1714,0.1559,0.361,32
IND::Marine Port & Services,Marine Port & Services - Cluster s,GPPL,B,0.4971,0.4755,0.0903,0.2779,0.307,50
IND::Biotechnology,Biotechnology - Cluster y,CONCORDBIO,A,-4.2335,0.7232,0.0071,0.2505,0.4789,32
IND::Biotechnology,Biotechnology - Cluster y,ADVENZYMES,Core,-0.686,0.3753,0.0978,0.1579,0.6547,50
