theme_id,theme_name,size,cohesion_pairwise_corr,A_symbols,B_symbols,top_outliers
UNCLASSIFIED::B::B::A,Unclassified - Cluster A,35,0.2126,"CRIZAC, HDBFS, INDIQUBE","ATHERENERG, EPACK, LAXMIDENTL","LAXMIDENTL, EPACK, ATHERENERG"
IND::IT Consulting & Software::B::B::A,IT Consulting & Software - Cluster A,19,0.2845,"HCLTECH, LTIM, MPHASIS","BSOFT, CYIENT, SONATSOFTW","SONATSOFTW, BSOFT, CYIENT"
UNCLASSIFIED::B::B::B,Unclassified - Cluster B,18,0.2096,"AJAXENGG, HEXT, TRAVELFOOD","BHARTIHEXA, JSWHL, SHAKTIPUMP","SHAKTIPUMP, BHARTIHEXA, JSWHL"
IND::Finance (including NBFCs)::B,Finance (including NBFCs) - Cluster B,16,0.1729,"CHOLAFIN, SBFC, SUNDARMFIN","PFC, RECLTD, SPANDANA","RECLTD, SPANDANA, PFC"
IND::Heavy Electrical Equipment,Heavy Electrical Equipment - Cluster t,16,0.0913,"CGPOWER, SCHNEIDER, SIEMENS","AVALON, BHEL, SUZLON","AVALON, BHEL, SUZLON"
IND::Banks::B::B,Banks - Cluster B,14,0.3511,"CANBK, IDBI, UNIONBANK","CUB, IDEA, YESBANK","CUB, IDEA, YESBANK"
UNCLASSIFIED::B::A::B,Unclassified - Cluster B,14,0.28,"RPTECH, SOTL, SURAKSHA","CARRARO, E2E, KINGFA","KINGFA, CARRARO, E2E"
IND::Specialty Chemicals::A,Specialty Chemicals - Cluster A,14,0.1158,"ATUL, FLUOROCHEM, VINATIORGA","AETHER, PRIVISCL, STYRENIX","STYRENIX, AETHER, PRIVISCL"
IND::Healthcare Facilities,Healthcare Facilities - Cluster s,14,0.1095,"APOLLOHOSP, KIMS, MAXHEALTH","MEDANTA, MEDPLUS, POLYMED","MEDPLUS, POLYMED, MEDANTA"
IND::Other Financial Services,Other Financial Services - Cluster s,14,0.0849,"CARERATING, EDELWEISS, NUVAMA","ANANDRATHI, BELRISE, IIFL","BELRISE, ANANDRATHI, IIFL"
IND::Iron & Steel/Interm.Products,Iron & Steel/Interm.Products - Cluster s,14,0.0602,"GPIL, JINDALSTEL, TATASTEEL","MAHSEAMLES, NSLNISP, SARDAEN","MAHSEAMLES, NSLNISP, SARDAEN"
IND::Pharmaceuticals::B::A::B::B,Pharmaceuticals - Cluster B,13,0.2369,"GRANULES, SUNPHARMA, TORNTPHARM","AUROPHARMA, ORCHPHARMA, PFIZER","PFIZER, AUROPHARMA, ORCHPHARMA"
IND::Personal Products,Personal Products - Cluster s,13,0.1672,"GODREJCP, HINDUNILVR, VENTIVE","HONASA, JYOTHYLAB, SHK","SHK, HONASA, JYOTHYLAB"
IND::Other Electrical Equipment/Products::B,Other Electrical Equipment/Products - Cluster B,12,0.165,"HAVELLS, POLYCAB, PREMIERENE","HONAUT, KAYNES, SYRMA","SYRMA, HONAUT, KAYNES"
IND::Other Industrial Products,Other Industrial Products - Cluster s,12,0.1066,"BHARATFORG, KENNAMET, TIMKEN","JINDALSAW, PTCIL, TIPSMUSIC","PTCIL, TIPSMUSIC, JINDALSAW"
IND::Agrochemicals,Agrochemicals - Cluster s,11,0.1254,"PIIND, RALLIS, SUMICHEM","ANURAS, EPIGRAL, UPL","UPL, ANURAS, EPIGRAL"
UNCLASSIFIED::A::B,Unclassified - Cluster B,9,0.267,"AWL, SPICEJET, THELEELA","BAJAJHFL, GMRAIRPORT, NORTHARC","NORTHARC, BAJAJHFL, GMRAIRPORT"
IND::Auto Parts & Equipment::B::B::B,Auto Parts & Equipment - Cluster B,9,0.1732,"CRAFTSMAN, SCHAEFFLER, UNOMINDA","ARE&M, AUTOAXLES, DIVGIITTS","AUTOAXLES, DIVGIITTS, ARE&M"
IND::Packaged Foods,Packaged Foods - Cluster s,9,0.0804,"NESTLEIND, TATACONSUM, ZYDUSWELL","BECTORFOOD, DODLA, HERITGFOOD","HERITGFOOD, BECTORFOOD, DODLA"
IND::Industrial Machinery::B,Industrial Machinery - Cluster B,9,0.0739,"CUMMINSIND, ELECON, INGERRAND","JYOTICNC, KIRLPNU, PRAJIND","PRAJIND, JYOTICNC, KIRLPNU"
IND::Construction & Engineering,Construction & Engineering - Cluster g,9,0.0627,"AHLUCONT, POWERMECH, TEXRAIL","KNRCON, LT, PSPPROJECT","PSPPROJECT, LT, KNRCON"
IND::Iron & Steel Products,Iron & Steel Products - Cluster s,9,0.032,"MIDHANI, SURYAROSNI, TIIL","APLAPOLLO, HITECH, VENUSPIPES","VENUSPIPES, HITECH, APLAPOLLO"
IND::Defence,Defence - Cluster e,8,0.299,"ASTRAMICRO, BDL","CONCOR, MTARTECH","MTARTECH, CONCOR, ZENTEC"
IND::Auto Parts & Equipment::B::A::B,Auto Parts & Equipment - Cluster B,8,0.219,"FIEMIND, SANSERA","ASAHIINDIA, MOTHERSON","ASAHIINDIA, MOTHERSON, LUMAXTECH"
IND::Breweries & Distilleries::B,Breweries & Distilleries - Cluster B,8,0.1801,"UBL, UNITDSPR","GLOBUSSPR, VBL","VBL, GLOBUSSPR, SULA"
IND::Consumer Electronics::B,Consumer Electronics - Cluster B,8,0.1694,"ORIENTELEC, VOLTAS","BLUESTARCO, SAGILITY","SAGILITY, BLUESTARCO, PGEL"
IND::Textiles,Textiles - Cluster s,8,0.1395,"NITINSPIN, VTL","ARVIND, GARFIBRES","ARVIND, GARFIBRES, ICIL"
IND::Forest Products,Forest Products - Cluster s,8,0.1326,"CENTURYPLY, TBOTEK","GREENPLY, IXIGO","IXIGO, GREENPLY, STYLAMIND"
IND::Commodity Chemicals,Commodity Chemicals - Cluster s,8,0.1259,"ACI, TIRUMALCHM","INDIAGLYCO, NAVINFLUOR","NAVINFLUOR, INDIAGLYCO, DEEPAKFERT"
IND::IT Software Products,IT Software Products - Cluster s,8,0.0776,"CENTUM, INTELLECT","OPTIEMUS, TATATECH","OPTIEMUS, TATATECH, CYIENTDLM"
IND::Specialty Retail,Specialty Retail - Cluster l,8,-0.0049,"AVL, ETHOSLTD","MANYAVAR, PVRINOX","MANYAVAR, PVRINOX, SAREGAMA"
IND::Oil Marketing & Distribution,Oil Marketing & Distribution - Cluster n,7,0.2207,"CASTROLIND, GULFOILLUB","IOC, PETRONET","PETRONET, IOC, ONGC"
IND::Utilities:Non-Electrical,Utilities:Non-Electrical - Cluster l,7,0.0458,"IGL, MGL","IONEXCHANG, WABAG","IONEXCHANG, WABAG, GAIL"
IND::Plastic Products,Plastic Products - Cluster s,7,0.0321,"FINPIPE, SUPREMEIND","SHAILY, TIMETECHNO","SHAILY, TIMETECHNO, NILKAMAL"
IND::Asset Management Cos.,Asset Management Cos. - Cluster .,6,0.3986,"GVT&D, NAM-INDIA","HDFCAMC, TARIL","TARIL, HDFCAMC, UTIAMC"
IND::Electric Utilities::A::A,Electric Utilities - Cluster A,6,0.3768,"NHPC, TATAPOWER","JSWENERGY, PTC","JSWENERGY, PTC, NLCINDIA"
UNCLASSIFIED::A::A::B,Unclassified - Cluster B,6,0.3506,"VINCOFE, ZOTA","ASHAPURMIN, GALLANTT","GALLANTT, ASHAPURMIN, POCL"
IND::Healthcare Services::B,Healthcare Services - Cluster B,6,0.3247,"ETERNAL, VIJAYA","KRSNAA, SWIGGY","SWIGGY, KRSNAA, METROPOLIS"
IND::Electric Utilities::A::B,Electric Utilities - Cluster B,6,0.3196,"NTPC, POWERGRID","ADANIENSOL, ADANIGREEN","ADANIGREEN, ADANIENSOL, TORNTPOWER"
IND::Pharmaceuticals::B::A::B::A::B,Pharmaceuticals - Cluster B,6,0.2954,"BLUEJET, DIVISLAB","HIKAL, MARKSANS","HIKAL, MARKSANS, LAURUSLABS"
IND::Auto Parts & Equipment::B::A::A,Auto Parts & Equipment - Cluster A,6,0.2916,"ENDURANCE, ZFCVINDIA","ROLEXRINGS, SJS","SJS, ROLEXRINGS, TVSHLTD"
IND::Hotels,Hotels - Cluster s,6,0.2859,"CHALET, LEMONTREE","INDHOTEL, MHRIL","MHRIL, INDHOTEL, SAMHI"
IND::Pharmaceuticals::B::B::B::B,Pharmaceuticals - Cluster B,6,0.2808,"IPCALAB, MANKIND","ANUP, JBCHEPHARM","ANUP, JBCHEPHARM, PPLPHARMA"
IND::Housing Finance::A,Housing Finance - Cluster A,6,0.2573,"LICHSGFIN, REPCOHOME","AAVAS, LTF","LTF, AAVAS, PNBHOUSING"
