Theme,Symbol,med_abs_resid,corr_with_theme_moves,far_share,obs_months,outlier_score
Auto comp,MOTHERSON,23.75,0.25800092666168867,0.10909090909090909,26,1.0995494909788914
Auto comp,MSUMI,16.25,0.11580273826164046,0.10909090909090909,26,0.6024774682611478
Auto comp,CRAFTSMAN,22.5,0.5220316133971277,0.03636363636363636,38,0.5484747883404991
Auto comp,ENDURANCE,16.5,0.4522018070767728,0.07272727272727272,38,0.2554198937386926
Auto comp,SJS,18.0,0.9625001692278061,0.0,38,-0.2472755429992567
Auto comp,LUMAXTECH,14.5,0.8704603127233579,0.03636363636363636,38,-0.3266336566467743
Auto comp,SHRIPISTON,12.0,0.6743574393697407,0.01818181818181818,27,-0.45722015617601863
Auto comp,FIEMIND,7.0,0.912740687849561,0.0,29,-1.085829345551272
Auto comp,BELRISE,5.0,,0.0,3,
Cement,ORIENTCEM,22.25,0.3415416122931471,0.18181818181818182,26,4.074161429100612
Cement,DALBHARAT,19.75,0.7836047504489321,0.0,26,0.8627210121168242
Cement,ULTRACEMCO,9.0,0.4834754930300068,0.01818181818181818,26,0.3964059783353062
Cement,JKCEMENT,12.75,0.7284516282585118,0.03636363636363636,26,0.2689245954494633
Cement,JKLAKSHMI,8.75,0.6977206949484117,0.01818181818181818,26,-0.3620974494189009
Cement,SHREECEM,9.5,0.6940859872454789,0.0,26,-0.37234804423339174
Chemicals,NAVINFLUOR,34.5,0.15762781620898356,0.07272727272727272,22,2.0654745405671213
Chemicals,SRF,19.75,0.41134381340003284,0.01818181818181818,22,0.37739222770376957
Chemicals,PIIND,10.25,0.2948318309687347,0.05454545454545454,22,0.19118259441806612
Chemicals,HSCL,14.5,0.31090519079600754,0.01818181818181818,22,0.1731152936571058
Chemicals,SUDARSCHEM,14.5,0.9879818530639175,0.03636363636363636,33,-0.5883532016763189
Chemicals,PCBL,10.75,0.6132652719526209,0.0,22,-0.6029601629572188
Chemicals,EPIGRAL,7.5,0.4719942044092875,0.0,17,-0.624705506178521
Chemicals,FLUOROCHEM,7.25,0.6005205490187852,0.0,26,-0.8109179625185895
Chemicals,ATHERENERG,60.0,,0.01818181818181818,3,
EMS,SYRMA,35.75,0.30130010037208943,0.10909090909090909,22,7.102368201903163
EMS,PGEL,10.25,0.37958776375259684,0.07272727272727272,22,1.5600202662319669
EMS,AVALON,8.5,0.4926026064535162,0.0,22,0.015676023964167507
EMS,DIXON,6.0,0.5458427286115236,0.01818181818181818,26,-0.2565655809200944
EMS,AMBER,7.25,0.8117185629157937,0.0,22,-0.58639870963361
EMS,KAYNES,6.25,0.7558401754105366,0.0,22,-0.7158654912144541
Exchanges,IEX,44.0,0.952114491427132,0.2,33,1.4090680874837047
Exchanges,BSE,21.0,0.09954816189081318,0.01818181818181818,35,1.1780460883162434
Exchanges,MCX,11.75,0.5437391073935873,0.03636363636363636,26,0.17515211015011906
Exchanges,CAMS,11.75,0.6524730005247033,0.01818181818181818,26,0.04943790602115071
Exchanges,CDSL,4.75,0.7379935831378697,0.01818181818181818,22,-0.4197465582828108
Exchanges,KFINTECH,6.0,0.8937711821316887,0.01818181818181818,26,-0.5337244527507731
HOTELS,SAMHI,14.0,0.3503335885484419,0.09090909090909091,23,1.4162681299981934
HOTELS,VENTIVE,12.0,0.6352564300498973,0.0,8,0.39819907056111575
HOTELS,EIHOTEL,10.0,0.8004845908729412,0.05454545454545454,33,0.23533599979440964
HOTELS,CHALET,5.0,0.44365168655058207,0.01818181818181818,33,-0.15300716475272094
HOTELS,INDHOTEL,5.25,0.9833481872923792,0.09090909090909091,38,-0.37470540650021256
HOTELS,LEMONTREE,5.75,0.7625703765309174,0.01818181818181818,26,-0.4227260072693554
Hospitals,YATHARTH,8.5,0.22213830574211138,0.10909090909090909,23,1.071391570605254
Hospitals,APOLLOHOSP,12.0,0.5519232618428078,0.07272727272727272,22,0.8361105878121146
Hospitals,NH,9.0,0.4466077217357717,0.09090909090909091,22,0.6425898321892958
Hospitals,MAXHEALTH,7.5,0.3849360436907381,0.05454545454545454,22,0.22377186571599497
Hospitals,FORTIS,10.25,0.6396295046274856,0.03636363636363636,22,0.1234458227667248
Hospitals,ASTERDM,6.25,0.5836417298674559,0.05454545454545454,22,-0.32181138371121076
Hospitals,KIMS,5.75,0.722125639036038,0.03636363636363636,22,-0.7743563751873973
Hospitals,HCG,5.0,0.6867926551390583,0.0,22,-1.111086142449852
Housing Fin,INDIASHLTR,11.0,0.2523443068949295,0.05454545454545454,21,1.5227446271358818
Housing Fin,AADHARHFC,15.25,0.5625136639264454,0.01818181818181818,14,0.8076710534685936
Housing Fin,APTUS,16.5,0.9460496231139107,0.16363636363636364,33,0.5951688934400988
Housing Fin,AAVAS,20.0,0.895786515466939,0.07272727272727272,33,0.5147642860595087
