Symbol / Rank,Theme,2022-12-03 00:00:00,2022-12-10 00:00:00,2022-12-17 00:00:00,2023-01-01 00:00:00,2023-01-12 00:00:00,2023-01-31 00:00:00,2023-02-14 00:00:00,2023-02-28 00:00:00,2023-03-13 00:00:00,2023-03-31 00:00:00,2023-04-14 00:00:00,2023-04-30 00:00:00,2023-05-16 00:00:00,2023-05-31 00:00:00,2023-06-14 00:00:00,2023-06-30 00:00:00,2023-07-13 00:00:00,14Jul23_PUp,2023-07-29 00:00:00,2023-08-13 00:00:00,2023-08-31 00:00:00,2023-09-13 00:00:00,2023-09-29 00:00:00,2023-10-13 00:00:00,2023-10-31 00:00:00,2023-11-12 00:00:00,2023-11-30 00:00:00,2023-12-14 00:00:00,2023-12-31 00:00:00,2024-01-13 00:00:00,2024-01-31 00:00:00,2024-02-13 00:00:00,2024-02-29 00:00:00,2024-03-29 00:00:00,2024-04-30 00:00:00,2024-05-31 00:00:00,2024-06-28 00:00:00,2024-07-31 00:00:00,2024-08-31 00:00:00,2024-09-29 00:00:00,2024-10-31 00:00:00,2024-11-30 00:00:00,2024-12-31 00:00:00,2025-02-01 00:00:00,2025-02-28 00:00:00,2025-03-31 00:00:00,2025-04-30 00:00:00,2025-05-31 00:00:00,2025-06-30 00:00:00,2025-07-31 00:00:00,2025-08-31 00:00:00,2025-09-30 00:00:00,2025-10-31 00:00:00,2025-11-30 00:00:00,2025-12-31 00:00:00,2026-01-31 00:00:00,note
2 / 3 Wheelers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVSMOTOR,2 / 3 wheelers,,,,,,,,,,,,9.0,,2.0,,9.0,,,8.0,9.0,8.0,9.0,6.0,6.0,5.0,6.0,3.0,5.0,3.0,3.0,10.0,10.0,7.0,12.0,36.0,24.0,30.0,13.0,7.0,,36.0,53.0,51.0,25.0,37.0,34.0,12.0,16.0,12.0,25.0,10.0,9.0,13.0,8.0,3.0,5.0,
EICHERMOT,2 / 3 wheelers,,,,,,,,,,,,35.0,,18.0,,42.0,,,60.0,58.0,63.0,62.0,58.0,58.0,63.0,63.0,38.0,35.0,27.0,27.0,45.0,46.0,48.0,33.0,27.0,29.0,45.0,22.0,22.0,,36.0,43.0,35.0,10.0,12.0,11.0,10.0,25.0,16.0,34.0,15.0,7.0,9.0,7.0,4.0,8.0,
HEROMOTOCO,2 / 3 wheelers,,,,,,,,,,,,37.0,,40.0,,40.0,,,28.0,28.0,50.0,47.0,24.0,28.0,23.0,24.0,14.0,13.0,7.0,7.0,7.0,7.0,24.0,6.0,27.0,12.0,14.0,37.0,26.0,,46.0,68.0,86.0,69.0,82.0,86.0,74.0,70.0,69.0,71.0,25.0,15.0,13.0,6.0,9.0,11.0,
BAJAJ-AUTO,2 / 3 wheelers,,,,,,,,,,,,7.0,,11.0,,15.0,,,19.0,18.0,38.0,43.0,20.0,19.0,15.0,12.0,7.0,7.0,3.0,5.0,3.0,2.0,10.0,2.0,13.0,8.0,12.0,18.0,4.0,,43.0,57.0,53.0,45.0,68.0,82.0,69.0,64.0,71.0,83.0,61.0,65.0,47.0,29.0,18.0,14.0,
Agrochemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANURAS,agrochemicals,,,,,,,,,,,,6.0,,3.0,,17.0,,,32.0,33.0,37.0,46.0,76.0,74.0,74.0,74.0,68.0,67.0,61.0,62.0,67.0,67.0,66.0,74.0,87.0,90.0,90.0,88.0,87.0,,95.0,93.0,82.0,73.0,61.0,35.0,14.0,8.0,3.0,5.0,5.0,8.0,16.0,6.0,5.0,9.0,
SHARDACROP,agrochemicals,,,,,,,,,,,,58.0,,65.0,,71.0,,,80.0,81.0,83.0,83.0,85.0,84.0,80.0,80.0,83.0,83.0,85.0,83.0,83.0,83.0,85.0,90.0,89.0,84.0,80.0,26.0,36.0,,6.0,8.0,9.0,28.0,21.0,15.0,39.0,24.0,17.0,2.0,7.0,15.0,22.0,28.0,34.0,16.0,
UPL,agrochemicals,,,,,,,,,,,,45.0,,70.0,,72.0,,,82.0,80.0,85.0,84.0,83.0,81.0,84.0,84.0,82.0,83.0,83.0,79.0,79.0,78.0,86.0,90.0,89.0,83.0,77.0,69.0,49.0,,64.0,56.0,68.0,16.0,4.0,8.0,5.0,17.0,13.0,16.0,19.0,34.0,24.0,8.0,5.0,23.0,
RAIN,agrochemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.0,75.0,70.0,57.0,79.0,69.0,64.0,76.0,78.0,77.0,,82.0,79.0,54.0,71.0,78.0,62.0,58.0,72.0,69.0,44.0,67.0,88.0,82.0,92.0,44.0,24.0,
RALLIS,agrochemicals,,,,,,,,,,,,75.0,,82.0,,84.0,,,78.0,76.0,70.0,68.0,82.0,81.0,71.0,70.0,66.0,65.0,54.0,53.0,45.0,45.0,51.0,45.0,46.0,44.0,42.0,40.0,21.0,,29.0,33.0,60.0,82.0,78.0,81.0,74.0,29.0,28.0,9.0,15.0,27.0,70.0,72.0,51.0,50.0,
PIIND,agrochemicals,,,,,,,,,,,,14.0,,14.0,,10.0,,,44.0,44.0,52.0,52.0,58.0,55.0,57.0,58.0,48.0,46.0,66.0,69.0,69.0,68.0,56.0,36.0,60.0,61.0,55.0,28.0,34.0,,33.0,56.0,60.0,64.0,72.0,62.0,50.0,47.0,28.0,27.0,48.0,67.0,74.0,66.0,73.0,69.0,
SPLPETRO,agrochemicals,,,,,,,,,,,,57.0,,75.0,,68.0,,,60.0,60.0,29.0,28.0,41.0,40.0,19.0,17.0,29.0,31.0,47.0,48.0,31.0,31.0,13.0,37.0,42.0,40.0,22.0,21.0,31.0,,57.0,55.0,63.0,72.0,83.0,57.0,51.0,42.0,15.0,29.0,28.0,22.0,44.0,63.0,65.0,70.0,
BAYERCROP,agrochemicals,,,,,,,,,,,,61.0,,74.0,,79.0,,,79.0,78.0,72.0,71.0,38.0,35.0,46.0,47.0,39.0,37.0,41.0,43.0,31.0,32.0,43.0,55.0,53.0,62.0,25.0,28.0,56.0,,37.0,67.0,74.0,80.0,54.0,58.0,78.0,40.0,30.0,29.0,60.0,75.0,76.0,78.0,80.0,77.0,
DHANUKA,agrochemicals,,,,,,,,,,,,58.0,,46.0,,45.0,,,64.0,66.0,54.0,53.0,43.0,36.0,47.0,46.0,27.0,22.0,23.0,28.0,25.0,25.0,43.0,44.0,5.0,22.0,5.0,10.0,6.0,,30.0,35.0,50.0,48.0,35.0,35.0,58.0,20.0,21.0,11.0,32.0,34.0,62.0,84.0,86.0,83.0,
SUMICHEM,agrochemicals,,,,,,,,,,,,55.0,,69.0,,69.0,,,73.0,74.0,74.0,78.0,83.0,80.0,79.0,79.0,74.0,74.0,79.0,78.0,72.0,71.0,78.0,81.0,67.0,38.0,50.0,40.0,43.0,,22.0,37.0,35.0,25.0,18.0,10.0,24.0,55.0,41.0,10.0,31.0,57.0,72.0,70.0,67.0,90.0,
EPIGRAL,agrochemicals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,10.0,20.0,19.0,17.0,19.0,32.0,41.0,37.0,29.0,55.0,85.0,81.0,84.0,98.0,98.0,
Aluminium and Aluminium Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HINDCOPPER,aluminium and aluminium products,,,,,,,,,,,,52.0,,52.0,,50.0,,,50.0,37.0,9.0,12.0,11.0,12.0,31.0,34.0,15.0,11.0,2.0,1.0,2.0,3.0,10.0,4.0,1.0,11.0,36.0,52.0,35.0,,60.0,67.0,90.0,80.0,87.0,82.0,91.0,77.0,39.0,65.0,69.0,15.0,12.0,14.0,2.0,1.0,
NATIONALUM,aluminium and aluminium products,,,,,,,,,,,,49.0,,53.0,,55.0,,,38.0,45.0,53.0,49.0,47.0,43.0,47.0,48.0,60.0,62.0,16.0,11.0,10.0,8.0,12.0,13.0,5.0,5.0,15.0,23.0,35.0,,12.0,15.0,31.0,24.0,21.0,42.0,81.0,76.0,56.0,58.0,51.0,26.0,21.0,14.0,3.0,2.0,
HINDALCO,aluminium and aluminium products,,,,,,,,,,,,35.0,,60.0,,63.0,,,63.0,59.0,54.0,55.0,29.0,28.0,44.0,45.0,30.0,29.0,14.0,13.0,37.0,38.0,60.0,36.0,24.0,16.0,27.0,44.0,18.0,,47.0,60.0,68.0,52.0,16.0,24.0,42.0,58.0,28.0,30.0,35.0,20.0,11.0,12.0,4.0,4.0,
VEDL,aluminium and aluminium products,,,,,,,,,,,,74.0,,,,,,,,,,,,,,86.0,85.0,86.0,85.0,84.0,81.0,79.0,56.0,44.0,19.0,20.0,26.0,30.0,11.0,,27.0,35.0,32.0,15.0,16.0,13.0,38.0,50.0,35.0,56.0,60.0,40.0,27.0,12.0,5.0,5.0,
HINDZINC,aluminium and aluminium products,,,,,,,,,,,,,,64.0,,,,,,,,,,81.0,81.0,,82.0,,,,,,,,,,,,,,42.0,65.0,69.0,56.0,33.0,27.0,66.0,84.0,78.0,86.0,69.0,45.0,51.0,36.0,7.0,8.0,
Asset Management Cos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVT&D,asset management cos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,7.0,14.0,23.0,17.0,26.0,5.0,9.0,2.0,3.0,2.0,3.0,9.0,5.0,6.0,
NAM-INDIA,asset management cos.,,,,,,,,,,,,72.0,,74.0,,59.0,,,40.0,40.0,46.0,44.0,30.0,29.0,12.0,4.0,5.0,11.0,18.0,10.0,4.0,4.0,6.0,16.0,12.0,7.0,8.0,27.0,23.0,,21.0,30.0,23.0,43.0,45.0,34.0,30.0,18.0,16.0,10.0,13.0,5.0,17.0,15.0,17.0,11.0,
HDFCAMC,asset management cos.,,,,,,,,,,,,63.0,,61.0,,41.0,,,12.0,12.0,18.0,21.0,8.0,8.0,8.0,9.0,9.0,8.0,8.0,9.0,7.0,8.0,13.0,10.0,15.0,14.0,20.0,36.0,24.0,,39.0,44.0,42.0,46.0,45.0,33.0,20.0,14.0,9.0,5.0,11.0,9.0,21.0,19.0,19.0,29.0,
ABSLAMC,asset management cos.,,,,,,,,,,,,78.0,,80.0,,83.0,,,79.0,77.0,81.0,82.0,58.0,56.0,38.0,38.0,50.0,48.0,55.0,54.0,56.0,56.0,24.0,48.0,32.0,33.0,31.0,14.0,10.0,,11.0,10.0,14.0,26.0,27.0,28.0,38.0,39.0,29.0,14.0,16.0,22.0,42.0,51.0,32.0,32.0,
UTIAMC,asset management cos.,,,,,,,,,,,,60.0,,62.0,,59.0,,,59.0,56.0,66.0,69.0,55.0,53.0,53.0,55.0,52.0,50.0,49.0,49.0,37.0,38.0,41.0,55.0,37.0,41.0,39.0,52.0,22.0,,13.0,19.0,15.0,37.0,39.0,30.0,58.0,37.0,27.0,17.0,19.0,23.0,40.0,53.0,61.0,71.0,
TARIL,asset management cos.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,8.0,3.0,11.0,7.0,3.0,10.0,20.0,45.0,21.0,23.0,39.0,71.0,100.0,95.0,99.0,
Auto Parts & Equipment · Group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SJS,auto parts & equipment · group 1,,,,,,,,,,,,46.0,,55.0,,54.0,,,27.0,26.0,23.0,19.0,24.0,20.0,19.0,21.0,49.0,47.0,67.0,65.0,70.0,71.0,56.0,58.0,67.0,24.0,36.0,19.0,34.0,,7.0,6.0,14.0,15.0,22.0,21.0,37.0,31.0,10.0,17.0,9.0,4.0,5.0,6.0,6.0,4.0,
TVSHLTD,auto parts & equipment · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,17.0,19.0,4.0,1.0,5.0,8.0,,11.0,31.0,52.0,47.0,52.0,52.0,43.0,28.0,34.0,32.0,25.0,18.0,7.0,17.0,14.0,5.0,
ASAHIINDIA,auto parts & equipment · group 1,,,,,,,,,,,,70.0,,77.0,,81.0,,,72.0,68.0,65.0,65.0,41.0,47.0,62.0,66.0,65.0,66.0,67.0,65.0,81.0,82.0,73.0,65.0,53.0,45.0,40.0,50.0,58.0,,36.0,51.0,29.0,31.0,22.0,50.0,18.0,19.0,28.0,12.0,12.0,14.0,15.0,6.0,10.0,6.0,
LUMAXTECH,auto parts & equipment · group 1,,,,,,,,,,,,15.0,,32.0,,20.0,,,25.0,25.0,56.0,56.0,64.0,62.0,63.0,63.0,58.0,56.0,62.0,62.0,63.0,63.0,18.0,13.0,33.0,27.0,10.0,31.0,50.0,,48.0,44.0,16.0,26.0,25.0,29.0,29.0,4.0,2.0,4.0,2.0,2.0,6.0,1.0,3.0,7.0,
SANSERA,auto parts & equipment · group 1,,,,,,,,,,,,38.0,,37.0,,36.0,,,27.0,26.0,31.0,31.0,32.0,32.0,46.0,48.0,66.0,69.0,37.0,34.0,49.0,50.0,41.0,40.0,42.0,31.0,25.0,18.0,14.0,,19.0,14.0,32.0,44.0,36.0,46.0,71.0,44.0,44.0,44.0,50.0,39.0,26.0,11.0,15.0,8.0,
ZFCVINDIA,auto parts & equipment · group 1,,,,,,,,,,,,18.0,,22.0,,14.0,,,17.0,17.0,22.0,22.0,19.0,15.0,7.0,9.0,17.0,17.0,20.0,24.0,33.0,32.0,56.0,49.0,77.0,24.0,64.0,68.0,63.0,,82.0,99.0,95.0,89.0,62.0,53.0,49.0,51.0,46.0,45.0,33.0,58.0,58.0,36.0,15.0,9.0,
FIEMIND,auto parts & equipment · group 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,60.0,60.0,57.0,56.0,41.0,33.0,39.0,39.0,33.0,42.0,30.0,,26.0,33.0,34.0,28.0,21.0,32.0,25.0,20.0,5.0,8.0,6.0,18.0,11.0,5.0,9.0,10.0,
MOTHERSON,auto parts & equipment · group 1,,,,,,,,,,,,47.0,,49.0,,42.0,,,26.0,23.0,40.0,41.0,18.0,18.0,21.0,18.0,41.0,42.0,21.0,19.0,24.0,26.0,27.0,21.0,16.0,9.0,5.0,10.0,11.0,,20.0,38.0,58.0,54.0,61.0,69.0,63.0,52.0,59.0,65.0,63.0,47.0,46.0,18.0,13.0,13.0,
ENDURANCE,auto parts & equipment · group 1,,,,,,,,,,,,36.0,,45.0,,41.0,,,54.0,53.0,43.0,43.0,53.0,49.0,37.0,30.0,37.0,35.0,17.0,17.0,34.0,34.0,54.0,51.0,48.0,19.0,30.0,49.0,44.0,,47.0,52.0,74.0,67.0,61.0,49.0,64.0,31.0,17.0,27.0,9.0,11.0,12.0,26.0,30.0,27.0,
SONACOMS,auto parts & equipment · group 1,,,,,,,,,,,,55.0,,37.0,,53.0,,,50.0,46.0,34.0,35.0,29.0,33.0,47.0,47.0,54.0,54.0,19.0,19.0,45.0,44.0,29.0,19.0,57.0,40.0,60.0,63.0,61.0,,55.0,57.0,77.0,92.0,70.0,95.0,76.0,72.0,89.0,88.0,89.0,94.0,86.0,61.0,49.0,28.0,
SUPRAJIT,auto parts & equipment · group 1,,,,,,,,,,,,19.0,,27.0,,16.0,,,27.0,26.0,29.0,30.0,55.0,53.0,55.0,56.0,61.0,63.0,54.0,50.0,58.0,58.0,47.0,48.0,51.0,37.0,27.0,46.0,56.0,,49.0,63.0,65.0,72.0,51.0,80.0,77.0,72.0,48.0,48.0,45.0,33.0,50.0,27.0,32.0,28.0,
BOSCHLTD,auto parts & equipment · group 1,,,,,,,,,,,,5.0,,21.0,,30.0,,,41.0,41.0,54.0,54.0,44.0,46.0,39.0,42.0,26.0,25.0,24.0,27.0,27.0,26.0,13.0,13.0,29.0,18.0,16.0,15.0,42.0,,27.0,29.0,34.0,50.0,57.0,64.0,53.0,57.0,48.0,9.0,8.0,18.0,28.0,28.0,30.0,29.0,
ROLEXRINGS,auto parts & equipment · group 1,,,,,,,,,,,,29.0,,29.0,,10.0,,,30.0,30.0,40.0,40.0,53.0,49.0,28.0,26.0,22.0,23.0,18.0,21.0,42.0,43.0,75.0,86.0,86.0,51.0,55.0,64.0,56.0,,72.0,91.0,96.0,88.0,85.0,96.0,97.0,89.0,88.0,95.0,94.0,90.0,95.0,98.0,74.0,70.0,
TIINDIA,auto parts & equipment · group 1,,,,,,,,,,,,21.0,,12.0,,17.0,,,29.0,28.0,51.0,51.0,60.0,57.0,37.0,36.0,41.0,40.0,47.0,47.0,22.0,22.0,52.0,35.0,44.0,52.0,34.0,63.0,53.0,,34.0,80.0,79.0,85.0,86.0,80.0,82.0,80.0,84.0,87.0,72.0,62.0,80.0,70.0,75.0,77.0,
Auto Parts & Equipment · Group 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUMAXIND,auto parts & equipment · group 2,,,,,,,,,,,,,,,,39.0,,,52.0,50.0,38.0,38.0,34.0,28.0,54.0,55.0,30.0,25.0,56.0,55.0,56.0,59.0,59.0,51.0,53.0,49.0,50.0,46.0,32.0,,,,79.0,72.0,34.0,28.0,41.0,13.0,6.0,6.0,3.0,1.0,3.0,1.0,4.0,6.0,
