Symbol,Theme
BAJAJ-AUTO,2 / 3 Wheelers
EICHERMOT,2 / 3 Wheelers
HEROMOTOCO,2 / 3 Wheelers
TVSMOTOR,2 / 3 Wheelers
ANURAS,Agrochemicals
BAYERCROP,Agrochemicals
DHANUKA,Agrochemicals
EPIGRAL,Agrochemicals
PIIND,Agrochemicals
RAIN,Agrochemicals
RALLIS,Agrochemicals
SHARDACROP,Agrochemicals
SPLPETRO,Agrochemicals
SUMICHEM,Agrochemicals
UPL,Agrochemicals
HINDALCO,Aluminium and Aluminium Products
HINDCOPPER,Aluminium and Aluminium Products
HINDZINC,Aluminium and Aluminium Products
NATIONALUM,Aluminium and Aluminium Products
VEDL,Aluminium and Aluminium Products
ABSLAMC,Asset Management Cos.
HDFCAMC,Asset Management Cos.
NAM-INDIA,Asset Management Cos.
UTIAMC,Asset Management Cos.
ASAHIINDIA,Auto Parts & Equipment - Group 1
BOSCHLTD,Auto Parts & Equipment - Group 1
ENDURANCE,Auto Parts & Equipment - Group 1
FIEMIND,Auto Parts & Equipment - Group 1
LUMAXTECH,Auto Parts & Equipment - Group 1
MOTHERSON,Auto Parts & Equipment - Group 1
ROLEXRINGS,Auto Parts & Equipment - Group 1
SANSERA,Auto Parts & Equipment - Group 1
SJS,Auto Parts & Equipment - Group 1
SONACOMS,Auto Parts & Equipment - Group 1
SUPRAJIT,Auto Parts & Equipment - Group 1
TIINDIA,Auto Parts & Equipment - Group 1
TVSHLTD,Auto Parts & Equipment - Group 1
ZFCVINDIA,Auto Parts & Equipment - Group 1
CIEINDIA,Auto Parts & Equipment - Group 2
JAMNAAUTO,Auto Parts & Equipment - Group 2
JTEKTINDIA,Auto Parts & Equipment - Group 2
LGBBROSLTD,Auto Parts & Equipment - Group 2
LUMAXIND,Auto Parts & Equipment - Group 2
MINDACORP,Auto Parts & Equipment - Group 2
MSUMI,Auto Parts & Equipment - Group 2
PRICOLLTD,Auto Parts & Equipment - Group 2
SSWL,Auto Parts & Equipment - Group 2
VARROC,Auto Parts & Equipment - Group 2
WHEELS,Auto Parts & Equipment - Group 2
ARE&M,Auto Parts & Equipment - Group 3
AUTOAXLES,Auto Parts & Equipment - Group 3
CRAFTSMAN,Auto Parts & Equipment - Group 3
DIVGIITTS,Auto Parts & Equipment - Group 3
EXIDEIND,Auto Parts & Equipment - Group 3
GABRIEL,Auto Parts & Equipment - Group 3
