Symbol,Theme
BAJAJ-AUTO,2W/3W OEMs
EICHERMOT,2W/3W OEMs
HEROMOTOCO,2W/3W OEMs
TVSMOTOR,2W/3W OEMs
ADANIENT,Adani Ecosystem
ADANIPORTS,Adani Ecosystem
ADANIPOWER,Adani Ecosystem
AVANTIFEED,Agri Inputs & Farm Value Chain
DHANUKA,Agri Inputs & Farm Value Chain
GODREJAGRO,Agri Inputs & Farm Value Chain
LTFOODS,Agri Inputs & Farm Value Chain
MANORAMA,Agri Inputs & Farm Value Chain
OSWALPUMPS,Agri Inputs & Farm Value Chain
SHAKTIPUMP,Agri Inputs & Farm Value Chain
BAYERCROP,Agrochemicals
RALLIS,Agrochemicals
SHARDACROP,Agrochemicals
SUMICHEM,Agrochemicals
ABDL,Alcoholic Beverages
GLOBUSSPR,Alcoholic Beverages
RADICO,Alcoholic Beverages
TI,Alcoholic Beverages
UBL,Alcoholic Beverages
UNITDSPR,Alcoholic Beverages
CIEINDIA,Auto Components - Body / Thermal / Interior - Large Cap
LGBBROSLTD,Auto Components - Body / Thermal / Interior - Mid Cap
MINDACORP,Auto Components - Body / Thermal / Interior - Mid Cap
PRICOLLTD,Auto Components - Body / Thermal / Interior - Mid Cap
SHARDAMOTR,Auto Components - Body / Thermal / Interior - Mid Cap
STUDDS,Auto Components - Body / Thermal / Interior - Mid Cap
SUBROS,Auto Components - Body / Thermal / Interior - Mid Cap
TENNIND,Auto Components - Body / Thermal / Interior - Mid Cap
DIVGIITTS,Auto Components - Body / Thermal / Interior - Small Cap
LUMAXIND,Auto Components - Body / Thermal / Interior - Small Cap
SANDHAR,Auto Components - Body / Thermal / Interior - Small Cap
VARROC,Auto Components - Body / Thermal / Interior - Small Cap
CARRARO,Auto Components - Driveline / Chassis
SSWL,Auto Components - Driveline / Chassis
SUNDRMFAST,Auto Components - Driveline / Chassis
SUPRAJIT,Auto Components - Driveline / Chassis
TIINDIA,Auto Components - Driveline / Chassis
TVSHLTD,Auto Components - Driveline / Chassis
WHEELS,Auto Components - Driveline / Chassis
ENDURANCE,"Auto Components - Electrical, Interiors & Lighting"
FIEMIND,"Auto Components - Electrical, Interiors & Lighting"
LUMAXTECH,"Auto Components - Electrical, Interiors & Lighting"
SJS,"Auto Components - Electrical, Interiors & Lighting"
BELRISE,"Auto Components - Precision, Systems & Harnesses"
CRAFTSMAN,"Auto Components - Precision, Systems & Harnesses"
MOTHERSON,"Auto Components - Precision, Systems & Harnesses"
